#step,index
0,0.493827
1,0.493827
2,0.493827
3,0.493827
4,0.493827
5,0.29591
6,0.29591
7,0.29591
8,0.360725
9,0.360725
10,0.329861
11,0.329861
12,0.434799
13,0.434799
14,0.434799
15,0.434799
16,0.434799
17,0.434799
18,0.434799
19,0.434799
20,0.434799
21,0.434799
22,0.434799
23,0.360725
24,0.345679
25,0.345679
26,0.345679
27,0.345679
28,0.345679
29,0.345679
30,0.345679
31,0.345679
32,0.345679
33,0.345679
34,0.345679
35,0.345679
36,0.345679
37,0.345679
38,0.345679
39,0.345679
40,0.345679
41,0.345679
42,0.345679
43,0.345679
44,0.345679
45,0.345679
46,0.345679
47,0.345679
48,0.345679
49,0.345679
50,0.345679
51,0.345679
52,0.345679
53,0.345679
54,0.345679
55,0.345679
56,0.345679
57,0.345679
58,0.345679
59,0.345679
60,0.345679
61,0.345679
62,0.345679
63,0.345679
64,0.345679
65,0.345679
66,0.345679
67,0.345679
68,0.345679
69,0.345679
70,0.345679
71,0.345679
72,0.345679
73,0.345679
74,0.345679
75,0.345679
76,0.345679
77,0.345679
78,0.345679
79,0.345679
80,0.345679
81,0.345679
82,0.345679
83,0.345679
84,0.345679
85,0.345679
86,0.345679
87,0.345679
88,0.345679
89,0.345679
90,0.345679
91,0.345679
92,0.345679
93,0.345679
94,0.345679
95,0.345679
96,0.345679
97,0.345679
98,0.345679
99,0.345679
100,0.345679
101,0.345679
102,0.345679
103,0.345679
104,0.345679
105,0.345679
106,0.345679
107,0.345679
108,0.345679
109,0.345679
110,0.345679
111,0.345679
112,0.345679
113,0.345679
114,0.345679
115,0.345679
116,0.345679
117,0.345679
118,0.345679
119,0.345679
120,0.345679
121,0.345679
122,0.345679
123,0.345679
124,0.345679
125,0.345679
126,0.345679
127,0.345679
128,0.345679
129,0.345679
130,0.345679
131,0.345679
132,0.345679
133,0.345679
134,0.345679
135,0.345679
136,0.345679
137,0.345679
138,0.345679
139,0.345679
140,0.345679
141,0.345679
142,0.345679
143,0.345679
144,0.345679
145,0.345679
146,0.345679
147,0.345679
148,0.345679
149,0.345679
150,0.345679
151,0.345679
152,0.345679
153,0.345679
154,0.345679
155,0.345679
156,0.345679
157,0.345679
158,0.345679
159,0.345679
160,0.345679
161,0.345679
162,0.345679
163,0.345679
164,0.345679
165,0.345679
166,0.345679
167,0.345679
168,0.345679
169,0.345679
170,0.345679
171,0.345679
172,0.345679
173,0.345679
174,0.345679
175,0.345679
176,0.345679
177,0.345679
178,0.345679
179,0.345679
180,0.345679
181,0.345679
182,0.345679
183,0.345679
184,0.345679
185,0.345679
186,0.345679
187,0.345679
188,0.345679
189,0.345679
190,0.345679
191,0.345679
192,0.345679
193,0.345679
194,0.345679
195,0.345679
196,0.345679
197,0.345679
198,0.345679
199,0.345679
200,0.345679
201,0.345679
202,0.345679
203,0.345679
204,0.345679
205,0.345679
206,0.345679
207,0.345679
208,0.345679
209,0.345679
210,0.345679
211,0.345679
212,0.345679
213,0.345679
214,0.345679
215,0.345679
216,0.345679
217,0.345679
218,0.345679
219,0.345679
220,0.345679
221,0.345679
222,0.345679
223,0.345679
224,0.345679
225,0.345679
226,0.345679
227,0.345679
228,0.345679
229,0.345679
230,0.345679
231,0.345679
232,0.345679
233,0.345679
234,0.345679
235,0.345679
236,0.345679
237,0.345679
238,0.345679
239,0.345679
240,0.345679
241,0.345679
242,0.345679
243,0.345679
244,0.345679
245,0.345679
246,0.345679
247,0.345679
248,0.345679
249,0.345679
250,0.345679
251,0.345679
252,0.345679
253,0.345679
254,0.345679
255,0.345679
256,0.345679
257,0.345679
258,0.345679
259,0.345679
260,0.345679
261,0.345679
262,0.345679
263,0.345679
264,0.345679
265,0.345679
266,0.345679
267,0.345679
268,0.345679
269,0.345679
270,0.345679
271,0.345679
272,0.345679
273,0.345679
274,0.345679
275,0.345679
276,0.345679
277,0.345679
278,0.345679
279,0.345679
280,0.345679
281,0.345679
282,0.345679
283,0.345679
284,0.345679
285,0.345679
286,0.345679
287,0.345679
288,0.345679
289,0.345679
290,0.345679
291,0.345679
292,0.345679
293,0.345679
294,0.345679
295,0.345679
296,0.345679
297,0.345679
298,0.345679
299,0.345679
300,0.345679
301,0.345679
302,0.345679
303,0.345679
304,0.345679
305,0.345679
306,0.345679
307,0.345679
308,0.345679
309,0.345679
310,0.345679
311,0.345679
312,0.345679
313,0.345679
314,0.345679
315,0.345679
316,0.345679
317,0.345679
318,0.345679
319,0.345679
320,0.345679
321,0.345679
322,0.345679
323,0.345679
324,0.345679
325,0.345679
326,0.345679
327,0.345679
328,0.345679
329,0.345679
330,0.345679
331,0.345679
332,0.345679
333,0.345679
334,0.345679
335,0.345679
336,0.345679
337,0.345679
338,0.345679
339,0.345679
340,0.345679
341,0.345679
342,0.345679
343,0.345679
344,0.345679
345,0.345679
346,0.345679
347,0.345679
348,0.345679
349,0.345679
350,0.345679
351,0.345679
352,0.345679
353,0.345679
354,0.345679
355,0.345679
356,0.345679
357,0.345679
358,0.345679
359,0.345679
360,0.345679
361,0.345679
362,0.345679
363,0.345679
364,0.345679
365,0.345679
366,0.345679
367,0.345679
368,0.345679
369,0.345679
370,0.345679
371,0.345679
372,0.345679
373,0.345679
374,0.345679
375,0.345679
376,0.345679
377,0.345679
378,0.345679
379,0.345679
380,0.345679
381,0.345679
382,0.345679
383,0.345679
384,0.345679
385,0.345679
386,0.345679
387,0.345679
388,0.345679
389,0.345679
390,0.345679
391,0.345679
392,0.345679
393,0.345679
394,0.345679
395,0.345679
396,0.345679
397,0.345679
398,0.345679
399,0.345679
400,0.413194
401,0.424383
402,0.388503
403,0.434799
404,0.46875
405,0.46875
406,0.46875
407,0.46875
408,0.46875
409,0.345679
410,0.329861
411,0.388503
412,0.388503
413,0.413194
414,0.413194
415,0.424383
416,0.413194
417,0.413194
418,0.375
419,0.375
420,0.375
421,0.375
422,0.375
423,0.375
424,0.375
425,0.375
426,0.388503
427,0.388503
428,0.388503
429,0.388503
430,0.345679
431,0.360725
432,0.345679
433,0.345679
434,0.313272
435,0.313272
436,0.313272
437,0.313272
438,0.313272
439,0.329861
440,0.329861
441,0.329861
442,0.313272
443,0.313272
444,0.313272
445,0.313272
446,0.313272
447,0.29591
448,0.29591
449,0.29591
450,0.29591
451,0.29591
452,0.29591
453,0.29591
454,0.29591
455,0.29591
456,0.29591
457,0.29591
458,0.29591
459,0.29591
460,0.29591
461,0.29591
462,0.29591
463,0.329861
464,0.313272
465,0.313272
466,0.329861
467,0.329861
468,0.329861
469,0.329861
470,0.329861
471,0.329861
472,0.329861
473,0.313272
474,0.313272
475,0.313272
476,0.313272
477,0.313272
478,0.313272
479,0.313272
480,0.313272
481,0.313272
482,0.313272
483,0.313272
484,0.313272
485,0.313272
486,0.313272
487,0.313272
488,0.313272
489,0.313272
490,0.313272
491,0.313272
492,0.313272
493,0.313272
494,0.313272
495,0.313272
496,0.313272
497,0.313272
498,0.313272
499,0.313272
500,0.313272
501,0.313272
502,0.329861
503,0.329861
504,0.345679
505,0.360725
506,0.360725
507,0.360725
508,0.360725
509,0.329861
510,0.329861
511,0.329861
512,0.329861
513,0.329861
514,0.329861
515,0.329861
516,0.360725
517,0.329861
518,0.329861
519,0.329861
520,0.329861
521,0.329861
522,0.329861
523,0.329861
524,0.329861
525,0.329861
526,0.329861
527,0.329861
528,0.329861
529,0.329861
530,0.329861
531,0.329861
532,0.329861
533,0.329861
534,0.329861
535,0.329861
536,0.329861
537,0.329861
538,0.329861
539,0.329861
540,0.329861
541,0.329861
542,0.329861
543,0.329861
544,0.329861
545,0.329861
546,0.329861
547,0.329861
548,0.329861
549,0.329861
550,0.329861
551,0.329861
552,0.329861
553,0.329861
554,0.329861
555,0.329861
556,0.329861
557,0.329861
558,0.329861
559,0.329861
560,0.329861
561,0.329861
562,0.329861
563,0.329861
564,0.329861
565,0.329861
566,0.329861
567,0.329861
568,0.329861
569,0.329861
570,0.329861
571,0.329861
572,0.329861
573,0.329861
574,0.329861
575,0.329861
576,0.329861
577,0.329861
578,0.329861
579,0.329861
580,0.329861
581,0.329861
582,0.329861
583,0.329861
584,0.329861
585,0.329861
586,0.329861
587,0.329861
588,0.329861
589,0.329861
590,0.329861
591,0.329861
592,0.329861
593,0.329861
594,0.329861
595,0.329861
596,0.329861
597,0.329861
598,0.329861
599,0.329861
600,0.329861
601,0.329861
602,0.329861
603,0.329861
604,0.329861
605,0.329861
606,0.329861
607,0.329861
608,0.329861
609,0.329861
610,0.329861
611,0.329861
612,0.329861
613,0.329861
614,0.329861
615,0.329861
616,0.329861
617,0.329861
618,0.329861
619,0.329861
620,0.329861
621,0.329861
622,0.329861
623,0.329861
624,0.329861
625,0.329861
626,0.329861
627,0.329861
628,0.329861
629,0.329861
630,0.329861
631,0.329861
632,0.329861
633,0.329861
634,0.329861
635,0.329861
636,0.329861
637,0.329861
638,0.329861
639,0.329861
640,0.329861
641,0.329861
642,0.329861
643,0.329861
644,0.329861
645,0.329861
646,0.329861
647,0.329861
648,0.329861
649,0.329861
650,0.329861
651,0.329861
652,0.329861
653,0.329861
654,0.329861
655,0.329861
656,0.329861
657,0.329861
658,0.329861
659,0.329861
660,0.329861
661,0.329861
662,0.329861
663,0.329861
664,0.329861
665,0.329861
666,0.329861
667,0.329861
668,0.329861
669,0.329861
670,0.329861
671,0.329861
672,0.329861
673,0.329861
674,0.329861
675,0.329861
676,0.329861
677,0.329861
678,0.329861
679,0.329861
680,0.329861
681,0.329861
682,0.329861
683,0.329861
684,0.329861
685,0.329861
686,0.329861
687,0.329861
688,0.329861
689,0.329861
690,0.329861
691,0.329861
692,0.329861
693,0.329861
694,0.329861
695,0.329861
696,0.329861
697,0.329861
698,0.329861
699,0.329861
700,0.329861
701,0.329861
702,0.329861
703,0.329861
704,0.329861
705,0.329861
706,0.329861
707,0.329861
708,0.329861
709,0.329861
710,0.329861
711,0.329861
712,0.329861
713,0.329861
714,0.329861
715,0.329861
716,0.329861
717,0.329861
718,0.329861
719,0.329861
720,0.329861
721,0.329861
722,0.329861
723,0.329861
724,0.329861
725,0.329861
726,0.329861
727,0.329861
728,0.329861
729,0.329861
730,0.329861
731,0.329861
732,0.329861
733,0.329861
734,0.329861
735,0.329861
736,0.329861
737,0.329861
738,0.329861
739,0.329861
740,0.329861
741,0.329861
742,0.329861
743,0.329861
744,0.329861
745,0.329861
746,0.329861
747,0.329861
748,0.329861
749,0.329861
750,0.329861
751,0.329861
752,0.329861
753,0.329861
754,0.329861
755,0.329861
756,0.329861
757,0.329861
758,0.329861
759,0.329861
760,0.329861
761,0.329861
762,0.329861
763,0.329861
764,0.329861
765,0.329861
766,0.329861
767,0.329861
768,0.329861
769,0.329861
770,0.329861
771,0.329861
772,0.329861
773,0.329861
774,0.329861
775,0.329861
776,0.329861
777,0.329861
778,0.329861
779,0.329861
780,0.329861
781,0.329861
782,0.329861
783,0.329861
784,0.329861
785,0.329861
786,0.329861
787,0.329861
788,0.329861
789,0.329861
790,0.329861
791,0.329861
792,0.329861
793,0.329861
794,0.329861
795,0.329861
796,0.329861
797,0.329861
798,0.388503
799,0.388503
800,0.401235
801,0.401235
802,0.401235
803,0.401235
804,0.401235
805,0.401235
806,0.401235
807,0.401235
808,0.401235
809,0.401235
810,0.401235
811,0.401235
812,0.401235
813,0.401235
814,0.401235
815,0.401235
816,0.401235
817,0.401235
818,0.401235
819,0.401235
820,0.401235
821,0.401235
822,0.401235
823,0.401235
824,0.401235
825,0.401235
826,0.401235
827,0.401235
828,0.401235
829,0.401235
830,0.401235
831,0.401235
832,0.401235
833,0.401235
834,0.401235
835,0.401235
836,0.401235
837,0.401235
838,0.401235
839,0.401235
840,0.401235
841,0.401235
842,0.401235
843,0.401235
844,0.401235
845,0.401235
846,0.401235
847,0.401235
848,0.401235
849,0.401235
850,0.401235
851,0.401235
852,0.401235
853,0.401235
854,0.401235
855,0.401235
856,0.401235
857,0.401235
858,0.401235
859,0.401235
860,0.401235
861,0.401235
862,0.413194
863,0.413194
864,0.413194
865,0.413194
866,0.413194
867,0.413194
868,0.413194
869,0.413194
870,0.413194
871,0.413194
872,0.413194
873,0.413194
874,0.413194
875,0.413194
876,0.413194
877,0.413194
878,0.413194
879,0.413194
880,0.413194
881,0.413194
882,0.413194
883,0.413194
884,0.413194
885,0.413194
886,0.413194
887,0.413194
888,0.413194
889,0.413194
890,0.413194
891,0.413194
892,0.413194
893,0.413194
894,0.413194
895,0.413194
896,0.413194
897,0.413194
898,0.413194
899,0.413194
900,0.413194
901,0.413194
902,0.413194
903,0.413194
904,0.413194
905,0.413194
906,0.413194
907,0.413194
908,0.413194
909,0.413194
910,0.413194
911,0.413194
912,0.413194
913,0.413194
914,0.413194
915,0.413194
916,0.413194
917,0.413194
918,0.413194
919,0.413194
920,0.413194
921,0.413194
922,0.413194
923,0.413194
924,0.413194
925,0.413194
926,0.413194
927,0.413194
928,0.413194
929,0.413194
930,0.413194
931,0.413194
932,0.413194
933,0.413194
934,0.413194
935,0.413194
936,0.413194
937,0.413194
938,0.413194
939,0.413194
940,0.413194
941,0.413194
942,0.413194
943,0.413194
944,0.413194
945,0.413194
946,0.413194
947,0.413194
948,0.413194
949,0.413194
950,0.413194
951,0.413194
952,0.413194
953,0.413194
954,0.413194
955,0.413194
956,0.413194
957,0.413194
958,0.413194
959,0.413194
960,0.413194
961,0.413194
962,0.413194
963,0.413194
964,0.413194
965,0.413194
966,0.413194
967,0.413194
968,0.413194
969,0.413194
970,0.413194
971,0.413194
972,0.413194
973,0.413194
974,0.413194
975,0.413194
976,0.413194
977,0.413194
978,0.413194
979,0.413194
980,0.413194
981,0.413194
982,0.413194
983,0.413194
984,0.413194
985,0.413194
986,0.413194
987,0.413194
988,0.413194
989,0.413194
990,0.413194
991,0.413194
992,0.413194
993,0.413194
994,0.413194
995,0.413194
996,0.413194
997,0.413194
998,0.413194
999,0.413194
1000,0.413194
1001,0.413194
1002,0.413194
1003,0.413194
1004,0.413194
1005,0.413194
1006,0.413194
1007,0.413194
1008,0.413194
1009,0.413194
1010,0.413194
1011,0.413194
