#step,index
0,0.559077
1,0.559077
2,0.496479
3,0.496479
4,0.496479
5,0.496479
6,0.496479
7,0.71831
8,0.649452
9,0.649452
10,0.649452
11,0.580986
12,0.580986
13,0.593114
14,0.593114
15,0.593114
16,0.593114
17,0.593114
18,0.593114
19,0.593114
20,0.593114
21,0.593114
22,0.593114
23,0.593114
24,0.593114
25,0.593114
26,0.593114
27,0.593114
28,0.593114
29,0.593114
30,0.634194
31,0.634194
32,0.634194
33,0.634194
34,0.634194
35,0.634194
36,0.634194
37,0.634194
38,0.634194
39,0.634194
40,0.634194
41,0.634194
42,0.634194
43,0.634194
44,0.634194
45,0.634194
46,0.634194
47,0.634194
48,0.634194
49,0.634194
50,0.634194
51,0.634194
52,0.634194
53,0.634194
54,0.634194
55,0.634194
56,0.634194
57,0.634194
58,0.634194
59,0.634194
60,0.634194
61,0.634194
62,0.634194
63,0.634194
64,0.634194
65,0.634194
66,0.634194
67,0.634194
68,0.634194
69,0.634194
70,0.634194
71,0.634194
72,0.634194
73,0.634194
74,0.634194
75,0.634194
76,0.634194
77,0.634194
78,0.634194
79,0.634194
80,0.634194
81,0.634194
82,0.634194
83,0.634194
84,0.634194
85,0.634194
86,0.634194
87,0.634194
88,0.634194
89,0.634194
90,0.634194
91,0.634194
92,0.634194
93,0.634194
94,0.634194
95,0.634194
96,0.634194
97,0.634194
98,0.634194
99,0.634194
100,0.634194
101,0.634194
102,0.634194
103,0.634194
104,0.634194
105,0.634194
106,0.634194
107,0.634194
108,0.634194
109,0.634194
110,0.634194
111,0.634194
112,0.634194
113,0.634194
114,0.634194
115,0.634194
116,0.634194
117,0.634194
118,0.634194
119,0.634194
120,0.634194
121,0.634194
122,0.634194
123,0.634194
124,0.634194
125,0.634194
126,0.634194
127,0.634194
128,0.634194
129,0.634194
130,0.634194
131,0.634194
132,0.634194
133,0.634194
134,0.634194
135,0.634194
136,0.634194
137,0.634194
138,0.634194
139,0.634194
140,0.634194
141,0.634194
142,0.634194
143,0.634194
144,0.634194
145,0.634194
146,0.634194
147,0.634194
148,0.634194
149,0.634194
150,0.634194
151,0.634194
152,0.634194
153,0.634194
154,0.634194
155,0.634194
156,0.634194
157,0.634194
158,0.634194
159,0.634194
160,0.634194
161,0.634194
162,0.634194
163,0.634194
164,0.634194
165,0.634194
166,0.634194
167,0.634194
168,0.634194
169,0.634194
170,0.634194
171,0.634194
172,0.634194
173,0.634194
174,0.634194
175,0.634194
176,0.634194
177,0.634194
178,0.634194
179,0.634194
180,0.634194
181,0.634194
182,0.634194
183,0.634194
184,0.634194
185,0.634194
186,0.634194
187,0.634194
188,0.634194
189,0.634194
190,0.634194
191,0.634194
192,0.634194
193,0.634194
194,0.634194
195,0.634194
196,0.634194
197,0.634194
198,0.634194
199,0.634194
200,0.634194
201,0.634194
202,0.634194
203,0.634194
204,0.634194
205,0.634194
206,0.634194
207,0.634194
208,0.634194
209,0.634194
210,0.634194
211,0.634194
212,0.634194
213,0.634194
214,0.634194
215,0.634194
216,0.634194
217,0.634194
218,0.634194
219,0.634194
220,0.634194
221,0.634194
222,0.634194
223,0.757433
224,0.757433
225,0.757433
226,0.757433
227,0.757433
228,0.757433
229,0.757433
230,0.757433
231,0.757433
232,0.757433
233,0.757433
234,0.757433
235,0.757433
236,0.757433
237,0.757433
238,0.757433
239,0.757433
240,0.757433
241,0.757433
242,0.757433
243,0.757433
244,0.757433
245,0.757433
246,0.757433
247,0.757433
248,0.757433
249,0.757433
250,0.757433
251,0.757433
252,0.757433
253,0.757433
254,0.757433
255,0.757433
256,0.757433
257,0.757433
258,0.757433
259,0.757433
260,0.757433
261,0.757433
262,0.757433
263,0.757433
264,0.757433
265,0.757433
266,0.757433
267,0.757433
268,0.757433
269,0.757433
270,0.757433
271,0.757433
272,0.757433
273,0.757433
274,0.757433
275,0.757433
276,0.757433
277,0.757433
278,0.757433
279,0.757433
280,0.757433
281,0.757433
282,0.757433
283,0.757433
284,0.757433
285,0.757433
286,0.757433
287,0.757433
288,0.757433
289,0.757433
290,0.757433
291,0.757433
292,0.757433
