#step,index
0,0.496609
1,0.497509
2,0.496609
3,0.49308
4,0.49308
5,0.49308
6,0.49308
7,0.49308
8,0.49308
9,0.49308
10,0.49308
11,0.49308
12,0.49308
13,0.49308
14,0.49308
15,0.49308
16,0.49308
17,0.49308
18,0.49308
19,0.49308
20,0.49308
21,0.49308
22,0.49308
23,0.49308
24,0.49308
25,0.49308
26,0.49308
27,0.49308
28,0.499377
29,0.499377
30,0.499377
31,0.499377
32,0.499377
33,0.499377
34,0.499377
35,0.499377
36,0.499377
37,0.499377
38,0.499377
39,0.499377
40,0.499377
41,0.499377
42,0.499377
43,0.499377
44,0.499377
45,0.499377
46,0.499377
47,0.499377
48,0.499377
49,0.499377
50,0.499377
51,0.499377
52,0.499377
53,0.499377
54,0.499377
55,0.499377
56,0.499377
57,0.499377
58,0.499377
59,0.499377
60,0.499377
61,0.499377
62,0.499377
63,0.499377
64,0.499377
65,0.499377
66,0.499377
67,0.499377
68,0.499377
69,0.499377
70,0.499377
71,0.499377
72,0.499377
73,0.499377
74,0.499377
75,0.499377
76,0.494394
77,0.494394
78,0.494394
79,0.494394
80,0.494394
81,0.494394
82,0.494394
83,0.49827
84,0.49827
85,0.49827
86,0.49827
87,0.49827
88,0.49827
89,0.49827
90,0.49827
91,0.49827
92,0.49827
93,0.49827
94,0.49827
95,0.49827
96,0.49827
97,0.49827
98,0.49827
99,0.49827
100,0.49827
101,0.49827
102,0.49827
103,0.49827
104,0.49827
105,0.49827
106,0.49827
107,0.49827
108,0.49827
109,0.49827
110,0.49827
111,0.496609
112,0.496609
113,0.496609
114,0.496609
115,0.496609
116,0.496609
117,0.496609
118,0.496609
119,0.496609
120,0.496609
121,0.496609
122,0.496609
123,0.496609
124,0.496609
125,0.496609
126,0.496609
127,0.496609
128,0.496609
129,0.496609
130,0.496609
131,0.496609
132,0.496609
133,0.496609
134,0.496609
135,0.496609
136,0.496609
137,0.496609
138,0.496609
139,0.496609
140,0.496609
141,0.496609
142,0.496609
143,0.496609
144,0.496609
145,0.496609
146,0.496609
147,0.496609
148,0.496609
149,0.496609
150,0.496609
151,0.496609
152,0.496609
153,0.496609
154,0.496609
155,0.496609
156,0.496609
157,0.496609
158,0.496609
159,0.496609
160,0.496609
161,0.496609
162,0.496609
163,0.496609
164,0.496609
165,0.496609
166,0.496609
167,0.496609
168,0.496609
169,0.496609
170,0.496609
171,0.496609
172,0.496609
173,0.496609
174,0.496609
175,0.496609
176,0.496609
177,0.496609
178,0.496609
179,0.496609
180,0.496609
181,0.496609
182,0.496609
183,0.496609
184,0.496609
185,0.496609
186,0.496609
187,0.496609
188,0.496609
189,0.496609
190,0.496609
191,0.496609
192,0.496609
193,0.496609
194,0.496609
195,0.496609
196,0.496609
197,0.496609
198,0.496609
199,0.496609
200,0.496609
201,0.496609
202,0.494394
203,0.494394
204,0.494394
205,0.494394
206,0.494394
207,0.494394
208,0.494394
209,0.494394
210,0.494394
211,0.494394
212,0.494394
213,0.494394
214,0.494394
215,0.494394
216,0.494394
217,0.494394
218,0.494394
219,0.494394
220,0.494394
221,0.494394
222,0.494394
223,0.494394
224,0.494394
225,0.494394
226,0.494394
227,0.494394
228,0.494394
229,0.494394
230,0.494394
231,0.494394
232,0.494394
233,0.494394
234,0.494394
235,0.494394
236,0.494394
237,0.494394
238,0.494394
239,0.494394
240,0.494394
241,0.494394
242,0.494394
243,0.494394
244,0.494394
245,0.494394
246,0.494394
247,0.494394
248,0.494394
249,0.494394
250,0.494394
251,0.494394
252,0.494394
253,0.494394
254,0.494394
255,0.494394
256,0.494394
257,0.494394
258,0.494394
259,0.494394
260,0.494394
261,0.494394
262,0.494394
263,0.494394
264,0.494394
265,0.494394
266,0.494394
267,0.494394
268,0.494394
269,0.494394
270,0.494394
271,0.494394
272,0.494394
273,0.494394
274,0.494394
275,0.494394
276,0.494394
277,0.494394
278,0.494394
279,0.494394
280,0.494394
281,0.494394
282,0.494394
283,0.494394
284,0.494394
285,0.494394
286,0.494394
287,0.494394
288,0.494394
289,0.494394
290,0.494394
291,0.494394
292,0.494394
293,0.494394
294,0.494394
295,0.494394
296,0.494394
297,0.494394
298,0.494394
299,0.494394
300,0.494394
301,0.494394
302,0.494394
303,0.494394
304,0.494394
305,0.494394
306,0.494394
307,0.494394
308,0.494394
309,0.494394
310,0.494394
311,0.494394
312,0.494394
313,0.494394
314,0.494394
315,0.494394
316,0.494394
317,0.494394
318,0.494394
319,0.494394
320,0.494394
321,0.494394
322,0.494394
323,0.494394
324,0.494394
325,0.494394
326,0.494394
327,0.494394
328,0.494394
329,0.494394
330,0.494394
331,0.494394
332,0.494394
333,0.494394
334,0.494394
335,0.494394
336,0.494394
337,0.494394
338,0.494394
339,0.494394
340,0.494394
341,0.494394
342,0.494394
343,0.494394
344,0.494394
345,0.494394
346,0.494394
347,0.494394
348,0.494394
349,0.494394
350,0.494394
351,0.494394
352,0.494394
353,0.494394
354,0.494394
355,0.494394
356,0.494394
357,0.494394
358,0.494394
359,0.494394
360,0.494394
361,0.494394
362,0.494394
363,0.494394
364,0.494394
365,0.494394
366,0.494394
367,0.494394
368,0.494394
369,0.494394
370,0.494394
371,0.494394
372,0.494394
373,0.494394
374,0.494394
375,0.494394
376,0.494394
377,0.494394
378,0.494394
379,0.494394
380,0.494394
381,0.494394
382,0.494394
383,0.494394
384,0.494394
385,0.494394
386,0.494394
387,0.494394
388,0.494394
389,0.494394
390,0.494394
391,0.494394
392,0.494394
393,0.494394
394,0.494394
395,0.494394
396,0.494394
397,0.494394
398,0.494394
399,0.494394
400,0.494394
401,0.494394
402,0.494394
403,0.494394
404,0.494394
405,0.494394
406,0.494394
407,0.494394
408,0.494394
409,0.494394
410,0.494394
411,0.494394
412,0.494394
413,0.494394
414,0.494394
415,0.494394
416,0.494394
417,0.494394
418,0.494394
419,0.494394
420,0.494394
421,0.494394
422,0.494394
423,0.497509
424,0.497509
425,0.497509
426,0.497509
427,0.497509
428,0.497509
429,0.497509
430,0.49827
431,0.497509
432,0.497509
433,0.497509
434,0.497509
435,0.497509
436,0.497509
437,0.49827
438,0.49827
439,0.49827
440,0.49827
441,0.49827
442,0.49827
443,0.49827
444,0.49827
445,0.49827
446,0.49827
447,0.497509
448,0.49827
449,0.49827
450,0.49827
451,0.49827
452,0.49827
453,0.49827
454,0.49827
455,0.49827
456,0.49827
457,0.49827
458,0.49827
459,0.49827
460,0.49827
461,0.49827
462,0.49827
463,0.49827
464,0.49827
465,0.49827
466,0.49827
467,0.49827
468,0.49827
469,0.49827
470,0.49827
471,0.49827
472,0.49827
473,0.49827
