#step,index
0,0.105276
1,0.0902805
2,0.0902805
3,0.0902805
4,0.0902805
5,0.0902805
6,0.120088
7,0.0983606
8,0.0983606
9,0.0983606
10,0.10312
11,0.0928723
12,0.0913695
13,0.117484
14,0.117484
15,0.117484
16,0.117484
17,0.117484
18,0.119403
19,0.119403
20,0.119403
21,0.120622
22,0.120622
23,0.120622
24,0.120622
25,0.120622
26,0.120622
27,0.120622
28,0.120622
29,0.120622
30,0.120622
31,0.120622
32,0.120622
33,0.120622
34,0.120622
35,0.120622
36,0.120622
37,0.120622
38,0.120622
39,0.120622
40,0.120622
41,0.120622
42,0.120622
43,0.120622
44,0.120622
45,0.120622
46,0.120622
47,0.120622
48,0.120622
49,0.120622
50,0.120622
51,0.120622
52,0.120622
53,0.120622
54,0.120622
55,0.120622
56,0.120622
57,0.120622
58,0.120622
59,0.120622
60,0.120622
61,0.120622
62,0.120622
63,0.120622
64,0.120622
65,0.120622
66,0.120622
67,0.120622
68,0.120622
69,0.120622
70,0.120622
71,0.120622
72,0.120622
73,0.120622
74,0.120622
75,0.120622
76,0.120622
77,0.120622
78,0.120622
79,0.120622
80,0.120622
81,0.120622
82,0.120622
83,0.120622
84,0.120622
85,0.120622
86,0.120622
87,0.120622
88,0.120622
89,0.120622
90,0.120622
91,0.120622
92,0.120622
93,0.120622
94,0.120622
95,0.120622
96,0.120622
97,0.120622
98,0.120622
99,0.120622
100,0.120622
101,0.120622
102,0.120622
103,0.120622
104,0.120622
105,0.120622
106,0.120622
107,0.120622
108,0.120622
109,0.120622
110,0.120622
111,0.120622
112,0.120622
113,0.120622
114,0.120622
115,0.120622
116,0.120622
117,0.120622
118,0.120622
119,0.120622
120,0.120622
121,0.120622
122,0.120622
123,0.120622
124,0.120622
125,0.120622
126,0.120622
127,0.120622
128,0.120622
129,0.120622
130,0.120622
131,0.120622
132,0.120622
133,0.120622
134,0.120622
135,0.120622
136,0.120622
137,0.120622
138,0.120622
139,0.120622
140,0.120622
141,0.120622
142,0.120622
143,0.120622
144,0.120622
145,0.120622
146,0.120622
147,0.120622
148,0.120622
149,0.120622
150,0.120622
151,0.120622
152,0.120622
153,0.120622
154,0.120622
155,0.120622
156,0.120622
157,0.120622
158,0.120622
159,0.120622
160,0.120622
161,0.120622
162,0.124463
163,0.124463
164,0.124463
165,0.124463
166,0.124463
167,0.124463
168,0.124463
169,0.124463
170,0.124463
171,0.124463
172,0.124463
173,0.124463
174,0.124463
175,0.124463
176,0.124463
177,0.124463
178,0.124463
179,0.124463
180,0.124463
181,0.124463
182,0.124463
183,0.124463
184,0.124463
185,0.124463
186,0.124463
187,0.124463
188,0.124463
189,0.124463
190,0.124463
191,0.124463
192,0.124463
193,0.124463
194,0.124463
195,0.124463
196,0.124463
197,0.124463
198,0.124463
199,0.124463
200,0.124463
201,0.124463
202,0.124463
203,0.124463
204,0.124463
205,0.124463
206,0.124463
207,0.124463
208,0.124463
209,0.124463
210,0.124463
211,0.124463
212,0.124463
213,0.124463
214,0.124463
215,0.124463
216,0.124463
217,0.124463
218,0.124463
219,0.124463
220,0.124463
221,0.124463
222,0.124463
223,0.124463
224,0.124463
225,0.124463
226,0.124463
227,0.124463
228,0.124463
229,0.124463
230,0.124463
231,0.124463
232,0.124463
233,0.124463
234,0.124463
235,0.124463
236,0.124463
237,0.157894
238,0.157894
239,0.161555
240,0.161555
241,0.161555
242,0.161555
243,0.161555
244,0.161555
245,0.161555
246,0.161555
247,0.161555
248,0.161555
249,0.161555
250,0.161555
251,0.161555
252,0.161555
253,0.161555
254,0.161555
255,0.161555
256,0.161555
257,0.161555
258,0.161555
259,0.161555
260,0.161555
261,0.161555
262,0.161555
263,0.161555
264,0.161555
265,0.161555
266,0.161555
267,0.161555
268,0.161555
269,0.161555
270,0.161555
271,0.161555
272,0.161555
273,0.161555
274,0.161555
275,0.161555
276,0.161555
277,0.161555
278,0.161555
279,0.161555
280,0.161555
281,0.161555
282,0.161555
283,0.161555
284,0.161555
285,0.161555
286,0.161555
287,0.161555
288,0.161555
289,0.161555
290,0.161555
291,0.161555
292,0.161555
293,0.161555
294,0.161555
295,0.161555
296,0.161555
297,0.161555
298,0.161555
299,0.161555
300,0.161555
301,0.161555
302,0.161555
303,0.161555
304,0.161555
305,0.161555
306,0.161555
307,0.161555
308,0.161555
309,0.161555
310,0.161555
311,0.161555
312,0.161555
313,0.161555
314,0.161555
315,0.161555
316,0.161555
317,0.161555
318,0.161555
319,0.161555
320,0.161555
321,0.161555
322,0.161555
323,0.161555
324,0.161555
325,0.161555
326,0.161555
327,0.161555
328,0.161555
329,0.161555
330,0.161555
331,0.161555
332,0.161555
333,0.161555
334,0.161555
335,0.161555
336,0.161555
337,0.161555
338,0.161555
339,0.161555
340,0.161555
341,0.161555
342,0.161555
343,0.161555
344,0.161555
345,0.161555
346,0.161555
347,0.161555
348,0.161555
349,0.161555
350,0.161555
351,0.161555
352,0.161555
353,0.161555
354,0.161555
355,0.161555
356,0.161555
357,0.161555
358,0.161555
359,0.161555
360,0.161555
361,0.161555
362,0.161555
363,0.161555
364,0.161555
365,0.161555
366,0.161555
367,0.161555
368,0.161555
369,0.161555
370,0.161555
371,0.161555
372,0.161555
373,0.161555
374,0.161555
375,0.161555
376,0.161555
377,0.161555
378,0.161555
379,0.161555
380,0.161555
381,0.161555
382,0.161555
383,0.161555
384,0.161555
385,0.161555
386,0.161555
387,0.161555
388,0.161555
389,0.161555
390,0.161555
391,0.161555
392,0.161555
393,0.161555
394,0.161555
395,0.161555
396,0.161555
397,0.161555
398,0.161555
399,0.161555
400,0.161555
401,0.161555
402,0.12194
403,0.114384
404,0.114384
405,0.122044
406,0.122044
407,0.122044
408,0.122044
409,0.122044
410,0.122044
411,0.122044
412,0.115982
413,0.115982
414,0.115982
415,0.115982
416,0.115982
417,0.115982
418,0.115982
419,0.115982
420,0.115982
421,0.115982
422,0.115982
423,0.115982
424,0.115982
425,0.115982
426,0.114398
427,0.0966924
428,0.115094
429,0.115094
430,0.115094
431,0.115094
432,0.115094
433,0.115094
434,0.115094
435,0.115094
436,0.115094
437,0.115094
438,0.115094
439,0.115094
440,0.114949
441,0.114949
442,0.114949
443,0.114949
444,0.114949
445,0.114949
446,0.114949
447,0.114949
448,0.114949
449,0.114949
450,0.114949
451,0.114949
452,0.114949
453,0.113898
454,0.113898
455,0.113898
456,0.113898
457,0.113898
458,0.112897
459,0.112897
460,0.112897
461,0.112897
462,0.112897
463,0.112897
464,0.112897
465,0.112897
466,0.112897
467,0.112897
468,0.112897
469,0.112897
470,0.112897
471,0.112897
472,0.112897
473,0.112897
474,0.112897
475,0.112897
476,0.112897
477,0.112897
478,0.112897
479,0.112897
480,0.112897
481,0.112897
482,0.112897
483,0.112897
484,0.112897
485,0.100219
486,0.100219
487,0.100219
488,0.100219
489,0.100219
490,0.100219
491,0.100219
492,0.100219
493,0.100219
494,0.100219
495,0.100219
496,0.100219
497,0.100219
498,0.100219
499,0.100219
500,0.100219
501,0.100219
502,0.100219
503,0.100219
504,0.100219
505,0.100219
506,0.100219
507,0.100219
508,0.100219
509,0.100219
510,0.100219
511,0.100219
512,0.100219
513,0.100219
514,0.100219
515,0.100219
516,0.100219
517,0.100219
518,0.100219
519,0.100219
520,0.100219
