#step,index
0,61.8936
1,61.8936
2,61.8936
3,61.8936
4,64.1251
5,64.1251
6,64.1251
7,64.1251
8,64.1251
9,64.1251
10,64.1251
11,64.1251
12,64.1251
13,64.1251
14,64.1251
15,64.1251
16,64.1251
17,64.1251
18,64.1251
19,64.1251
20,64.1251
21,64.1251
22,64.1251
23,64.1251
24,64.1251
25,64.1251
26,64.1251
27,64.1251
28,64.1251
29,64.1251
30,64.1251
31,64.1251
32,64.1251
33,64.1251
34,64.1251
35,64.1251
36,64.1251
37,64.1251
38,64.1251
39,64.1251
40,64.1251
41,64.1251
42,64.1251
43,64.1251
44,64.1251
45,64.1251
46,64.1251
47,64.1251
48,64.1251
49,64.1251
50,64.1251
51,64.1251
52,64.1251
53,64.1251
54,64.1251
55,64.1251
56,64.1251
57,64.1251
58,64.1251
59,64.1251
60,64.1251
61,64.1251
62,64.1251
63,64.1251
64,64.1251
65,64.1251
66,64.1627
67,64.1627
68,64.1627
69,64.1627
70,64.1627
71,64.1627
72,64.1627
73,64.1627
74,64.1627
75,64.1627
76,64.1627
77,64.1627
78,64.1627
79,64.1627
80,64.1627
81,64.1627
82,64.1627
83,64.1627
84,64.1627
85,64.1627
86,64.1627
87,64.1627
88,64.1627
89,64.1627
90,64.1627
91,64.1627
92,64.1627
93,64.1627
94,64.1627
95,64.1627
96,64.1627
97,64.1627
98,64.1627
99,64.1627
100,64.1627
101,64.1627
102,64.1627
103,64.1627
104,64.1627
105,64.1627
106,64.1627
107,64.1627
108,64.1627
109,64.1627
110,64.1627
111,64.1627
112,64.1627
113,64.1627
114,64.1627
115,64.1627
116,64.1627
117,64.1627
118,64.1627
119,64.1627
120,64.1627
121,64.1627
122,64.1627
123,64.1627
124,64.1627
125,64.1627
126,64.1627
127,64.1627
128,64.1627
129,64.1627
130,64.1627
131,64.1627
132,64.1627
133,64.1627
134,64.1627
135,64.1627
136,64.1627
137,64.1627
138,64.1627
139,64.1627
140,64.1627
141,64.1627
142,64.1627
143,64.1627
144,64.1627
145,64.1627
146,64.1627
147,64.1627
148,64.1627
149,64.1627
150,64.1627
151,64.1627
152,64.1627
153,64.1627
154,64.1627
155,64.1627
156,64.1627
157,64.1627
158,64.1627
159,64.1627
160,64.1627
161,64.1627
162,64.1627
163,64.1627
164,64.1627
165,64.1627
166,64.1627
167,64.1627
168,64.1627
169,64.1627
170,64.1627
171,64.1627
172,64.1627
173,64.1627
174,64.1627
175,64.1627
176,64.1627
177,64.1627
178,64.1627
179,64.1627
180,64.1627
181,64.1627
182,64.1627
183,64.1627
184,64.1627
185,64.1627
186,64.1627
187,64.1627
188,64.1627
189,64.1627
190,64.1627
191,64.1627
192,64.1627
193,64.1627
194,64.1627
195,64.1627
196,64.1627
197,64.1627
198,64.1627
199,64.1627
200,64.1627
201,64.1627
202,64.6805
203,64.6805
204,64.6805
205,64.6805
206,64.6805
207,64.6805
208,64.6805
209,64.6805
210,64.6805
211,64.6805
212,64.6805
213,64.6805
214,64.6805
215,64.6805
216,64.6805
217,64.6805
218,64.6805
219,64.6805
220,64.6805
221,64.6805
222,64.6805
223,64.6805
224,64.6805
225,64.6805
226,64.6805
227,64.6805
228,64.6805
229,64.608
230,64.608
231,64.608
232,64.608
233,64.608
234,64.608
235,64.608
236,64.608
237,64.608
238,64.608
239,64.608
240,64.608
241,64.608
242,64.608
243,64.608
244,64.608
245,64.608
246,64.608
247,64.608
248,64.608
249,64.608
250,64.608
251,64.608
252,64.608
253,64.608
254,64.608
255,64.608
256,64.608
257,64.608
258,64.608
259,64.608
260,64.608
261,64.608
262,64.608
263,64.608
264,64.608
265,64.608
266,64.608
267,64.608
268,64.608
269,64.608
270,64.608
271,64.608
272,64.608
273,64.608
274,64.608
275,64.608
276,64.608
277,64.608
278,64.608
279,64.608
280,64.608
281,64.608
282,64.608
283,64.608
284,64.608
285,64.608
286,64.608
287,64.608
288,64.608
289,64.608
290,64.608
291,64.608
292,64.608
293,64.608
294,64.608
295,64.608
296,64.608
297,64.608
298,64.608
299,64.608
300,64.608
301,64.608
302,64.608
303,64.608
304,64.608
305,64.608
306,64.608
307,64.608
308,64.608
309,64.608
310,64.608
311,64.608
312,64.608
313,64.608
314,64.608
315,64.608
316,64.608
317,64.608
318,64.608
319,64.608
320,64.608
321,64.608
322,64.608
323,64.608
324,64.608
325,64.608
326,64.608
327,64.608
328,64.608
329,64.608
330,64.608
331,64.608
332,64.608
333,64.608
334,64.608
335,64.608
336,64.608
337,64.608
338,64.608
339,64.608
340,64.608
341,64.608
342,64.608
343,64.608
344,64.608
345,64.608
346,64.608
347,64.608
348,64.608
349,64.608
350,64.608
351,64.608
352,64.608
353,64.608
354,64.608
355,64.608
356,64.608
357,64.608
358,64.608
359,64.608
360,64.608
361,64.608
362,64.608
363,64.608
364,64.608
365,64.608
366,64.608
367,64.608
368,64.608
369,64.608
370,64.608
371,64.608
372,64.608
373,64.608
374,64.608
375,64.608
376,64.608
377,64.608
378,64.608
379,64.608
380,64.608
381,64.608
382,64.608
383,64.608
384,64.608
385,64.608
386,64.608
387,64.608
388,64.608
389,64.608
390,64.608
391,64.608
392,64.608
393,64.608
394,64.608
395,64.608
396,64.608
397,64.608
398,64.608
399,64.608
400,64.608
401,64.608
402,64.608
403,64.608
404,64.608
405,64.608
406,64.608
407,64.608
408,64.608
409,64.608
410,64.608
411,64.608
412,64.608
413,64.608
414,64.608
415,64.608
416,64.608
417,65.0778
418,65.0778
419,65.0778
420,65.0778
421,65.0778
422,65.0778
423,65.0778
424,65.0778
425,65.0778
426,65.0778
427,65.0778
428,65.0778
429,65.0778
430,65.0778
431,65.0778
432,65.0778
433,65.0778
434,65.0778
435,65.0778
436,65.0778
437,65.0778
438,65.0778
439,65.0778
440,65.0778
441,65.0778
442,65.0778
443,65.0778
444,65.0778
445,64.4777
446,64.4777
447,64.4777
448,64.4777
449,64.4777
450,64.4777
451,64.4777
452,64.4777
453,64.4777
454,64.4777
455,65.0118
456,65.0118
457,65.0118
458,65.0118
459,65.0118
460,65.0118
461,65.0118
462,65.0118
463,64.9983
464,64.9983
465,64.9983
466,64.9983
467,64.9983
468,64.9983
469,64.9983
470,64.9983
471,64.9983
472,64.9983
473,64.9983
474,64.9983
475,64.9983
476,64.9983
477,64.9983
478,64.9983
479,64.9983
480,64.9983
481,64.9983
482,64.9983
483,64.9983
484,64.9983
485,64.9983
486,64.9983
487,64.9983
488,64.9983
489,64.9983
490,64.9983
491,64.9983
492,64.9983
493,64.9983
494,64.9983
495,64.9983
496,64.9983
497,64.9983
498,64.9983
499,64.9983
500,64.9983
501,64.9983
502,64.9983
503,64.9983
504,64.9983
505,64.9983
506,64.9983
507,64.9983
508,64.9983
509,64.9983
510,64.9983
511,64.9983
512,64.9983
513,64.9983
514,64.9983
515,64.9983
516,64.9983
517,64.9983
518,64.9983
519,64.9983
520,64.9983
521,64.9983
522,64.9983
523,64.9983
524,64.9983
525,64.9983
526,64.9983
527,64.9983
528,64.9983
529,64.9983
530,64.9983
531,64.9983
532,64.9983
533,64.9983
534,64.9983
535,64.9983
536,64.9983
537,64.9983
538,64.9983
539,64.9983
540,64.9983
541,64.9983
542,64.9983
543,64.9983
544,64.9983
545,64.9983
546,64.9983
547,64.9983
548,64.9983
549,64.9983
550,64.9983
551,64.9983
552,64.9983
553,64.9983
554,64.9983
555,64.9983
556,64.9983
557,64.9983
558,64.9983
559,64.9983
560,64.9983
561,64.9983
562,64.9983
563,64.9983
564,64.9983
565,64.9983
566,64.9983
567,64.9983
568,64.9983
569,64.9983
570,64.9983
571,64.9983
572,64.9983
573,64.9983
574,64.9983
575,64.9983
576,64.9983
577,64.9983
578,64.9983
579,64.9983
580,64.9983
581,64.9983
582,64.9983
583,64.9983
584,64.9983
585,64.9983
586,64.9983
587,64.9983
588,64.9983
589,64.9983
590,64.9983
591,64.9983
592,64.9983
593,64.9983
594,64.9983
595,64.9983
596,64.9983
597,64.9983
598,64.9983
599,64.9983
600,64.9983
601,64.9983
602,64.9983
603,64.9983
604,64.9983
605,64.9983
606,64.9983
607,64.9983
608,64.9983
609,64.9983
610,64.9983
611,64.9983
612,64.9983
613,64.9983
614,64.9983
615,64.9983
616,64.9983
617,64.9983
618,64.9983
619,64.9983
620,64.9983
621,64.9983
622,64.9983
623,64.9983
624,64.9983
625,64.9983
626,64.9983
627,64.9983
628,64.9983
629,64.9983
630,64.9983
631,64.9983
632,64.9983
633,64.9983
634,64.9983
635,64.9983
636,64.9983
637,64.9983
638,64.9983
639,64.9983
640,64.9983
641,64.9983
642,64.9983
643,64.9983
644,64.9983
645,64.9983
646,64.9983
