#step,index
0,179.328
1,179.328
2,179.328
3,178.093
4,178.966
5,178.966
6,178.966
7,178.966
8,178.966
9,178.966
10,178.966
11,178.966
12,178.966
13,178.966
14,178.966
15,178.966
16,178.966
17,178.966
18,178.966
19,178.966
20,178.966
21,178.966
22,178.966
23,178.966
24,178.966
25,178.966
26,178.966
27,178.966
28,178.966
29,178.966
30,178.966
31,178.966
32,178.966
33,178.966
34,178.966
35,178.966
36,178.966
37,178.966
38,178.966
39,178.966
40,178.966
41,178.966
42,178.966
43,178.966
44,178.966
45,178.966
46,178.966
47,178.966
48,178.966
49,178.966
50,178.966
51,178.966
52,178.966
53,178.966
54,178.966
55,178.966
56,178.966
57,178.966
58,178.966
59,178.966
60,178.966
61,178.966
62,178.966
63,178.966
64,178.966
65,178.966
66,178.966
67,178.966
68,178.966
69,189.059
70,188.433
71,188.433
72,187.954
73,187.954
74,187.954
75,187.954
76,187.954
77,187.954
78,185.537
79,185.537
80,185.537
81,185.537
82,185.537
83,185.537
84,185.537
85,185.537
86,185.537
87,185.537
88,185.537
89,185.537
90,185.537
91,185.537
92,185.537
93,185.537
94,185.537
95,185.537
96,185.537
97,185.537
98,185.537
99,185.537
100,185.537
101,185.537
102,185.537
103,185.537
104,185.537
105,185.537
106,185.537
107,185.537
108,185.537
109,185.537
110,185.537
111,185.537
112,185.537
113,185.537
114,185.537
115,185.537
116,185.537
117,185.537
118,185.537
119,185.537
120,185.537
121,185.537
122,185.537
123,185.537
124,185.537
125,185.537
126,185.537
127,185.537
128,185.537
129,185.537
130,185.537
131,185.537
132,185.537
133,185.537
134,185.537
135,185.537
136,185.537
137,185.537
138,185.537
139,185.537
140,185.537
141,185.537
142,185.537
143,185.537
144,185.537
145,185.537
146,185.537
147,185.537
148,185.537
149,185.537
150,185.537
151,185.537
152,185.537
153,185.537
154,185.537
155,185.537
156,185.537
157,185.537
158,185.537
159,185.537
160,185.537
161,185.537
162,185.537
163,185.537
164,185.537
165,185.537
166,185.537
167,185.537
168,185.537
169,185.537
170,185.537
171,185.537
172,185.537
173,185.537
174,185.537
175,185.537
176,185.537
177,185.537
178,185.537
179,185.537
180,185.537
181,185.537
182,185.537
183,185.537
184,185.537
185,185.537
186,185.537
187,185.537
188,185.537
189,185.537
190,185.537
191,185.537
192,185.537
193,185.537
194,185.537
195,185.537
196,185.537
197,185.537
198,185.537
199,185.537
200,185.537
201,185.537
202,185.537
203,185.537
204,185.537
205,185.537
206,185.537
207,185.537
208,185.537
209,185.537
210,185.537
211,185.537
212,185.537
213,185.537
214,185.537
215,185.537
216,185.537
217,185.537
218,185.537
