#step,index
0,1.95015
1,1.95015
2,1.95015
3,1.37295
4,1.51129
5,1.51129
6,1.51129
7,1.51129
8,1.51129
9,1.51129
10,1.51129
11,1.51129
12,1.51129
13,1.51129
14,1.51129
15,1.51129
16,1.51129
17,1.51129
18,1.51129
19,1.51129
20,1.51129
21,1.51129
22,1.51129
23,1.51129
24,1.51129
25,1.51129
26,1.51129
27,1.51129
28,1.51129
29,1.51129
30,1.51129
31,1.51129
32,1.51129
33,1.51129
34,1.51129
35,1.51129
36,1.51129
37,1.51129
38,1.51129
39,1.51129
40,1.51129
41,1.51129
42,1.51129
43,1.51129
44,1.51129
45,1.51129
46,1.51129
47,1.51129
48,1.51129
49,1.51129
50,1.51129
51,1.51129
52,1.51129
53,1.51129
54,1.51129
55,1.51129
56,1.51129
57,1.51129
58,1.51129
59,1.51129
60,1.51129
61,1.51129
62,1.51129
63,1.51129
64,1.51129
65,1.51129
66,1.51129
67,1.51129
68,1.51129
69,1.51129
70,1.51129
71,1.51129
72,1.51129
73,1.51129
74,1.51129
75,1.51129
76,1.51129
77,1.51129
78,1.51129
79,1.51129
80,1.51129
81,1.51129
82,1.51129
83,1.51129
84,1.51129
85,1.51129
86,1.51129
87,1.51129
88,1.51129
89,1.51129
90,1.51129
91,1.51129
92,1.51129
93,1.51129
94,1.51129
95,1.51129
96,1.51129
97,1.51129
98,1.51129
99,1.51129
100,1.51129
101,1.51129
102,1.51129
103,1.51129
104,1.51129
105,1.51129
106,1.51129
107,1.51129
108,1.51129
109,1.51129
110,1.51129
111,1.51129
112,1.51129
113,1.51129
114,1.51129
115,1.51129
116,1.51129
117,1.51129
118,1.51129
119,1.51129
120,1.51129
121,1.51129
122,1.51129
123,1.51129
124,1.51129
125,1.51129
126,1.51129
127,1.51129
128,1.51129
129,1.51129
130,1.51129
131,1.51129
132,1.51129
133,1.51129
134,1.51129
135,1.51129
136,1.51129
137,1.51129
138,1.51129
139,1.51129
140,1.51129
141,1.51129
142,1.51129
143,1.51129
144,1.51129
145,1.51129
146,1.51129
147,1.51129
148,1.51129
149,1.51129
150,1.51129
151,1.51129
152,1.51129
153,1.51129
154,1.51129
155,1.51129
156,1.51129
157,1.51129
158,1.51129
159,1.51129
160,1.51129
161,1.51129
162,1.51129
163,1.51129
164,1.51129
165,1.51129
166,1.51129
167,1.51129
168,1.51129
169,1.51129
170,1.51129
171,1.51129
172,1.51129
173,1.51129
174,1.51129
175,1.51129
176,1.51129
177,1.51129
178,1.51129
179,1.51129
180,1.51129
181,1.51129
182,1.51129
183,1.51129
184,1.51129
185,1.51129
186,1.51129
187,1.51129
188,1.51129
189,1.51129
190,1.51129
191,1.51129
192,1.51129
193,1.51129
194,1.51129
195,1.51129
196,1.51129
197,1.51129
198,1.51129
199,1.51129
200,1.51129
201,1.51129
202,1.51129
203,1.51129
204,1.51129
205,1.51129
206,1.51129
207,1.51129
208,1.51129
209,1.51129
210,1.51129
211,1.51129
212,1.51129
213,1.51129
214,1.51129
215,1.51129
216,1.51129
217,1.51129
218,1.51129
219,1.51129
220,1.51129
221,1.51129
222,1.51129
223,1.51129
224,1.51129
225,1.51129
226,1.51129
227,1.51129
228,1.51129
229,1.51129
230,1.51129
231,1.51129
232,1.51129
233,1.51129
234,1.51129
235,1.51129
236,1.51129
237,1.51129
238,1.51129
239,1.51129
240,1.51129
241,1.51129
242,1.51129
243,1.51129
244,1.51129
245,1.51129
246,1.51129
247,1.51129
248,1.51129
249,1.51129
250,1.51129
251,1.51129
252,1.51129
253,1.51129
254,1.51129
255,1.51129
256,1.51129
257,1.51129
258,1.51129
259,1.51129
260,1.51129
261,1.51129
262,1.51129
263,1.51129
264,1.51129
265,1.51129
266,1.51129
267,1.51129
268,1.51129
269,1.51129
270,1.51129
271,1.51129
272,1.51129
273,1.51129
274,1.51129
275,1.51129
276,1.51129
277,1.51129
278,1.51129
279,1.51129
280,1.51129
281,1.51129
282,1.51129
283,1.51129
284,1.51129
285,1.51129
286,1.51129
287,1.51129
288,1.51129
289,1.51129
290,1.51129
291,1.51129
292,1.51129
293,1.51129
294,1.51129
295,1.51129
296,1.51129
297,1.51129
298,1.51129
299,1.51129
300,1.51129
301,1.51129
302,1.51129
303,1.51129
304,1.51129
305,1.51129
306,1.51129
307,1.51129
308,1.51129
309,1.51129
310,1.51129
311,1.51129
312,1.51129
313,1.51129
314,1.51129
315,1.51129
316,1.51129
317,1.51129
318,1.51129
319,1.51129
320,1.51129
321,1.51129
322,1.51129
323,1.51129
324,1.51129
325,1.51129
326,1.51129
327,1.51129
328,1.51129
329,1.51129
330,1.51129
331,1.51129
332,1.51129
333,1.51129
334,1.51129
335,1.51129
336,1.51129
337,1.51129
338,1.51129
339,1.51129
340,1.51129
341,1.51129
342,1.51129
343,1.51129
344,1.51129
345,1.51129
346,1.51129
347,1.51129
348,1.51129
349,1.51129
350,1.51129
351,1.51129
352,1.51129
353,1.51129
354,1.51129
355,1.51129
356,1.51129
357,1.51129
358,1.51129
359,1.51129
360,1.51129
361,1.51129
362,1.51129
363,1.51129
364,1.51129
365,1.51129
366,1.51129
367,1.51129
368,1.51129
369,1.51129
370,1.51129
371,1.51129
372,1.51129
373,1.51129
374,1.51129
375,1.51129
376,1.51129
377,1.51129
378,1.51129
379,1.51129
380,1.51129
381,1.51129
382,1.51129
383,1.51129
384,1.51129
385,1.51129
386,1.51129
387,1.51129
388,1.51129
389,1.51129
390,1.51129
391,1.51129
392,1.51129
393,1.51129
394,1.51129
395,1.51129
396,1.51129
397,1.51129
398,1.51129
399,1.51129
400,1.51129
401,1.51129
402,1.51129
403,1.51129
404,1.51129
405,1.51129
406,1.51129
407,1.51129
408,1.51129
409,1.51129
410,1.51129
411,1.51129
412,1.51129
413,1.51129
414,1.51129
415,1.51129
416,1.51129
417,1.51129
418,1.51129
419,1.51129
420,1.51129
421,1.51129
422,1.51129
423,1.51129
424,1.51129
425,1.51129
426,1.51129
427,1.51129
428,1.51129
429,1.51129
430,1.51129
431,1.51129
432,1.51129
433,1.51129
434,1.51129
435,1.51129
436,1.51129
437,1.51129
438,1.51129
439,1.51129
440,1.51129
441,1.51129
442,1.51129
443,1.51129
444,1.51129
445,1.51129
446,1.51129
447,1.51129
448,1.51129
449,1.51129
450,1.51129
451,1.51129
452,1.51129
453,1.51129
454,1.51129
455,1.51129
456,1.51129
457,1.51129
458,1.51129
459,1.51129
460,1.51129
461,1.51129
462,1.51129
463,1.51129
464,1.51129
465,1.51129
466,1.51129
467,1.51129
468,1.51129
469,1.51129
470,1.51129
471,1.51129
472,1.51129
473,1.51129
474,1.51129
475,1.51129
476,1.51129
477,1.51129
478,1.51129
479,1.51129
480,1.51129
481,1.51129
482,1.51129
483,1.51129
484,1.51129
485,1.51129
486,1.51129
487,1.51129
488,1.51129
489,1.51129
490,1.51129
491,1.51129
492,1.51129
493,1.51129
494,1.51129
495,1.51129
496,1.51129
497,1.51129
498,1.51129
499,1.51129
500,1.51129
501,1.51129
502,1.51129
503,1.51129
504,1.51129
505,1.51129
506,1.51129
507,1.51129
508,1.51129
509,1.51129
510,1.51129
511,1.51129
512,1.51129
513,1.51129
514,1.51129
515,1.51129
516,1.51129
517,1.51129
518,1.51129
519,1.51129
520,1.51129
521,1.51129
522,1.51129
523,1.51129
524,1.51129
525,1.51129
526,1.51129
527,1.51129
528,1.51129
529,1.51129
530,1.51129
531,1.51129
532,1.51129
533,1.51129
534,1.51129
535,1.51129
536,1.51129
537,1.51129
538,1.51129
539,1.51129
540,1.51129
541,1.51129
542,1.51129
543,1.51129
544,1.51129
545,1.51129
546,1.51129
547,1.51129
548,1.51129
549,1.51129
550,1.51129
551,1.51129
552,1.51129
553,1.51129
554,1.51129
555,1.51129
556,1.51129
557,1.51129
558,1.51129
559,1.51129
560,1.51129
561,1.51129
562,1.51129
563,1.51129
564,1.51129
565,1.51129
566,1.51129
567,1.51129
568,1.51129
569,1.51129
570,1.51129
571,1.51129
572,1.51129
573,1.51129
574,1.51129
575,1.51129
576,1.51129
577,1.51129
578,1.51129
579,1.51129
580,1.51129
581,1.51129
582,1.51129
583,1.51129
584,1.51129
585,1.51129
586,1.51129
587,1.51129
588,1.51129
589,1.51129
590,1.51129
591,1.51129
592,1.51129
593,1.51129
594,1.51129
595,1.51129
596,1.51129
597,1.51129
598,1.51129
599,1.51129
600,1.51129
601,1.51129
602,1.51129
603,1.51129
604,1.51129
605,1.51129
606,1.51129
607,1.51129
608,1.51129
609,1.51129
610,1.51129
611,1.51129
612,1.51129
613,1.51129
614,1.51129
615,1.51129
616,1.51129
617,1.51129
618,1.51129
619,1.51129
620,1.51129
621,1.51129
622,1.51129
623,1.51129
624,1.51129
625,1.51129
626,1.51129
627,1.51129
628,1.51129
629,1.51129
630,1.51129
631,1.51129
632,1.51129
633,1.51129
634,1.51129
635,1.51129
636,1.51129
637,1.51129
638,1.51129
639,1.51129
640,1.51129
641,1.51129
642,1.51129
643,1.51129
644,1.51129
645,1.51129
646,1.51129
647,1.51129
648,1.51129
649,1.51129
650,1.51129
651,1.51129
652,1.51129
653,1.51129
654,1.51129
655,1.51129
656,1.51129
657,1.51129
658,1.51129
659,1.51129
660,1.51129
661,1.51129
662,1.51129
663,1.51129
664,1.51129
665,1.51129
666,1.51129
667,1.51129
668,1.51129
669,1.51129
670,1.51129
671,1.51129
672,1.51129
673,1.51129
674,1.51129
675,1.51129
676,1.51129
677,1.51129
678,1.51129
679,1.51129
680,1.51129
681,1.51129
682,1.51129
683,1.51129
684,1.51129
685,1.51129
686,1.51129
687,1.51129
688,1.51129
689,1.51129
690,1.51129
691,1.51129
692,1.51129
693,1.51129
694,1.51129
695,1.51129
696,1.51129
697,1.51129
