#step,index
0,0.722339
1,0.722339
2,0.722339
3,0.722339
4,0.722339
5,0.722339
6,0.722339
7,0.722339
8,0.61328
9,0.61328
10,0.61328
11,0.61328
12,0.61328
13,0.61328
14,0.61328
15,0.61328
16,0.61328
17,0.667365
18,0.667365
19,0.667365
20,0.667365
21,0.787977
22,0.787977
23,0.787977
24,0.787977
25,0.787977
26,0.787977
27,0.787977
28,0.787977
29,0.787977
30,0.787977
31,0.787977
32,0.787977
33,0.787977
34,0.787977
35,0.787977
36,0.787977
37,0.787977
38,0.787977
39,0.787977
40,0.787977
41,0.787977
42,0.787977
43,0.787977
44,0.787977
45,0.787977
46,0.787977
47,0.787977
48,0.787977
49,0.787977
50,0.787977
51,0.787977
52,0.787977
53,0.787977
54,0.787977
55,0.787977
56,0.787977
57,0.787977
58,0.787977
59,0.787977
60,0.787977
61,0.787977
62,0.787977
63,0.787977
64,0.787977
65,0.787977
66,0.787977
67,0.787977
68,0.787977
69,0.787977
70,0.787977
71,0.787977
72,0.787977
73,0.787977
74,0.787977
75,0.787977
76,0.787977
77,0.787977
78,0.787977
79,0.787977
80,0.787977
81,0.697201
82,0.697201
83,0.697201
84,0.697201
85,0.697201
86,0.697201
87,0.697201
88,0.697201
89,0.697201
90,0.697201
91,0.697201
92,0.697201
93,0.697201
94,0.697201
95,0.697201
96,0.697201
97,0.697201
98,0.697201
99,0.697201
100,0.697201
101,0.697201
102,0.697201
103,0.697201
104,0.697201
105,0.697201
106,0.697201
107,0.697201
108,0.697201
109,0.697201
110,0.697201
111,0.697201
112,0.697201
113,0.697201
114,0.697201
115,0.697201
116,0.697201
117,0.697201
118,0.697201
119,0.697201
120,0.697201
121,0.697201
122,0.697201
123,0.697201
124,0.697201
125,0.697201
126,0.697201
127,0.697201
128,0.697201
129,0.697201
130,0.697201
131,0.697201
132,0.697201
133,0.697201
134,0.697201
135,0.697201
136,0.697201
137,0.697201
138,0.697201
139,0.697201
140,0.697201
141,0.697201
142,0.697201
143,0.697201
144,0.697201
145,0.697201
146,0.697201
147,0.697201
148,0.697201
149,0.697201
150,0.697201
151,0.697201
152,0.697201
153,0.697201
154,0.697201
155,0.697201
156,0.697201
157,0.697201
158,0.697201
159,0.697201
160,0.697201
161,0.697201
162,0.697201
163,0.697201
164,0.697201
165,0.697201
166,0.697201
167,0.697201
168,0.697201
169,0.697201
170,0.697201
171,0.697201
172,0.697201
173,0.697201
174,0.697201
175,0.697201
176,0.697201
177,0.697201
178,0.697201
179,0.697201
180,0.697201
181,0.697201
182,0.697201
183,0.697201
184,0.697201
185,0.697201
186,0.697201
187,0.697201
188,0.697201
189,0.697201
190,0.697201
191,0.697201
192,0.697201
193,0.697201
194,0.697201
195,0.697201
196,0.697201
197,0.697201
198,0.697201
199,0.697201
200,0.697201
201,0.697201
202,0.697201
203,0.697201
204,0.697201
205,0.697201
206,0.697201
207,0.697201
208,0.697201
209,0.697201
210,0.697201
211,0.697201
212,0.697201
213,0.697201
214,0.697201
215,0.697201
216,0.697201
217,0.697201
218,0.697201
219,0.697201
220,0.697201
221,0.697201
222,0.697201
223,0.697201
224,0.697201
225,0.697201
226,0.697201
227,0.697201
228,0.697201
229,0.697201
230,0.697201
231,0.697201
232,0.697201
233,0.697201
234,0.697201
235,0.697201
236,0.697201
237,0.697201
238,0.697201
239,0.697201
240,0.697201
241,0.697201
242,0.697201
243,0.697201
244,0.697201
245,0.697201
246,0.697201
247,0.697201
248,0.697201
249,0.697201
250,0.697201
251,0.697201
252,0.697201
253,0.697201
254,0.697201
255,0.697201
256,0.697201
257,0.697201
258,0.697201
259,0.697201
260,0.697201
261,0.697201
262,0.697201
263,0.697201
264,0.697201
265,0.697201
266,0.697201
267,0.697201
268,0.697201
269,0.697201
270,0.697201
271,0.697201
272,0.697201
273,0.697201
274,0.697201
275,0.697201
276,0.697201
277,0.697201
278,0.697201
279,0.697201
280,0.697201
281,0.697201
282,0.697201
283,0.697201
284,0.697201
285,0.697201
286,0.697201
287,0.697201
288,0.697201
289,0.697201
290,0.697201
291,0.697201
292,0.697201
293,0.697201
294,0.697201
295,0.697201
296,0.697201
297,0.697201
298,0.697201
299,0.697201
300,0.697201
301,0.697201
302,0.697201
303,0.697201
304,0.697201
305,0.697201
306,0.697201
307,0.697201
308,0.697201
309,0.697201
310,0.697201
311,0.697201
312,0.697201
313,0.697201
314,0.697201
315,0.697201
316,0.697201
317,0.697201
318,0.697201
319,0.697201
320,0.697201
321,0.697201
322,0.697201
323,0.697201
324,0.697201
325,0.697201
326,0.697201
327,0.697201
328,0.697201
329,0.697201
330,0.697201
331,0.697201
332,0.697201
333,0.697201
334,0.697201
335,0.697201
336,0.697201
337,0.697201
338,0.697201
339,0.697201
340,0.697201
341,0.697201
342,0.697201
343,0.697201
344,0.697201
345,0.697201
346,0.697201
347,0.697201
348,0.697201
349,0.697201
350,0.697201
351,0.697201
352,0.697201
353,0.697201
354,0.697201
355,0.697201
356,0.697201
357,0.697201
358,0.697201
359,0.697201
360,0.697201
361,0.697201
362,0.697201
363,0.697201
364,0.697201
365,0.697201
366,0.697201
367,0.697201
368,0.697201
369,0.697201
370,0.697201
371,0.697201
372,0.697201
373,0.697201
374,0.697201
375,0.697201
376,0.697201
377,0.697201
378,0.697201
379,0.697201
380,0.697201
381,0.697201
382,0.697201
383,0.697201
384,0.697201
385,0.697201
386,0.697201
387,0.697201
388,0.697201
389,0.697201
390,0.697201
391,0.697201
392,0.697201
393,0.697201
394,0.697201
395,0.697201
396,0.697201
397,0.697201
398,0.697201
399,0.697201
400,0.697201
401,0.697201
402,0.697201
403,0.697201
404,0.697201
405,0.697201
406,0.697201
407,0.697201
408,0.697201
409,0.697201
410,0.697201
411,0.697201
412,0.697201
413,0.697201
414,0.697201
415,0.697201
416,0.697201
417,0.697201
418,0.697201
419,0.697201
420,0.697201
421,0.697201
422,0.697201
423,0.697201
424,0.697201
425,0.697201
426,0.697201
427,0.697201
428,0.697201
429,0.697201
430,0.697201
431,0.697201
432,0.697201
433,0.697201
434,0.697201
435,0.697201
436,0.697201
437,0.697201
438,0.697201
439,0.697201
440,0.697201
441,0.697201
442,0.697201
443,0.697201
444,0.697201
445,0.697201
446,0.697201
447,0.697201
448,0.697201
449,0.697201
450,0.697201
451,0.697201
452,0.697201
453,0.697201
454,0.697201
455,0.697201
456,0.697201
457,0.697201
458,0.697201
459,0.697201
460,0.697201
461,0.697201
462,0.697201
463,0.697201
464,0.697201
465,0.697201
466,0.697201
467,0.697201
468,0.697201
469,0.697201
470,0.697201
471,0.697201
472,0.697201
473,0.697201
474,0.697201
475,0.697201
476,0.697201
477,0.697201
478,0.697201
479,0.697201
480,0.697201
481,0.697201
482,0.697201
483,0.697201
484,0.697201
485,0.697201
486,0.697201
487,0.697201
488,0.697201
489,0.697201
490,0.697201
491,0.697201
492,0.697201
493,0.697201
494,0.697201
495,0.697201
496,0.697201
497,0.697201
498,0.697201
499,0.697201
500,0.697201
501,0.697201
502,0.697201
503,0.697201
504,0.697201
505,0.697201
506,0.697201
507,0.697201
508,0.697201
