#step,index
0,0.496528
1,0.490355
2,0.490355
3,0.490355
4,0.490355
5,0.490355
6,0.490355
7,0.490355
8,0.490355
9,0.490355
10,0.490355
11,0.490355
12,0.490355
13,0.490355
14,0.490355
15,0.490355
16,0.490355
17,0.490355
18,0.490355
19,0.490355
20,0.490355
21,0.490355
22,0.490355
23,0.490355
24,0.490355
25,0.490355
26,0.490355
27,0.490355
28,0.490355
29,0.490355
30,0.490355
31,0.490355
32,0.490355
33,0.490355
34,0.490355
35,0.496528
36,0.496528
37,0.496528
38,0.496528
39,0.496528
40,0.496528
41,0.496528
42,0.496528
43,0.496528
44,0.496528
45,0.496528
46,0.496528
47,0.496528
48,0.496528
49,0.496528
50,0.496528
51,0.496528
52,0.496528
53,0.496528
54,0.496528
55,0.496528
56,0.496528
57,0.496528
58,0.496528
59,0.496528
60,0.496528
61,0.496528
62,0.496528
63,0.496528
64,0.496528
65,0.496528
66,0.496528
67,0.496528
68,0.496528
69,0.496528
70,0.496528
71,0.496528
72,0.496528
73,0.496528
74,0.496528
75,0.496528
76,0.496528
77,0.496528
78,0.496528
79,0.496528
80,0.496528
81,0.496528
82,0.496528
83,0.496528
84,0.496528
85,0.496528
86,0.496528
87,0.496528
88,0.496528
89,0.496528
90,0.496528
91,0.496528
92,0.496528
93,0.496528
94,0.496528
95,0.496528
96,0.496528
97,0.496528
98,0.496528
99,0.496528
100,0.496528
101,0.496528
102,0.496528
103,0.496528
104,0.496528
105,0.496528
106,0.496528
107,0.496528
108,0.496528
109,0.496528
110,0.496528
111,0.496528
112,0.496528
113,0.496528
114,0.496528
115,0.496528
116,0.496528
117,0.496528
118,0.496528
119,0.496528
120,0.496528
121,0.496528
122,0.496528
123,0.496528
124,0.496528
125,0.496528
126,0.496528
127,0.496528
128,0.496528
129,0.496528
130,0.496528
131,0.496528
132,0.496528
133,0.496528
134,0.496528
135,0.496528
136,0.496528
137,0.496528
138,0.496528
139,0.496528
140,0.496528
141,0.496528
142,0.496528
143,0.496528
144,0.496528
145,0.496528
146,0.496528
147,0.496528
148,0.496528
149,0.496528
150,0.496528
151,0.496528
152,0.496528
153,0.496528
154,0.496528
155,0.496528
156,0.496528
157,0.496528
158,0.496528
159,0.496528
160,0.496528
161,0.496528
162,0.496528
163,0.496528
164,0.496528
165,0.496528
166,0.496528
167,0.496528
168,0.496528
169,0.496528
170,0.496528
171,0.496528
172,0.496528
173,0.496528
174,0.496528
175,0.496528
176,0.496528
177,0.496528
178,0.496528
179,0.496528
180,0.496528
181,0.496528
182,0.496528
183,0.496528
184,0.496528
185,0.496528
186,0.496528
187,0.496528
188,0.496528
189,0.496528
190,0.496528
191,0.496528
192,0.496528
193,0.496528
194,0.496528
195,0.496528
196,0.496528
197,0.496528
198,0.496528
199,0.496528
200,0.496528
201,0.496528
202,0.496528
203,0.496528
204,0.496528
205,0.496528
206,0.496528
207,0.496528
208,0.496528
209,0.496528
210,0.496528
211,0.496528
212,0.496528
213,0.496528
214,0.496528
215,0.496528
216,0.496528
217,0.496528
218,0.496528
219,0.496528
220,0.496528
221,0.496528
222,0.496528
223,0.496528
224,0.496528
225,0.496528
226,0.496528
227,0.496528
228,0.496528
229,0.496528
230,0.496528
231,0.496528
232,0.496528
233,0.496528
234,0.496528
235,0.496528
236,0.496528
237,0.496528
238,0.496528
239,0.496528
240,0.496528
241,0.496528
242,0.496528
243,0.496528
244,0.496528
245,0.496528
246,0.496528
247,0.496528
248,0.496528
249,0.496528
250,0.496528
251,0.496528
252,0.496528
253,0.496528
254,0.496528
255,0.496528
256,0.496528
257,0.496528
258,0.496528
259,0.496528
260,0.496528
261,0.496528
262,0.496528
263,0.496528
264,0.496528
265,0.496528
266,0.496528
267,0.496528
268,0.496528
269,0.496528
270,0.496528
271,0.496528
272,0.496528
273,0.496528
274,0.496528
275,0.496528
276,0.496528
277,0.496528
278,0.496528
279,0.496528
