#step,index
0,0.159574
1,0.159574
2,0.12331
3,0.12331
4,0.12331
5,0.12331
6,0.12331
7,0.119102
8,0.123021
9,0.123021
10,0.123021
11,0.16709
12,0.16709
13,0.119505
14,0.119505
15,0.119505
16,0.119505
17,0.119505
18,0.119505
19,0.119505
20,0.119505
21,0.119505
22,0.119505
23,0.119505
24,0.119505
25,0.119505
26,0.119505
27,0.119505
28,0.119505
29,0.119505
30,0.097396
31,0.097396
32,0.097396
33,0.097396
34,0.097396
35,0.097396
36,0.097396
37,0.097396
38,0.097396
39,0.097396
40,0.097396
41,0.097396
42,0.097396
43,0.097396
44,0.097396
45,0.097396
46,0.097396
47,0.097396
48,0.097396
49,0.097396
50,0.097396
51,0.097396
52,0.097396
53,0.097396
54,0.097396
55,0.097396
56,0.097396
57,0.097396
58,0.097396
59,0.097396
60,0.097396
61,0.097396
62,0.097396
63,0.097396
64,0.097396
65,0.097396
66,0.097396
67,0.097396
68,0.097396
69,0.097396
70,0.097396
71,0.097396
72,0.097396
73,0.097396
74,0.097396
75,0.097396
76,0.097396
77,0.097396
78,0.097396
79,0.097396
80,0.097396
81,0.097396
82,0.097396
83,0.097396
84,0.097396
85,0.097396
86,0.097396
87,0.097396
88,0.097396
89,0.097396
90,0.097396
91,0.097396
92,0.097396
93,0.097396
94,0.097396
95,0.097396
96,0.097396
97,0.097396
98,0.097396
99,0.097396
100,0.097396
101,0.097396
102,0.097396
103,0.097396
104,0.097396
105,0.097396
106,0.097396
107,0.097396
108,0.097396
109,0.097396
110,0.097396
111,0.097396
112,0.097396
113,0.097396
114,0.097396
115,0.097396
116,0.097396
117,0.097396
118,0.097396
119,0.097396
120,0.097396
121,0.097396
122,0.097396
123,0.097396
124,0.097396
125,0.097396
126,0.097396
127,0.097396
128,0.097396
129,0.097396
130,0.097396
131,0.097396
132,0.097396
133,0.097396
134,0.097396
135,0.097396
136,0.097396
137,0.097396
138,0.097396
139,0.097396
140,0.097396
141,0.097396
142,0.097396
143,0.097396
144,0.097396
145,0.097396
146,0.097396
147,0.097396
148,0.097396
149,0.097396
150,0.097396
151,0.097396
152,0.097396
153,0.097396
154,0.097396
155,0.097396
156,0.097396
157,0.097396
158,0.097396
159,0.097396
160,0.097396
161,0.097396
162,0.097396
163,0.097396
164,0.097396
165,0.097396
166,0.097396
167,0.097396
168,0.097396
169,0.097396
170,0.097396
171,0.097396
172,0.097396
173,0.097396
174,0.097396
175,0.097396
176,0.097396
177,0.097396
178,0.097396
179,0.097396
180,0.097396
181,0.097396
182,0.097396
183,0.097396
184,0.097396
185,0.097396
186,0.097396
187,0.097396
188,0.097396
189,0.097396
190,0.097396
191,0.097396
192,0.097396
193,0.097396
194,0.097396
195,0.097396
196,0.097396
197,0.097396
198,0.097396
199,0.097396
200,0.097396
201,0.097396
202,0.097396
203,0.097396
204,0.097396
205,0.097396
206,0.097396
207,0.097396
208,0.097396
209,0.097396
210,0.097396
211,0.097396
212,0.097396
213,0.097396
214,0.097396
215,0.097396
216,0.097396
217,0.097396
218,0.097396
219,0.097396
220,0.097396
221,0.097396
222,0.097396
223,0.145534
224,0.145534
225,0.145534
226,0.145534
227,0.145534
228,0.145534
229,0.145534
230,0.145534
231,0.145534
232,0.145534
233,0.145534
234,0.145534
235,0.145534
236,0.145534
237,0.145534
238,0.145534
239,0.145534
240,0.145534
241,0.145534
242,0.145534
243,0.145534
244,0.145534
245,0.145534
246,0.145534
247,0.145534
248,0.145534
249,0.145534
250,0.145534
251,0.145534
252,0.145534
253,0.145534
254,0.145534
255,0.145534
256,0.145534
257,0.145534
258,0.145534
259,0.145534
260,0.145534
261,0.145534
262,0.145534
263,0.145534
264,0.145534
265,0.145534
266,0.145534
267,0.145534
268,0.145534
269,0.145534
270,0.145534
271,0.145534
272,0.145534
273,0.145534
274,0.145534
275,0.145534
276,0.145534
277,0.145534
278,0.145534
279,0.145534
280,0.145534
281,0.145534
282,0.145534
283,0.145534
284,0.145534
285,0.145534
286,0.145534
287,0.145534
288,0.145534
289,0.145534
290,0.145534
291,0.145534
292,0.145534
293,0.145534
294,0.145534
295,0.145534
296,0.145534
297,0.145534
298,0.145534
299,0.145534
300,0.145534
301,0.145534
302,0.145534
303,0.145534
304,0.145534
305,0.145534
306,0.145534
307,0.145534
308,0.145534
309,0.145534
310,0.145534
311,0.145534
312,0.145534
313,0.145534
314,0.145534
315,0.145534
316,0.145534
317,0.145534
318,0.145534
319,0.145534
320,0.145534
321,0.145534
322,0.145534
323,0.145534
324,0.145534
325,0.145534
326,0.145534
327,0.145534
328,0.145534
329,0.145534
330,0.145534
331,0.145534
332,0.145534
333,0.145534
334,0.145534
335,0.145534
336,0.145534
337,0.145534
338,0.107268
339,0.107268
340,0.107268
341,0.107268
342,0.107268
343,0.107268
344,0.107268
345,0.107268
346,0.107268
347,0.107268
348,0.107268
349,0.107268
350,0.107268
351,0.107268
352,0.107268
353,0.107268
354,0.107268
355,0.107268
356,0.107268
357,0.107268
358,0.107268
359,0.107268
360,0.107268
361,0.107268
362,0.107268
363,0.107268
364,0.107268
365,0.107268
366,0.107268
367,0.107268
368,0.107268
369,0.107268
370,0.107268
371,0.107268
372,0.107268
373,0.107268
374,0.107268
375,0.107268
376,0.107268
377,0.107268
378,0.107268
379,0.107268
380,0.107268
381,0.107268
382,0.107268
383,0.107268
384,0.107268
385,0.107268
386,0.107268
387,0.107268
388,0.107268
389,0.107268
390,0.107268
391,0.107268
392,0.160458
393,0.160458
394,0.160458
395,0.160458
396,0.160458
397,0.160458
398,0.160458
399,0.160458
400,0.127209
401,0.127209
402,0.138723
403,0.128162
404,0.127411
405,0.127411
406,0.127411
407,0.151426
408,0.151426
409,0.164114
410,0.164114
411,0.165818
412,0.165818
413,0.165818
414,0.17077
415,0.17077
416,0.17077
417,0.17077
418,0.17077
419,0.17077
420,0.17077
421,0.17077
422,0.17077
423,0.17077
424,0.17077
425,0.17077
426,0.17077
427,0.170177
428,0.171475
429,0.171475
430,0.171475
431,0.171475
432,0.171475
433,0.171475
434,0.171475
435,0.171475
436,0.166365
437,0.166365
438,0.166365
439,0.166365
440,0.171475
441,0.171475
442,0.171475
443,0.171475
444,0.171475
445,0.167104
446,0.167104
447,0.167104
448,0.167104
449,0.167104
450,0.167104
451,0.167104
452,0.167104
453,0.167104
454,0.167104
455,0.167104
456,0.167104
457,0.174493
458,0.174493
459,0.170247
460,0.169381
461,0.169381
462,0.169381
463,0.169381
464,0.169381
465,0.169381
466,0.169381
467,0.169381
468,0.169381
469,0.169381
470,0.169381
471,0.169381
472,0.169381
473,0.169381
474,0.169381
475,0.169381
476,0.169381
477,0.169381
478,0.169381
479,0.169381
480,0.169381
481,0.162193
482,0.162193
483,0.159052
484,0.159052
485,0.154031
486,0.154031
487,0.154031
488,0.154031
489,0.154031
490,0.154031
491,0.154031
492,0.154031
493,0.154031
494,0.154031
495,0.154031
496,0.154031
497,0.154031
498,0.154031
499,0.154031
500,0.154031
501,0.154031
502,0.154031
503,0.154031
504,0.154031
505,0.154031
506,0.154031
507,0.154031
508,0.154031
509,0.154031
510,0.154031
511,0.154031
512,0.154031
513,0.154031
514,0.154031
515,0.154031
516,0.154031
517,0.154031
518,0.154031
519,0.154031
520,0.154031
521,0.154031
522,0.154031
523,0.154031
524,0.154031
525,0.154031
526,0.154031
527,0.154031
528,0.154031
529,0.154031
530,0.154031
531,0.154031
532,0.154031
533,0.154031
534,0.154031
535,0.154031
536,0.154031
537,0.154031
538,0.154031
539,0.154031
540,0.154031
541,0.154031
542,0.154031
543,0.154031
544,0.154031
545,0.154031
546,0.154031
547,0.154031
548,0.154031
549,0.154031
550,0.154031
551,0.154031
552,0.154031
553,0.154031
554,0.154031
555,0.154031
556,0.154031
557,0.154031
558,0.154031
559,0.154031
560,0.154031
561,0.154031
562,0.154031
563,0.165541
564,0.165541
565,0.165541
566,0.165541
567,0.165541
568,0.165541
569,0.165541
570,0.165541
571,0.165541
572,0.165541
573,0.165541
574,0.165541
575,0.165541
576,0.165541
577,0.165541
578,0.165541
579,0.165541
580,0.165541
581,0.165541
582,0.165541
583,0.165541
584,0.167104
585,0.167104
586,0.167104
587,0.167104
588,0.167104
589,0.167104
590,0.167104
591,0.167104
592,0.167104
593,0.167104
594,0.167104
595,0.167104
596,0.167104
597,0.167104
598,0.167104
599,0.167104
600,0.167104
601,0.167104
602,0.167104
603,0.167104
604,0.167104
605,0.167104
606,0.167104
607,0.167104
608,0.167104
609,0.167104
610,0.167104
611,0.167104
612,0.167104
613,0.167104
614,0.167104
615,0.167104
616,0.167104
617,0.167104
618,0.167104
619,0.167104
620,0.167104
621,0.167104
622,0.167104
623,0.167104
624,0.167104
625,0.167104
626,0.167104
627,0.167104
628,0.167104
629,0.167104
630,0.167104
631,0.167104
632,0.167104
633,0.167104
634,0.167104
635,0.167104
636,0.167104
637,0.167104
638,0.167104
639,0.167104
640,0.167104
641,0.167104
642,0.167104
643,0.167104
644,0.178597
645,0.178591
646,0.178597
647,0.178597
648,0.178597
649,0.178597
650,0.178597
651,0.178597
652,0.178597
653,0.178597
654,0.178597
655,0.182814
656,0.182488
