#step,index
0,0.129244
1,0.17554
2,0.17554
3,0.17554
4,0.17554
5,0.17554
6,0.360725
7,0.360725
8,0.360725
9,0.360725
10,0.360725
11,0.360725
12,0.360725
13,0.360725
14,0.360725
15,0.360725
16,0.493827
17,0.104938
18,0.104938
19,0.104938
20,0.104938
21,0.104938
22,0.104938
23,0.104938
24,0.104938
25,0.104938
26,0.104938
27,0.104938
28,0.104938
29,0.104938
30,0.104938
31,0.104938
32,0.104938
33,0.104938
34,0.104938
35,0.104938
36,0.104938
37,0.104938
38,0.104938
39,0.104938
40,0.104938
41,0.104938
42,0.104938
43,0.104938
44,0.104938
45,0.104938
46,0.104938
47,0.104938
48,0.104938
49,0.104938
50,0.104938
51,0.104938
52,0.104938
53,0.104938
54,0.104938
55,0.104938
56,0.104938
57,0.104938
58,0.104938
59,0.104938
60,0.104938
61,0.313272
62,0.277778
63,0.277778
64,0.277778
65,0.277778
66,0.277778
67,0.258873
68,0.258873
69,0.258873
70,0.360725
71,0.360725
72,0.360725
73,0.313272
74,0.313272
75,0.401235
76,0.401235
77,0.401235
78,0.401235
79,0.239198
80,0.239198
81,0.239198
82,0.239198
83,0.239198
84,0.239198
85,0.239198
86,0.239198
87,0.239198
88,0.239198
89,0.239198
90,0.239198
91,0.239198
92,0.239198
93,0.239198
94,0.239198
95,0.239198
96,0.239198
97,0.239198
98,0.239198
99,0.239198
100,0.239198
101,0.239198
102,0.239198
103,0.424383
104,0.424383
105,0.424383
106,0.424383
107,0.424383
108,0.424383
109,0.424383
110,0.424383
111,0.424383
112,0.424383
113,0.424383
114,0.29591
115,0.29591
116,0.29591
117,0.29591
118,0.29591
119,0.29591
120,0.29591
121,0.29591
122,0.29591
123,0.29591
124,0.29591
125,0.29591
126,0.29591
127,0.29591
128,0.29591
129,0.29591
130,0.29591
131,0.29591
132,0.29591
133,0.29591
134,0.29591
135,0.29591
136,0.29591
137,0.29591
138,0.29591
139,0.29591
140,0.29591
141,0.29591
142,0.29591
143,0.29591
144,0.29591
145,0.29591
146,0.29591
147,0.29591
148,0.29591
149,0.29591
150,0.29591
151,0.29591
152,0.29591
153,0.29591
154,0.29591
155,0.29591
156,0.29591
157,0.29591
158,0.29591
159,0.29591
160,0.29591
161,0.29591
162,0.29591
163,0.29591
164,0.29591
165,0.29591
166,0.29591
167,0.29591
168,0.29591
169,0.29591
170,0.29591
171,0.29591
172,0.29591
173,0.29591
174,0.29591
175,0.29591
176,0.29591
177,0.29591
178,0.29591
179,0.29591
180,0.29591
181,0.29591
182,0.29591
183,0.29591
184,0.29591
185,0.29591
186,0.29591
187,0.29591
188,0.29591
189,0.29591
190,0.29591
191,0.29591
192,0.29591
193,0.29591
194,0.29591
195,0.29591
196,0.29591
197,0.29591
198,0.29591
199,0.29591
200,0.29591
201,0.29591
202,0.29591
203,0.29591
204,0.29591
205,0.29591
206,0.29591
207,0.29591
208,0.29591
209,0.29591
210,0.29591
211,0.29591
212,0.29591
213,0.29591
214,0.29591
215,0.29591
216,0.29591
217,0.29591
218,0.29591
219,0.29591
220,0.29591
221,0.29591
222,0.29591
223,0.29591
224,0.29591
225,0.29591
226,0.29591
227,0.29591
228,0.29591
229,0.29591
230,0.29591
231,0.29591
232,0.29591
233,0.29591
234,0.29591
235,0.29591
236,0.29591
237,0.29591
238,0.29591
239,0.29591
240,0.29591
241,0.29591
242,0.29591
243,0.29591
244,0.29591
245,0.29591
246,0.29591
247,0.29591
248,0.29591
249,0.29591
250,0.29591
251,0.29591
252,0.29591
253,0.29591
254,0.29591
255,0.29591
256,0.29591
257,0.29591
258,0.29591
259,0.29591
260,0.29591
261,0.29591
262,0.29591
263,0.29591
264,0.29591
265,0.29591
266,0.29591
267,0.29591
268,0.29591
269,0.29591
270,0.29591
271,0.29591
272,0.29591
273,0.29591
274,0.29591
275,0.29591
276,0.29591
277,0.29591
278,0.29591
279,0.29591
280,0.29591
281,0.29591
282,0.29591
283,0.29591
284,0.29591
285,0.29591
286,0.29591
287,0.29591
288,0.29591
289,0.29591
290,0.29591
291,0.29591
292,0.29591
293,0.29591
294,0.29591
295,0.29591
296,0.29591
297,0.29591
298,0.29591
299,0.29591
300,0.29591
301,0.29591
302,0.027392
303,0.027392
304,0.027392
305,0.027392
306,0.027392
307,0.027392
308,0.027392
309,0.027392
310,0.027392
311,0.027392
312,0.027392
313,0.027392
314,0.027392
315,0.027392
316,0.027392
317,0.027392
318,0.027392
319,0.027392
320,0.027392
321,0.027392
322,0.027392
323,0.027392
324,0.027392
325,0.027392
326,0.027392
327,0.027392
328,0.027392
329,0.027392
330,0.027392
331,0.027392
332,0.027392
333,0.027392
334,0.027392
335,0.027392
336,0.027392
337,0.027392
338,0.027392
339,0.027392
340,0.027392
341,0.027392
342,0.027392
343,0.027392
344,0.027392
345,0.027392
346,0.027392
347,0.027392
348,0.027392
349,0.027392
350,0.027392
351,0.027392
352,0.027392
353,0.027392
354,0.027392
355,0.027392
356,0.027392
357,0.027392
358,0.027392
359,0.027392
360,0.027392
361,0.027392
362,0.027392
363,0.027392
364,0.027392
365,0.027392
366,0.027392
367,0.027392
368,0.027392
369,0.027392
370,0.027392
371,0.027392
372,0.027392
373,0.027392
374,0.027392
375,0.027392
376,0.027392
377,0.027392
378,0.027392
379,0.027392
380,0.027392
381,0.027392
382,0.027392
383,0.027392
384,0.027392
385,0.027392
386,0.027392
387,0.027392
388,0.027392
389,0.027392
390,0.027392
391,0.027392
392,0.027392
393,0.027392
394,0.027392
395,0.027392
396,0.027392
397,0.027392
398,0.027392
399,0.027392
400,0.027392
401,0.027392
402,0.027392
403,0.027392
404,0.027392
405,0.027392
406,0.027392
407,0.027392
408,0.027392
409,0.027392
410,0.027392
411,0.027392
412,0.027392
413,0.027392
414,0.027392
415,0.027392
416,0.027392
417,0.027392
418,0.027392
419,0.027392
420,0.027392
421,0.027392
422,0.027392
423,0.027392
424,0.027392
425,0.027392
426,0.027392
427,0.027392
428,0.027392
429,0.027392
430,0.027392
431,0.027392
432,0.027392
433,0.027392
434,0.027392
435,0.027392
436,0.027392
437,0.027392
438,0.027392
439,0.027392
440,0.027392
441,0.027392
442,0.027392
443,0.027392
444,0.027392
445,0.027392
446,0.027392
447,0.027392
448,0.027392
449,0.027392
450,0.027392
451,0.027392
452,0.027392
453,0.027392
454,0.027392
455,0.027392
456,0.027392
457,0.027392
458,0.027392
459,0.027392
460,0.027392
461,0.027392
462,0.027392
463,0.027392
464,0.027392
465,0.027392
466,0.027392
467,0.027392
468,0.027392
469,0.027392
470,0.027392
471,0.027392
472,0.027392
473,0.027392
474,0.027392
475,0.027392
476,0.027392
477,0.027392
478,0.027392
479,0.027392
480,0.027392
481,0.027392
482,0.027392
483,0.027392
484,0.027392
485,0.027392
486,0.027392
487,0.027392
488,0.027392
489,0.027392
490,0.027392
491,0.027392
492,0.027392
493,0.027392
494,0.027392
495,0.027392
496,0.027392
497,0.027392
498,0.027392
499,0.027392
500,0.027392
501,0.027392
502,0.027392
503,0.027392
504,0.027392
505,0.027392
506,0.027392
507,0.027392
508,0.027392
509,0.027392
510,0.027392
511,0.027392
512,0.027392
513,0.027392
514,0.027392
515,0.027392
516,0.027392
517,0.027392
518,0.027392
519,0.027392
520,0.027392
521,0.027392
522,0.027392
523,0.027392
524,0.027392
525,0.027392
526,0.027392
527,0.027392
528,0.027392
529,0.027392
530,0.027392
531,0.027392
532,0.027392
533,0.027392
534,0.027392
535,0.027392
536,0.027392
537,0.027392
538,0.027392
539,0.027392
540,0.027392
541,0.027392
542,0.027392
543,0.027392
544,0.027392
545,0.027392
546,0.027392
547,0.027392
548,0.027392
549,0.027392
550,0.027392
551,0.027392
552,0.027392
553,0.027392
554,0.027392
555,0.027392
556,0.027392
557,0.027392
558,0.027392
559,0.027392
560,0.027392
561,0.027392
562,0.027392
563,0.027392
564,0.027392
565,0.027392
566,0.027392
567,0.027392
568,0.027392
569,0.027392
570,0.027392
571,0.027392
572,0.027392
573,0.027392
574,0.027392
575,0.027392
576,0.027392
577,0.027392
578,0.027392
579,0.027392
580,0.027392
581,0.027392
582,0.027392
583,0.027392
584,0.027392
585,0.027392
586,0.027392
587,0.027392
588,0.027392
589,0.027392
590,0.027392
591,0.027392
592,0.027392
593,0.027392
594,0.027392
595,0.027392
596,0.027392
597,0.027392
598,0.027392
599,0.027392
600,0.027392
601,0.027392
602,0.027392
603,0.027392
604,0.027392
605,0.027392
606,0.027392
607,0.027392
608,0.027392
609,0.027392
610,0.027392
611,0.027392
612,0.027392
613,0.027392
614,0.027392
615,0.027392
616,0.027392
617,0.027392
618,0.027392
619,0.027392
620,0.027392
621,0.027392
622,0.027392
623,0.027392
624,0.027392
625,0.027392
626,0.027392
627,0.027392
628,0.027392
629,0.027392
630,0.027392
631,0.027392
632,0.027392
633,0.027392
634,0.027392
635,0.027392
636,0.027392
637,0.027392
638,0.027392
639,0.027392
640,0.027392
641,0.027392
642,0.027392
643,0.027392
644,0.027392
645,0.027392
646,0.027392
647,0.027392
648,0.027392
649,0.027392
650,0.027392
651,0.027392
652,0.027392
653,0.027392
654,0.027392
655,0.027392
656,0.027392
657,0.027392
658,0.027392
659,0.027392
660,0.027392
661,0.027392
662,0.027392
663,0.027392
664,0.027392
665,0.027392
666,0.027392
667,0.027392
668,0.027392
669,0.027392
670,0.027392
671,0.027392
672,0.027392
673,0.027392
674,0.027392
675,0.027392
676,0.027392
677,0.027392
678,0.027392
679,0.027392
680,0.027392
681,0.027392
682,0.027392
683,0.027392
684,0.027392
685,0.027392
686,0.027392
687,0.027392
688,0.027392
689,0.027392
690,0.027392
691,0.027392
692,0.027392
693,0.027392
694,0.027392
695,0.027392
696,0.027392
697,0.027392
698,0.027392
699,0.027392
700,0.027392
701,0.027392
702,0.027392
703,0.027392
704,0.027392
705,0.027392
706,0.027392
707,0.027392
708,0.027392
709,0.027392
710,0.027392
711,0.027392
712,0.027392
713,0.027392
714,0.027392
715,0.027392
716,0.027392
717,0.027392
718,0.027392
719,0.027392
720,0.027392
721,0.027392
722,0.027392
723,0.027392
724,0.027392
725,0.027392
726,0.027392
727,0.027392
728,0.027392
729,0.027392
730,0.027392
731,0.027392
732,0.027392
733,0.027392
734,0.027392
735,0.027392
736,0.027392
737,0.027392
738,0.027392
739,0.027392
740,0.027392
741,0.027392
742,0.027392
743,0.027392
744,0.027392
745,0.027392
746,0.027392
747,0.027392
748,0.027392
749,0.027392
750,0.027392
751,0.027392
752,0.027392
753,0.027392
754,0.027392
755,0.027392
756,0.027392
757,0.027392
758,0.027392
759,0.027392
760,0.027392
761,0.027392
762,0.027392
763,0.027392
764,0.027392
765,0.027392
766,0.027392
767,0.027392
768,0.027392
769,0.027392
770,0.027392
771,0.027392
772,0.027392
773,0.027392
774,0.027392
775,0.027392
776,0.027392
777,0.027392
778,0.027392
779,0.027392
780,0.027392
781,0.027392
782,0.027392
783,0.027392
784,0.027392
785,0.027392
786,0.027392
787,0.027392
788,0.027392
789,0.027392
790,0.027392
791,0.027392
792,0.027392
793,0.027392
794,0.027392
795,0.027392
796,0.027392
797,0.027392
798,0.027392
799,0.027392
800,0.027392
801,0.027392
802,0.027392
803,0.027392
804,0.027392
805,0.027392
806,0.027392
807,0.027392
808,0.027392
809,0.027392
810,0.027392
811,0.027392
812,0.027392
813,0.027392
814,0.027392
815,0.027392
816,0.027392
817,0.027392
818,0.027392
819,0.027392
820,0.027392
821,0.027392
822,0.027392
823,0.027392
824,0.027392
825,0.027392
826,0.027392
827,0.027392
828,0.027392
829,0.027392
830,0.027392
831,0.027392
832,0.027392
833,0.027392
834,0.027392
835,0.027392
836,0.027392
837,0.027392
838,0.027392
839,0.027392
840,0.027392
841,0.027392
842,0.027392
843,0.027392
844,0.027392
845,0.027392
846,0.027392
847,0.027392
848,0.027392
849,0.027392
850,0.027392
851,0.027392
852,0.027392
853,0.027392
854,0.027392
855,0.027392
856,0.027392
857,0.027392
858,0.027392
859,0.027392
860,0.027392
861,0.027392
862,0.027392
863,0.027392
864,0.027392
865,0.027392
866,0.027392
867,0.027392
868,0.027392
869,0.027392
870,0.027392
871,0.027392
872,0.027392
873,0.027392
874,0.027392
875,0.027392
876,0.027392
877,0.027392
878,0.027392
879,0.027392
880,0.027392
881,0.027392
882,0.027392
883,0.027392
884,0.027392
885,0.027392
886,0.027392
887,0.027392
888,0.027392
889,0.027392
890,0.027392
891,0.027392
892,0.027392
893,0.027392
894,0.027392
895,0.027392
896,0.027392
897,0.027392
898,0.027392
899,0.027392
900,0.027392
901,0.027392
902,0.027392
903,0.027392
904,0.027392
905,0.027392
906,0.027392
907,0.027392
908,0.027392
909,0.027392
910,0.027392
911,0.027392
912,0.027392
913,0.027392
914,0.027392
915,0.027392
916,0.027392
917,0.027392
918,0.027392
919,0.027392
920,0.027392
921,0.027392
922,0.027392
923,0.027392
924,0.027392
925,0.027392
926,0.027392
927,0.027392
928,0.027392
929,0.027392
930,0.027392
931,0.027392
932,0.027392
933,0.027392
934,0.027392
935,0.027392
936,0.027392
937,0.027392
938,0.027392
939,0.027392
940,0.027392
941,0.027392
942,0.027392
943,0.027392
944,0.027392
945,0.027392
946,0.027392
947,0.027392
948,0.027392
949,0.027392
950,0.027392
951,0.027392
952,0.027392
953,0.027392
954,0.027392
955,0.027392
956,0.027392
957,0.027392
958,0.027392
959,0.027392
960,0.027392
961,0.027392
962,0.027392
963,0.027392
964,0.027392
965,0.027392
966,0.027392
967,0.027392
