#step,index
0,2.54989
1,2.54989
2,2.54989
3,1.89497
4,1.89497
5,1.89497
6,1.89497
7,2.32628
8,2.32628
9,2.32628
10,2.32628
11,2.32628
12,2.32628
13,2.32628
14,2.32628
15,2.32628
16,2.32628
17,2.32628
18,2.32628
19,2.32628
20,2.32628
21,2.32628
22,2.32628
23,2.32628
24,2.32628
25,2.32628
26,2.32628
27,2.32628
28,2.32628
29,2.32628
30,2.32628
31,2.32628
32,2.32628
33,2.32628
34,2.32628
35,2.32628
36,2.32628
37,2.32628
38,2.32628
39,2.32628
40,2.32628
41,2.32628
42,2.32628
43,2.32628
44,2.32628
45,2.32628
46,2.32628
47,2.32628
48,2.32628
49,2.32628
50,2.32628
51,2.32628
52,2.32628
53,2.32628
54,2.32628
55,2.32628
56,2.32628
57,2.32628
58,2.32628
59,2.32628
60,2.32628
61,2.32628
62,2.32628
63,2.32628
64,2.32628
65,2.32628
66,2.32628
67,2.32628
68,2.32628
69,2.32628
70,2.32628
71,2.32628
72,2.32628
73,2.32628
74,2.32628
75,2.32628
76,2.32628
77,2.32628
78,2.32628
79,2.32628
80,2.32628
81,2.32628
82,2.32628
83,2.32628
84,2.32628
85,2.32628
86,2.32628
87,2.32628
88,2.32628
89,2.32628
90,2.32628
91,2.32628
92,2.32628
93,2.32628
94,2.32628
95,2.32628
96,2.32628
97,2.32628
98,2.32628
99,2.32628
100,2.32628
101,2.32628
102,2.32628
103,2.32628
104,2.32628
105,2.32628
106,2.32628
107,2.32628
108,2.32628
109,2.32628
110,2.32628
111,2.32628
112,2.32628
113,2.32628
114,2.32628
115,2.32628
116,2.32628
117,2.32628
118,2.32628
119,2.32628
120,2.32628
121,2.32628
122,2.32628
123,2.32628
124,2.32628
125,2.32628
126,2.32628
127,2.32628
128,2.32628
129,2.32628
130,2.32628
131,2.32628
132,2.32628
133,2.32628
134,2.32628
135,2.32628
136,2.32628
137,2.32628
138,2.32628
139,2.32628
140,2.32628
141,2.32628
142,2.32628
143,2.32628
144,2.32628
145,2.32628
146,2.32628
147,2.32628
148,2.32628
149,2.32628
150,2.32628
151,2.32628
152,2.32628
153,2.32628
154,2.32628
155,2.32628
156,2.32628
157,2.32628
158,2.32628
159,2.32628
160,2.32628
161,2.32628
162,2.32628
163,2.32628
164,2.32628
165,2.32628
166,2.32628
167,2.32628
168,2.32628
169,2.32628
170,2.32628
171,2.32628
172,2.32628
173,2.32628
174,2.32628
175,2.32628
176,2.32628
177,2.32628
178,2.32628
179,2.32628
180,2.32628
181,2.32628
182,2.32628
183,2.32628
184,2.32628
185,2.32628
186,2.32628
187,2.32628
188,2.32628
189,2.32628
190,2.32628
191,2.32628
192,2.32628
193,2.32628
194,2.32628
195,2.32628
196,2.32628
197,2.32628
198,2.32628
199,2.32628
200,2.32628
201,2.32628
202,2.32628
203,2.32628
204,2.32628
205,2.32628
206,2.32628
207,2.32628
208,2.32628
209,2.32628
210,2.32628
211,2.32628
212,2.32628
213,2.32628
214,2.32628
215,2.32628
216,2.32628
217,2.32628
218,2.32628
219,2.32628
220,2.32628
221,2.32628
222,2.32628
223,2.32628
224,2.32628
225,2.32628
226,2.32628
227,2.32628
228,2.32628
229,2.32628
230,2.32628
231,2.32628
232,2.32628
233,2.32628
234,2.32628
235,2.32628
236,2.32628
237,2.32628
238,2.32628
239,2.32628
240,2.32628
241,2.32628
242,2.32628
243,2.32628
244,2.32628
245,2.32628
246,2.32628
247,2.32628
248,2.32628
249,2.32628
250,2.32628
251,2.32628
252,2.32628
253,2.32628
254,2.32628
255,2.32628
256,2.32628
257,2.32628
258,2.32628
259,2.32628
260,2.32628
261,2.32628
262,2.32628
263,2.32628
264,2.32628
265,2.32628
266,2.32628
267,2.32628
268,2.32628
269,2.32628
270,2.32628
271,2.32628
272,2.32628
273,2.32628
274,2.32628
275,2.32628
276,2.32628
277,2.32628
278,2.32628
279,2.32628
280,2.32628
281,2.32628
282,2.32628
283,2.32628
284,2.32628
285,2.32628
286,2.32628
287,2.32628
288,2.32628
289,2.32628
290,2.32628
291,2.32628
292,2.32628
293,2.32628
294,2.32628
295,2.32628
296,2.32628
297,2.32628
298,2.32628
299,2.32628
300,2.32628
301,2.32628
302,2.32628
303,2.32628
304,2.32628
305,2.32628
306,2.32628
307,2.32628
308,2.32628
309,2.32628
310,2.32628
311,2.32628
312,2.32628
313,2.32628
314,2.32628
315,2.32628
316,2.32628
317,2.32628
318,2.32628
319,2.32628
320,2.32628
321,2.32628
322,2.32628
323,2.32628
324,2.32628
325,2.32628
326,2.32628
327,2.32628
328,2.32628
329,2.32628
330,2.32628
331,2.32628
332,2.32628
333,2.32628
334,2.32628
335,2.32628
336,2.32628
337,2.32628
338,2.32628
339,2.32628
340,2.32628
341,2.32628
342,2.32628
343,2.32628
344,2.32628
345,2.32628
346,2.32628
347,2.32628
348,2.32628
349,2.32628
350,2.32628
351,2.32628
352,2.32628
353,2.32628
354,2.32628
355,2.32628
356,2.32628
357,2.32628
358,2.32628
359,2.32628
360,2.32628
361,2.32628
362,2.32628
363,2.32628
364,2.32628
365,2.32628
366,2.32628
367,2.32628
368,2.32628
369,2.32628
370,2.32628
371,2.32628
372,2.32628
373,2.32628
374,2.32628
375,2.32628
376,2.32628
377,2.32628
378,2.32628
379,2.32628
380,2.32628
381,2.32628
382,2.32628
383,2.32628
384,2.32628
385,2.32628
386,2.32628
387,2.32628
388,2.32628
389,2.32628
390,2.32628
391,2.32628
392,2.32628
393,2.32628
394,2.32628
395,2.32628
396,2.32628
397,2.32628
398,2.32628
399,2.32628
400,2.32628
401,2.32628
402,2.32628
403,2.32628
404,2.32628
405,2.32628
406,2.32628
407,2.32628
408,2.32628
409,2.32628
410,2.32628
411,2.32628
412,2.32628
413,2.32628
414,2.32628
415,2.32628
416,2.32628
417,2.32628
418,2.32628
419,2.32628
420,2.32628
421,2.32628
422,2.32628
423,2.32628
424,2.32628
425,2.32628
426,2.32628
427,2.32628
428,2.32628
429,2.32628
430,2.32628
431,2.32628
432,2.32628
433,2.32628
434,2.32628
435,2.32628
436,2.32628
437,2.32628
438,2.32628
439,2.32628
440,2.32628
441,2.32628
442,2.32628
443,2.32628
444,2.32628
445,2.32628
446,2.32628
447,2.32628
448,2.32628
449,2.32628
450,2.32628
451,2.32628
452,2.32628
453,2.32628
454,2.32628
455,2.32628
456,2.32628
457,2.32628
458,2.32628
459,2.32628
460,2.32628
461,2.32628
462,2.32628
463,2.32628
464,2.32628
465,2.32628
466,2.32628
467,2.32628
468,2.32628
469,2.32628
470,2.32628
471,2.32628
472,2.32628
473,2.32628
474,2.32628
475,2.32628
476,2.32628
477,2.32628
478,2.32628
479,2.32628
480,2.32628
481,2.32628
482,2.32628
483,2.32628
484,2.32628
485,2.32628
486,2.32628
487,2.32628
488,2.32628
489,2.32628
490,2.32628
491,2.32628
492,2.32628
493,2.32628
494,2.32628
495,2.32628
496,2.32628
497,2.32628
498,2.32628
499,2.32628
500,2.32628
501,2.32628
502,2.32628
503,2.32628
504,2.32628
505,2.32628
506,2.32628
507,2.32628
508,2.32628
509,2.32628
510,2.32628
511,2.32628
512,2.32628
513,2.32628
514,2.32628
515,2.32628
516,2.32628
517,2.32628
518,2.32628
519,2.32628
520,2.32628
521,2.32628
522,2.32628
523,2.32628
524,2.32628
525,2.32628
526,2.32628
527,2.32628
528,2.32628
529,2.32628
530,2.32628
531,2.32628
532,2.32628
533,2.32628
534,2.32628
535,2.32628
536,2.32628
537,2.32628
538,2.32628
539,2.32628
540,2.32628
541,2.32628
542,2.32628
543,2.32628
544,2.32628
545,2.32628
546,2.32628
547,2.32628
548,2.32628
549,2.32628
550,2.32628
551,2.32628
552,2.32628
553,2.32628
554,2.32628
555,2.32628
556,2.32628
557,2.32628
558,2.32628
559,2.32628
560,2.32628
561,2.32628
562,2.32628
563,2.32628
564,2.32628
565,2.32628
566,2.32628
567,2.32628
568,2.32628
569,2.32628
570,2.32628
571,2.32628
572,2.32628
573,2.32628
574,2.32628
575,2.32628
576,2.32628
577,2.32628
578,2.32628
579,2.32628
580,2.32628
581,2.32628
582,2.32628
583,2.32628
584,2.32628
585,2.32628
586,2.32628
587,2.32628
588,2.32628
589,2.32628
590,2.32628
591,2.32628
592,2.32628
593,2.32628
594,2.32628
595,2.32628
596,2.32628
597,2.32628
598,2.32628
599,2.32628
600,2.32628
601,2.32628
602,2.32628
603,2.32628
604,2.32628
605,2.32628
606,2.32628
607,2.32628
608,2.32628
609,2.32628
610,2.32628
611,2.32628
612,2.32628
613,2.32628
614,2.32628
615,2.32628
616,2.32628
617,2.32628
618,2.32628
619,2.32628
620,2.32628
621,2.32628
622,2.32628
623,2.32628
624,2.32628
625,2.32628
626,2.32628
627,2.32628
628,2.32628
629,2.32628
630,2.32628
631,2.32628
632,2.32628
633,2.32628
634,2.32628
635,2.32628
636,2.32628
637,2.32628
638,2.32628
639,2.32628
640,2.32628
641,2.32628
642,2.32628
643,2.32628
644,2.32628
645,2.32628
646,2.32628
647,2.32628
648,2.32628
649,2.32628
650,2.32628
651,2.32628
652,2.32628
653,2.32628
654,2.32628
655,2.32628
656,2.32628
657,2.32628
658,2.32628
659,2.32628
660,2.32628
661,2.32628
662,2.32628
663,2.32628
664,2.32628
665,2.32628
666,2.32628
667,2.32628
668,2.32628
669,2.32628
670,2.32628
671,2.32628
672,2.32628
673,2.32628
674,2.32628
675,2.32628
676,2.32628
677,2.32628
678,2.32628
679,2.32628
680,2.32628
681,2.32628
682,2.32628
683,2.32628
684,2.32628
685,2.32628
686,2.32628
687,2.32628
688,2.32628
689,2.32628
690,2.32628
691,2.32628
692,2.32628
693,2.32628
694,2.32628
695,2.32628
696,2.32628
697,2.32628
698,2.32628
699,2.32628
700,2.32628
701,2.32628
702,2.32628
703,2.32628
704,2.32628
705,2.32628
706,2.32628
707,2.32628
708,2.32628
709,2.32628
710,2.32628
711,2.32628
712,2.32628
713,2.32628
714,2.32628
715,2.32628
716,2.32628
717,2.32628
718,2.32628
719,2.32628
720,2.32628
721,2.32628
722,2.32628
723,2.32628
724,2.32628
725,2.32628
726,2.32628
727,2.32628
728,2.32628
729,2.32628
730,2.32628
731,2.32628
732,2.32628
733,2.32628
734,2.32628
735,2.32628
736,2.32628
737,2.32628
738,2.32628
739,2.32628
740,2.32628
741,2.32628
742,2.32628
743,2.32628
744,2.32628
745,2.32628
746,2.32628
747,2.32628
748,2.32628
749,2.32628
750,2.32628
751,2.32628
752,2.32628
753,2.32628
754,2.32628
755,2.32628
756,2.32628
757,2.32628
758,2.32628
759,2.32628
760,2.32628
761,2.32628
762,2.32628
763,2.32628
764,2.32628
765,2.32628
766,2.32628
767,2.32628
768,2.32628
769,2.32628
770,2.32628
771,2.32628
772,2.32628
773,2.32628
774,2.32628
775,2.32628
776,2.32628
777,2.32628
778,2.32628
779,2.32628
780,2.32628
781,2.32628
782,2.32628
783,2.32628
784,2.32628
785,2.32628
786,2.32628
787,2.32628
788,2.32628
789,2.32628
790,2.32628
791,2.32628
792,2.32628
793,2.32628
794,2.32628
795,2.32628
796,2.32628
797,2.32628
798,2.32628
799,2.32628
800,2.32628
801,2.32628
802,2.32628
803,2.32628
804,2.32628
805,2.32628
806,2.32628
807,2.32628
808,2.32628
809,2.32628
810,2.32628
811,2.32628
812,2.32628
813,2.32628
814,2.32628
815,2.32628
816,2.32628
817,2.32628
818,2.32628
819,2.32628
820,2.32628
821,2.32628
822,2.32628
823,2.32628
824,2.32628
825,2.32628
826,2.32628
827,2.32628
828,2.32628
829,2.32628
830,2.32628
831,2.32628
832,2.32628
833,2.32628
834,2.32628
835,2.32628
836,2.32628
837,2.32628
838,2.32628
839,2.32628
840,2.32628
841,2.32628
842,2.32628
843,2.32628
844,2.32628
845,2.32628
846,2.32628
847,2.32628
848,2.32628
849,2.32628
850,2.32628
851,2.32628
852,2.32628
853,2.32628
854,2.32628
855,2.32628
856,2.32628
857,2.32628
858,2.32628
859,2.32628
860,2.32628
