#step,index
0,0.4712
1,0.4662
2,0.4662
3,0.4608
4,0.4608
5,0.4608
6,0.4488
7,0.4488
8,0.48
9,0.4838
10,0.4838
11,0.4838
12,0.4838
13,0.4838
14,0.4838
15,0.48
16,0.4608
17,0.4608
18,0.4608
19,0.4608
20,0.4608
21,0.4608
22,0.4608
23,0.4608
24,0.4608
25,0.4608
26,0.4608
27,0.4608
28,0.4608
29,0.4608
30,0.4998
31,0.4998
32,0.4998
33,0.4998
34,0.4998
35,0.4998
36,0.4998
37,0.4998
38,0.4998
39,0.4998
40,0.4998
41,0.4998
42,0.4998
43,0.4998
44,0.4998
45,0.4998
46,0.4998
47,0.4998
48,0.4998
49,0.4998
50,0.4998
51,0.4998
52,0.4998
53,0.4998
54,0.4998
55,0.4998
56,0.4998
57,0.4998
58,0.4998
59,0.4998
60,0.4998
61,0.4998
62,0.4998
63,0.4998
64,0.4998
65,0.4998
66,0.4998
67,0.4998
68,0.4998
69,0.4998
70,0.4998
71,0.4998
72,0.4998
73,0.4998
74,0.4998
75,0.4998
76,0.4998
77,0.4998
78,0.4998
79,0.4998
80,0.4998
81,0.4998
82,0.4998
83,0.4998
84,0.4998
85,0.4998
86,0.4998
87,0.4998
88,0.4998
89,0.4998
90,0.4998
91,0.4998
92,0.4998
93,0.4998
94,0.4998
95,0.4998
96,0.4998
97,0.4998
98,0.4998
99,0.4998
100,0.4998
101,0.4998
102,0.4998
103,0.4998
104,0.4998
105,0.4998
106,0.4998
107,0.4998
108,0.4998
109,0.4998
110,0.4998
111,0.4998
112,0.4998
113,0.4998
114,0.4998
115,0.4998
116,0.4998
117,0.4998
118,0.4998
119,0.4998
120,0.4998
121,0.4998
122,0.4998
123,0.4998
124,0.4998
125,0.4998
126,0.4998
127,0.4998
128,0.4998
129,0.4998
130,0.4998
131,0.4998
132,0.4998
133,0.4998
134,0.4998
135,0.4998
136,0.4998
137,0.4998
138,0.4998
139,0.4998
140,0.4998
141,0.4998
142,0.4998
143,0.4998
144,0.4998
145,0.4998
146,0.4998
147,0.4998
148,0.4998
149,0.4998
150,0.4998
151,0.4998
152,0.4998
153,0.4998
