#step,index
0,2.03078
1,1.99697
2,1.99697
3,1.61638
4,1.49987
5,1.49233
6,1.49233
7,1.54049
8,1.60486
9,1.60486
10,1.60486
11,1.60486
12,1.60486
13,1.60486
14,1.60486
15,1.60486
16,1.60486
17,1.5286
18,1.64912
19,1.65815
20,1.51546
21,1.51546
22,1.51546
23,1.51546
24,1.51546
25,1.51546
26,1.51546
27,1.51546
28,1.51546
29,1.51546
30,1.51546
31,1.51546
32,1.51546
33,1.51546
34,1.51546
35,1.58765
36,1.58765
37,1.58765
38,1.58765
39,1.58765
40,1.58765
41,1.58765
42,1.58765
43,1.58765
44,1.58765
45,1.58765
46,1.58765
47,1.58765
48,1.58765
49,1.58765
50,1.58765
51,1.58765
52,1.58765
53,1.58765
54,1.58765
55,1.58765
56,1.58765
57,1.58765
58,1.58765
59,1.58765
60,1.58765
61,1.58765
62,1.58765
63,1.58765
64,1.58765
65,1.58765
66,1.58765
67,1.58765
68,1.58765
69,1.58765
70,1.58765
71,1.58765
72,1.58765
73,1.58765
74,1.58765
75,1.58765
76,1.58765
77,1.58765
78,1.58765
79,1.58765
80,1.58765
81,1.58765
82,1.58765
83,1.58765
84,1.58765
85,1.58765
86,1.58765
87,1.58765
88,1.58765
89,1.58765
90,1.58765
91,1.58765
92,1.58765
93,1.58765
94,1.58765
95,1.58765
96,1.58765
97,1.58765
98,1.58765
99,1.58765
100,1.58765
101,1.58765
102,1.58765
103,1.58765
104,1.58765
105,1.58765
106,1.58765
107,1.58765
108,1.58765
109,1.58765
110,1.58765
111,1.58765
112,1.58765
113,1.58765
114,1.58765
115,1.58765
116,1.58765
117,1.58765
118,1.58765
119,1.58765
120,1.58765
121,1.58765
122,1.58765
123,1.58765
124,1.58765
125,1.58765
126,1.58765
127,1.58765
128,1.58765
129,1.58765
130,1.58765
131,1.58765
132,1.58765
133,1.58765
134,1.58765
135,1.58765
136,1.58765
137,1.58765
138,1.58765
139,1.58765
140,1.58765
141,1.58765
142,1.58765
143,1.58765
144,1.58765
145,1.58765
146,1.58765
147,1.58765
148,1.58765
149,1.58765
150,1.58765
151,1.58765
152,1.58765
153,1.58765
154,1.58765
155,1.58765
156,1.58765
157,1.58765
158,1.58765
159,1.58765
160,1.58765
161,1.58765
162,1.58765
163,1.58765
164,1.58765
165,1.58765
166,1.58765
167,1.58765
168,1.58765
169,1.58765
170,1.58765
171,1.58765
172,1.58765
173,1.58765
174,1.58765
175,1.58765
176,1.58765
177,1.58765
178,1.58765
179,1.58765
180,1.58765
181,1.58765
182,1.58765
183,1.58765
184,1.58765
185,1.58765
186,1.58765
187,1.58765
188,1.58765
189,1.58765
190,1.58765
191,1.58765
192,1.58765
193,1.58765
194,1.58765
195,1.58765
196,1.58765
197,1.58765
198,1.58765
199,1.58765
200,1.58765
201,1.58765
202,1.58765
203,1.58765
204,1.58765
205,1.58765
206,1.58765
207,1.58765
208,1.58765
209,1.58765
210,1.58765
211,1.58765
212,1.58765
213,1.58765
214,1.58765
215,1.58765
216,1.58765
217,1.58765
218,1.58765
219,1.58765
220,1.58765
221,1.58765
222,1.58765
223,1.58765
224,1.58765
225,1.58765
226,1.58765
227,1.58765
228,1.58765
229,1.58765
230,1.58765
231,1.58765
232,1.58765
233,1.58765
234,1.58765
235,1.58765
236,1.58765
237,1.58765
238,1.58765
239,1.58765
240,1.58765
241,1.58765
242,1.58765
243,1.58765
244,1.58765
245,1.58765
246,1.58765
247,1.58765
248,1.58765
249,1.58765
250,1.58765
251,1.58765
252,1.58765
253,1.58765
254,1.58765
255,1.58765
256,1.58765
257,1.58765
258,1.58765
259,1.58765
260,1.58765
261,1.58765
262,1.58765
263,1.58765
264,1.58765
265,1.58765
266,1.58765
267,1.58765
268,1.58765
269,1.58765
270,1.58765
271,1.58765
272,1.58765
273,1.58765
274,1.58765
275,1.58765
276,1.58765
277,1.58765
278,1.58765
279,1.58765
280,1.58765
281,1.58765
282,1.58765
283,1.58765
284,1.58765
285,1.58765
286,1.58765
287,1.58765
288,1.58765
289,1.58765
290,1.58765
291,1.58765
292,1.58765
293,1.58765
294,1.58765
295,1.58765
296,1.58765
297,1.58765
