#step,index
0,0.536177
1,0.287394
2,0.595498
3,0.595498
4,0.595498
5,0.595498
6,0.595498
7,0.595498
8,0.595498
9,0.595498
10,0.595498
11,0.595498
12,0.595498
13,0.595498
14,0.595498
15,0.595498
16,0.595498
17,0.595498
18,0.595498
19,0.595498
20,0.595498
21,0.595498
22,0.595498
23,0.593919
24,0.593919
25,0.593919
26,0.593919
27,0.593919
28,0.593919
29,0.620596
30,0.620596
31,0.620596
32,0.620596
33,0.620596
34,0.620596
35,0.620596
36,0.620596
37,0.620596
38,0.620596
39,0.620596
40,0.620596
41,0.620596
42,0.620596
43,0.620596
44,0.620596
45,0.613312
46,0.613312
47,0.613312
48,0.613312
49,0.613312
50,0.613312
51,0.613312
52,0.613312
53,0.613312
54,0.613312
55,0.613312
56,0.613312
57,0.613312
58,0.613312
59,0.613312
60,0.613312
61,0.613312
62,0.613312
63,0.613312
64,0.613312
65,0.613312
66,0.613312
67,0.613312
68,0.613312
69,0.613312
70,0.613312
71,0.613312
72,0.613312
73,0.613312
74,0.613312
75,0.613312
76,0.613312
77,0.613312
78,0.613312
79,0.613312
80,0.613312
81,0.613312
82,0.613312
83,0.613312
84,0.613312
85,0.613312
86,0.613312
87,0.613312
88,0.613312
89,0.613312
90,0.613312
91,0.613312
92,0.613312
93,0.613312
94,0.613312
95,0.613312
96,0.613312
97,0.613312
98,0.613312
99,0.613312
100,0.613312
101,0.613312
102,0.613312
103,0.613312
104,0.613312
105,0.613312
106,0.613312
107,0.613312
108,0.613312
109,0.309947
110,0.309947
111,0.309947
112,0.309947
113,0.309947
114,0.309947
115,0.309947
116,0.309947
117,0.309947
118,0.309947
119,0.309947
120,0.309947
121,0.309947
122,0.309947
123,0.309947
124,0.309947
125,0.309947
126,0.309947
127,0.309947
128,0.309947
129,0.309947
130,0.309947
131,0.309947
132,0.309947
133,0.309947
134,0.309947
135,0.309947
136,0.309947
137,0.309947
138,0.309947
139,0.309947
140,0.309947
141,0.309947
142,0.309947
143,0.309947
144,0.309947
145,0.309947
146,0.309947
147,0.309947
148,0.309947
149,0.309947
150,0.309947
151,0.309947
152,0.309947
153,0.309947
154,0.309947
155,0.309947
156,0.309947
157,0.309947
158,0.309947
159,0.309947
160,0.309947
161,0.309947
162,0.309947
163,0.309947
164,0.309947
165,0.309947
166,0.309947
167,0.309947
168,0.309947
169,0.309947
170,0.309947
171,0.309947
172,0.309947
173,0.309947
174,0.309947
175,0.309947
176,0.309947
177,0.309947
178,0.309947
179,0.309947
180,0.309947
181,0.309947
182,0.309947
183,0.309947
184,0.309947
185,0.309947
186,0.309947
187,0.309947
188,0.309947
189,0.309947
190,0.309947
191,0.309947
192,0.309947
193,0.309947
194,0.309947
195,0.309947
196,0.309947
197,0.309947
198,0.309947
199,0.309947
200,0.309947
201,0.309947
202,0.309947
203,0.309947
204,0.309947
205,0.309947
206,0.309947
207,0.309947
208,0.309947
209,0.309947
210,0.309947
211,0.309947
212,0.309947
213,0.309947
214,0.309947
215,0.309947
216,0.309947
217,0.309947
218,0.309947
219,0.309947
220,0.309947
221,0.309947
222,0.309947
223,0.309947
224,0.309947
225,0.309947
226,0.309947
227,0.309947
228,0.309947
229,0.309947
230,0.309947
231,0.309947
232,0.309947
233,0.309947
234,0.309947
235,0.309947
236,0.309947
237,0.309947
238,0.309947
239,0.309947
240,0.309947
241,0.309947
242,0.309947
243,0.309947
244,0.309947
245,0.309947
246,0.309947
247,0.309947
248,0.309947
249,0.309947
250,0.309947
251,0.309947
252,0.309947
253,0.309947
254,0.309947
255,0.309947
256,0.309947
257,0.309947
258,0.309947
259,0.309947
260,0.309947
261,0.309947
262,0.309947
263,0.309947
264,0.309947
265,0.309947
266,0.309947
267,0.309947
268,0.309947
269,0.309947
270,0.309947
271,0.309947
272,0.309947
273,0.309947
274,0.309947
275,0.600588
276,0.600588
277,0.600588
278,0.600588
279,0.600588
280,0.600588
281,0.600588
282,0.600588
283,0.600588
284,0.600588
285,0.600588
286,0.600588
287,0.600588
288,0.600588
289,0.600588
290,0.600588
291,0.600588
292,0.600588
293,0.600588
294,0.600588
295,0.600588
296,0.600588
297,0.600588
298,0.600588
299,0.600588
300,0.600588
301,0.600588
302,0.600588
303,0.600588
304,0.600588
305,0.600588
306,0.600588
307,0.600588
308,0.600588
309,0.600588
310,0.600588
311,0.600588
312,0.600588
313,0.600588
314,0.600588
315,0.600588
316,0.600588
317,0.600588
318,0.600588
319,0.600588
320,0.600588
321,0.600588
322,0.600588
323,0.600588
324,0.600588
325,0.600588
326,0.600588
327,0.600588
328,0.600588
329,0.600588
330,0.600588
331,0.600588
332,0.600588
333,0.600588
334,0.600588
335,0.600588
336,0.600588
337,0.600588
338,0.600588
339,0.600588
340,0.600588
341,0.600588
342,0.600588
343,0.600588
344,0.600588
345,0.600588
346,0.600588
347,0.600588
348,0.600588
349,0.600588
350,0.600588
351,0.600588
352,0.600588
353,0.600588
354,0.600588
355,0.600588
356,0.600588
357,0.600588
358,0.600588
359,0.600588
360,0.600588
361,0.600588
362,0.600588
363,0.600588
364,0.632443
365,0.632443
366,0.632443
367,0.632443
368,0.632443
369,0.632443
370,0.632443
371,0.632443
372,0.632443
373,0.632443
374,0.632443
375,0.632443
376,0.632443
377,0.632443
378,0.632443
379,0.632443
380,0.632443
381,0.632443
382,0.632443
383,0.632443
384,0.632443
385,0.632443
386,0.632443
387,0.632443
388,0.632443
389,0.632443
390,0.632443
391,0.632443
392,0.632443
393,0.632443
394,0.632443
395,0.632443
396,0.632443
397,0.632443
398,0.632443
399,0.632443
400,0.632443
401,0.632443
402,0.632443
403,0.632443
404,0.632443
405,0.632443
406,0.632443
407,0.632443
408,0.632443
409,0.632443
410,0.632443
411,0.632443
412,0.632443
413,0.632443
414,0.632443
415,0.632443
416,0.632443
417,0.632443
418,0.632443
419,0.632443
420,0.632443
421,0.632443
422,0.632443
423,0.632443
424,0.632443
425,0.632135
426,0.659208
427,0.659208
428,0.653109
429,0.653109
430,0.653109
431,0.647449
432,0.616559
433,0.616559
434,0.616559
435,0.616559
436,0.616559
437,0.616559
438,0.616559
439,0.616559
440,0.616559
441,0.616559
442,0.616559
443,0.616559
444,0.616559
445,0.616559
446,0.616559
447,0.616559
448,0.616559
449,0.616559
450,0.616559
451,0.616559
452,0.616559
453,0.616559
454,0.616559
455,0.616559
456,0.616559
457,0.616559
458,0.616559
459,0.616559
460,0.616559
461,0.616559
462,0.616559
463,0.616559
464,0.616559
465,0.616559
466,0.616559
467,0.616559
468,0.616559
469,0.616559
470,0.616559
471,0.616559
472,0.616559
473,0.616559
474,0.616559
475,0.616559
476,0.616559
477,0.616559
478,0.616559
479,0.616559
480,0.616559
481,0.616559
482,0.616559
483,0.616559
484,0.616559
485,0.616559
486,0.616559
487,0.616559
488,0.616559
489,0.616559
490,0.616559
491,0.616559
492,0.616559
493,0.616559
494,0.616559
495,0.616559
496,0.616559
497,0.616559
498,0.616559
499,0.616559
500,0.616559
501,0.616559
502,0.616559
503,0.616559
504,0.616559
505,0.616559
506,0.616559
507,0.616559
508,0.616559
509,0.616559
510,0.616559
511,0.616559
512,0.616559
513,0.616559
514,0.616559
515,0.616559
516,0.616559
517,0.616559
518,0.616559
519,0.616559
520,0.616559
521,0.616559
522,0.616559
523,0.616559
524,0.616559
525,0.616559
526,0.616559
527,0.616559
528,0.616559
529,0.616559
530,0.616559
531,0.616559
532,0.616559
533,0.616559
534,0.616559
535,0.616559
536,0.616559
537,0.616559
538,0.616559
539,0.616559
540,0.616559
541,0.616559
542,0.616559
543,0.616559
544,0.616559
545,0.616559
546,0.616559
547,0.616559
548,0.616559
549,0.616559
550,0.616559
551,0.616559
552,0.616559
553,0.616559
554,0.616559
555,0.616559
556,0.616559
557,0.616559
558,0.616559
559,0.616559
560,0.616559
561,0.616559
562,0.616559
563,0.616559
564,0.616559
565,0.616559
566,0.616559
567,0.616559
568,0.616559
569,0.616559
570,0.616559
571,0.616559
572,0.616559
573,0.616559
574,0.616559
575,0.616559
576,0.616559
577,0.616559
578,0.616559
579,0.616559
580,0.616559
581,0.616559
582,0.616559
583,0.616559
584,0.616559
585,0.616559
586,0.616559
587,0.616559
588,0.616559
589,0.616559
590,0.616559
591,0.616559
592,0.616559
593,0.616559
594,0.616559
595,0.616559
596,0.616559
597,0.616559
598,0.616559
599,0.616559
600,0.616559
601,0.616559
602,0.616559
603,0.616559
604,0.616559
605,0.616559
606,0.616559
607,0.616559
608,0.616559
609,0.616559
610,0.616559
611,0.616559
612,0.616559
613,0.616559
614,0.616559
615,0.616559
616,0.616559
617,0.616559
618,0.616559
619,0.616559
620,0.616559
621,0.616559
622,0.616559
623,0.616559
624,0.616559
625,0.616559
626,0.616559
627,0.616559
628,0.616559
629,0.616559
630,0.616559
631,0.616559
632,0.616559
633,0.616559
634,0.616559
635,0.616559
636,0.616559
637,0.616559
638,0.616559
639,0.616559
640,0.616559
641,0.616559
642,0.616559
643,0.616559
644,0.616559
645,0.616559
646,0.616559
647,0.616559
648,0.616559
649,0.616559
650,0.616559
651,0.616559
652,0.616559
653,0.616559
654,0.616559
655,0.616559
656,0.616559
657,0.616559
658,0.616559
659,0.616559
660,0.616559
661,0.616559
662,0.616559
663,0.616559
664,0.616559
665,0.616559
666,0.616559
667,0.616559
668,0.616559
669,0.616559
670,0.616559
671,0.616559
672,0.616559
673,0.616559
674,0.616559
675,0.616559
676,0.616559
677,0.616559
678,0.616559
679,0.616559
680,0.616559
681,0.616559
682,0.616559
683,0.616559
684,0.616559
685,0.616559
686,0.616559
687,0.616559
688,0.616559
689,0.616559
690,0.616559
691,0.616559
692,0.616559
693,0.616559
694,0.616559
695,0.616559
696,0.616559
697,0.616559
698,0.616559
699,0.616559
700,0.616559
701,0.616559
702,0.616559
703,0.616559
704,0.616559
705,0.616559
706,0.616559
707,0.616559
708,0.616559
709,0.616559
710,0.616559
711,0.616559
712,0.616559
713,0.616559
714,0.616559
715,0.616559
716,0.616559
717,0.616559
718,0.616559
719,0.616559
720,0.616559
721,0.616559
722,0.616559
723,0.616559
724,0.616559
725,0.616559
726,0.616559
727,0.616559
728,0.616559
729,0.616559
730,0.616559
731,0.616559
732,0.616559
733,0.616559
734,0.616559
735,0.616559
736,0.616559
737,0.616559
738,0.616559
739,0.616559
740,0.616559
741,0.616559
742,0.616559
743,0.616559
744,0.616559
745,0.616559
746,0.616559
747,0.616559
748,0.616559
749,0.616559
750,0.616559
751,0.616559
752,0.616559
753,0.616559
754,0.616559
755,0.616559
756,0.616559
757,0.616559
758,0.616559
759,0.616559
760,0.616559
761,0.616559
762,0.616559
763,0.616559
764,0.616559
765,0.616559
766,0.616559
767,0.616559
768,0.616559
769,0.616559
770,0.616559
771,0.616559
772,0.616559
773,0.616559
774,0.616559
775,0.616559
776,0.616559
777,0.616559
778,0.616559
779,0.616559
780,0.616559
781,0.616559
782,0.616559
783,0.616559
784,0.616559
785,0.616559
786,0.616559
787,0.616559
788,0.616559
789,0.616559
790,0.616559
791,0.616559
792,0.616559
793,0.616559
794,0.616559
795,0.616559
796,0.616559
797,0.616559
798,0.616559
799,0.616559
800,0.616559
801,0.616559
802,0.616559
803,0.616559
804,0.616559
805,0.616559
806,0.616559
807,0.616559
808,0.616559
809,0.616559
810,0.616559
811,0.616559
812,0.616559
813,0.616559
814,0.616559
815,0.616559
816,0.616559
817,0.616559
818,0.616559
819,0.616559
820,0.616559
821,0.616559
822,0.616559
823,0.616559
824,0.616559
825,0.616559
826,0.616559
827,0.616559
828,0.616559
829,0.616559
830,0.616559
831,0.616559
832,0.616559
833,0.616559
834,0.616559
835,0.616559
836,0.616559
837,0.616559
838,0.616559
839,0.616559
840,0.616559
841,0.616559
842,0.616559
843,0.616559
844,0.616559
845,0.616559
846,0.616559
847,0.616559
848,0.616559
849,0.616559
850,0.616559
851,0.616559
852,0.616559
853,0.616559
854,0.616559
855,0.616559
856,0.616559
857,0.616559
858,0.616559
859,0.616559
860,0.616559
861,0.616559
862,0.616559
863,0.616559
864,0.616559
865,0.616559
866,0.616559
867,0.616559
868,0.616559
869,0.616559
870,0.616559
871,0.616559
872,0.616559
873,0.616559
874,0.616559
875,0.616559
876,0.616559
877,0.616559
878,0.616559
879,0.616559
880,0.616559
881,0.616559
882,0.616559
883,0.616559
884,0.616559
885,0.616559
886,0.616559
887,0.616559
888,0.616559
889,0.616559
890,0.616559
891,0.616559
892,0.616559
893,0.616559
894,0.616559
895,0.616559
896,0.616559
897,0.616559
898,0.616559
899,0.616559
900,0.616559
901,0.616559
902,0.616559
903,0.616559
904,0.616559
905,0.616559
906,0.616559
907,0.616559
908,0.616559
909,0.616559
910,0.616559
911,0.616559
912,0.616559
913,0.616559
914,0.616559
915,0.616559
916,0.616559
917,0.616559
918,0.616559
919,0.616559
920,0.616559
921,0.616559
922,0.616559
923,0.616559
924,0.616559
925,0.616559
926,0.616559
927,0.616559
928,0.616559
929,0.616559
930,0.616559
931,0.616559
932,0.616559
933,0.616559
934,0.616559
935,0.616559
936,0.616559
937,0.616559
938,0.616559
939,0.616559
940,0.616559
941,0.616559
942,0.616559
943,0.616559
944,0.616559
945,0.616559
946,0.616559
947,0.616559
948,0.616559
949,0.616559
950,0.616559
951,0.616559
952,0.616559
953,0.616559
954,0.616559
955,0.616559
956,0.616559
957,0.616559
958,0.616559
959,0.616559
960,0.616559
961,0.616559
962,0.616559
963,0.62279
964,0.62279
965,0.62279
966,0.62279
967,0.655127
968,0.655127
969,0.655127
970,0.643895
971,0.643895
972,0.643895
973,0.643895
974,0.643895
975,0.643895
976,0.643895
977,0.643895
978,0.643895
979,0.643895
980,0.643895
981,0.643895
982,0.643895
983,0.643895
984,0.643895
985,0.643895
986,0.643895
987,0.643895
988,0.643895
989,0.643895
990,0.643895
991,0.643895
992,0.643895
993,0.643895
994,0.643895
995,0.643895
996,0.643895
997,0.629152
998,0.629152
999,0.629152
1000,0.629152
1001,0.629152
1002,0.629152
1003,0.629152
1004,0.629152
1005,0.629152
1006,0.629152
1007,0.629152
1008,0.629152
1009,0.629152
1010,0.629152
1011,0.629152
1012,0.629152
1013,0.629152
1014,0.629152
1015,0.629152
1016,0.629152
1017,0.629152
1018,0.629152
1019,0.629152
1020,0.629152
1021,0.629152
1022,0.629152
1023,0.629152
1024,0.629152
1025,0.629152
1026,0.629152
1027,0.629152
1028,0.629152
1029,0.629152
1030,0.629152
1031,0.629152
1032,0.629152
1033,0.629152
1034,0.629152
1035,0.629152
1036,0.629152
1037,0.629152
1038,0.629152
1039,0.629152
