#step,index
0,70.519
1,73.9069
2,73.9069
3,91.3469
4,91.3469
5,91.3469
6,91.3469
7,91.3469
8,91.3469
9,105.094
10,105.094
11,105.094
12,105.094
13,105.094
14,105.094
15,105.094
16,105.094
17,105.094
18,105.094
19,105.094
20,105.094
21,105.094
22,105.094
23,105.094
24,105.094
25,105.094
26,105.094
27,105.094
28,105.094
29,105.094
30,105.094
31,105.094
32,105.094
33,105.094
34,105.094
35,105.094
36,105.094
37,105.094
38,105.094
39,105.094
40,105.094
41,105.094
42,105.094
43,105.094
44,105.094
45,105.094
46,105.094
47,105.094
48,105.094
49,105.094
50,100.688
51,100.688
52,100.688
53,100.688
54,100.688
55,100.688
56,100.688
57,100.688
58,100.688
59,100.688
60,100.688
61,100.688
62,100.688
63,100.688
64,100.688
65,100.688
66,100.688
67,100.688
68,100.688
69,100.688
70,100.688
71,100.688
72,100.688
73,100.688
74,100.688
75,100.688
76,100.688
77,100.688
78,100.688
79,100.688
80,100.688
81,100.688
82,100.688
83,100.688
84,100.688
85,100.688
86,100.688
87,100.688
88,100.688
89,100.688
90,100.688
91,100.688
92,100.688
93,100.688
94,100.688
95,100.688
96,100.688
97,100.688
98,100.688
99,100.688
100,100.688
101,100.688
102,100.688
103,100.688
104,100.688
105,100.688
106,100.688
107,100.688
108,100.688
109,100.688
110,100.688
111,100.688
112,100.688
113,100.688
114,100.688
115,100.688
116,100.688
117,100.688
118,100.688
119,100.688
120,100.688
121,100.688
122,100.688
123,100.688
124,100.688
125,100.688
126,100.688
127,100.688
128,100.688
129,100.688
130,100.688
131,100.688
132,100.688
133,100.688
134,100.688
135,100.688
136,100.688
137,100.688
138,100.688
139,100.688
140,100.688
141,100.688
142,100.688
143,100.688
144,100.688
145,100.688
146,100.688
147,100.688
148,100.688
149,100.688
150,120.827
151,120.827
152,120.827
153,120.827
154,120.827
155,120.827
156,120.827
157,120.827
158,120.827
159,120.827
160,120.827
161,120.827
162,120.827
163,120.827
164,120.827
165,120.827
166,120.827
167,120.827
168,120.827
169,120.827
170,120.827
171,120.827
172,120.827
173,120.827
174,120.827
175,120.827
176,120.827
177,120.827
178,120.827
179,120.827
180,120.827
181,120.827
182,120.827
183,120.827
184,120.827
185,120.827
186,120.827
187,120.827
188,120.827
189,120.827
190,120.827
191,120.827
192,120.827
193,120.827
194,120.827
