#step,index
0,167.801
1,167.801
2,167.801
3,167.801
4,167.801
5,167.801
6,167.801
7,167.801
8,167.801
9,182.454
10,182.454
11,182.454
12,182.454
13,182.454
14,182.454
15,182.454
16,182.454
17,182.454
18,182.454
19,182.454
20,182.454
21,182.454
22,182.454
23,182.454
24,182.454
25,182.454
26,182.454
27,182.454
28,182.454
29,182.454
30,182.454
31,182.454
32,182.454
33,182.454
34,182.454
35,182.454
36,182.454
37,182.454
38,182.454
39,182.454
40,182.454
41,182.454
42,182.454
43,182.454
44,182.454
45,182.454
46,182.454
47,182.454
48,182.454
49,182.454
50,182.454
51,182.454
52,182.454
53,182.454
54,182.454
55,182.454
56,182.454
57,182.454
58,182.454
59,182.454
60,182.454
61,182.454
62,182.454
63,182.454
64,182.454
65,182.454
66,182.454
67,182.454
68,182.454
69,182.454
70,182.454
71,182.454
72,182.454
73,182.454
74,182.454
75,182.454
76,182.454
77,182.454
78,182.454
79,182.454
80,182.454
81,182.454
82,182.454
83,182.454
84,182.454
85,182.454
86,182.454
87,182.454
88,182.454
89,182.454
90,182.454
91,182.454
92,182.454
93,182.454
94,182.454
95,182.454
96,182.454
97,182.454
98,182.454
99,182.454
100,182.454
101,182.454
102,182.454
103,182.454
104,182.454
105,182.454
106,182.454
107,182.454
108,182.454
109,182.454
110,182.454
111,182.454
112,182.454
113,182.454
114,182.454
115,182.454
116,182.454
117,182.454
118,182.454
119,182.454
120,182.454
121,182.454
122,182.454
123,182.454
124,182.454
125,182.454
126,182.454
127,182.454
128,182.454
129,182.454
130,182.454
131,182.454
132,182.454
133,182.454
134,182.454
135,182.454
136,182.454
137,182.454
138,182.454
139,182.454
140,182.454
141,182.454
142,182.454
143,182.454
144,182.454
145,182.454
146,182.454
147,182.454
148,182.454
149,182.454
150,182.454
151,182.454
152,182.454
153,182.454
154,182.454
155,182.454
156,182.454
157,182.454
158,182.454
159,182.454
160,182.454
161,182.454
162,182.454
163,182.454
164,182.454
165,182.454
166,182.454
167,182.454
168,182.454
169,182.454
170,182.454
171,182.454
172,182.454
173,182.454
174,182.454
175,182.454
176,182.454
177,182.454
178,182.454
179,182.454
180,182.454
181,182.454
182,182.454
183,182.454
184,182.454
185,182.454
186,182.454
187,182.454
188,182.454
189,182.454
190,182.454
191,182.454
192,182.454
193,182.454
194,182.454
195,182.454
196,182.454
197,182.454
198,182.454
199,182.454
200,182.454
201,182.454
202,182.454
203,182.454
204,182.454
205,182.454
206,182.454
207,182.454
208,182.454
209,182.454
210,182.454
211,182.454
212,182.454
213,182.454
214,182.454
215,182.454
216,182.454
217,182.454
218,182.454
219,182.454
220,182.454
221,182.454
222,182.454
223,182.454
224,182.454
225,182.454
226,182.454
227,182.454
228,182.454
229,182.454
230,182.454
231,182.454
232,182.454
233,182.454
234,182.454
235,182.454
236,182.454
237,182.454
238,182.454
239,182.454
240,182.454
241,182.454
242,182.454
243,182.454
244,182.454
245,182.454
246,182.454
247,182.454
248,182.454
249,182.454
250,182.454
251,182.454
252,182.454
253,182.454
254,182.454
255,182.454
256,182.454
257,182.454
258,182.454
259,182.454
260,182.454
261,182.454
262,182.454
263,182.454
264,182.454
265,182.454
266,182.454
267,182.454
268,182.454
269,182.454
270,182.454
271,182.454
272,182.454
273,182.454
274,182.454
275,182.454
276,182.454
277,182.454
278,182.454
279,182.454
280,182.454
281,182.454
282,182.454
283,182.454
284,182.454
285,182.454
286,182.454
287,182.454
288,182.454
289,182.454
290,182.454
291,182.454
292,182.454
293,182.454
294,182.454
295,182.454
296,182.454
297,182.454
298,182.454
299,182.454
300,182.454
301,182.454
302,182.454
303,182.454
304,182.454
305,182.454
306,182.454
307,182.454
308,182.454
309,182.454
310,182.454
311,182.454
312,182.454
313,182.454
314,182.454
315,182.454
316,182.454
317,182.454
318,182.454
319,182.454
320,182.454
321,182.454
322,182.454
323,182.454
324,182.454
325,182.454
326,182.454
327,182.454
328,182.454
329,182.454
330,182.454
331,182.454
332,182.454
333,182.454
334,182.454
335,182.454
336,182.454
337,182.454
338,182.454
339,182.454
340,182.454
341,182.454
342,182.454
343,182.454
344,182.454
345,182.454
346,182.454
347,182.454
348,182.454
349,182.454
350,182.454
351,182.454
352,182.454
353,182.454
354,182.454
355,182.454
356,182.454
357,182.454
358,182.454
359,182.454
360,182.454
361,182.454
362,182.454
363,182.454
364,182.454
365,182.454
366,182.454
367,182.454
368,182.454
369,182.454
370,182.454
371,182.454
372,182.454
373,182.454
374,182.454
375,182.454
376,182.454
377,182.454
378,182.454
379,182.454
380,182.454
381,182.454
382,182.454
383,182.454
384,182.454
385,182.454
386,182.454
387,182.454
388,182.454
389,182.454
390,182.454
391,182.454
392,182.454
393,182.454
394,182.454
395,182.454
396,182.454
397,182.454
398,182.454
399,182.454
400,182.454
401,182.454
402,182.454
403,182.454
404,182.454
405,182.454
406,182.454
407,182.454
408,182.454
409,182.454
410,182.454
411,182.454
412,182.454
413,182.454
414,182.454
415,182.454
416,182.454
417,182.454
418,182.454
419,182.454
420,182.454
421,182.454
422,182.454
423,182.454
424,182.454
425,182.454
426,182.454
