#step,index
0,0.612738
1,0.716676
2,0.716676
3,0.813795
4,0.813795
5,0.813795
6,0.813795
7,0.813795
8,0.813795
9,0.813795
10,0.813795
11,0.813795
12,0.813795
13,0.813795
14,0.813795
15,0.813795
16,0.813795
17,0.813795
18,0.813795
19,0.813795
20,0.813795
21,0.813795
22,0.813795
23,0.813795
24,0.813795
25,0.813795
26,0.813795
27,0.813795
28,0.813795
29,0.81101
30,0.81101
31,0.81101
32,0.81101
33,0.81101
34,0.81101
35,0.81101
36,0.81101
37,0.81101
38,0.81101
39,0.62655
40,0.687554
41,0.687554
42,0.687554
43,0.687554
44,0.687554
45,0.674819
46,0.674819
47,0.674819
48,0.674819
49,0.674819
50,0.674819
51,0.674819
52,0.674819
53,0.674819
54,0.674819
55,0.674819
56,0.674819
57,0.674819
58,0.674819
59,0.674819
60,0.674819
61,0.674819
62,0.674819
63,0.674819
64,0.674819
65,0.674819
66,0.674819
67,0.674819
68,0.674819
69,0.799995
70,0.799995
71,0.799995
72,0.789178
73,0.789178
74,0.765564
75,0.765564
76,0.765564
77,0.765564
78,0.765564
79,0.765564
80,0.765564
81,0.765564
82,0.765564
83,0.765564
84,0.765564
85,0.765564
86,0.765564
87,0.765564
88,0.765564
89,0.765564
90,0.765564
91,0.765564
92,0.765564
93,0.765564
94,0.765564
95,0.765564
96,0.765564
97,0.765564
98,0.765564
99,0.765564
100,0.765564
101,0.765564
102,0.765564
103,0.797272
104,0.797272
105,0.797272
106,0.797272
107,0.797272
108,0.797272
109,0.797272
110,0.797272
111,0.797272
112,0.797272
113,0.797272
114,0.797272
115,0.797272
116,0.797272
117,0.797272
118,0.797272
119,0.797272
120,0.797272
121,0.797272
122,0.797272
123,0.797272
124,0.797272
125,0.797272
126,0.797272
127,0.797272
128,0.797272
129,0.797272
130,0.797272
131,0.797272
132,0.797272
133,0.797272
134,0.797272
135,0.797272
136,0.797272
137,0.797272
138,0.797272
139,0.797272
140,0.797272
141,0.797272
142,0.797272
143,0.797272
144,0.797272
145,0.797272
146,0.797272
147,0.797272
148,0.797272
149,0.797272
150,0.797272
151,0.797272
152,0.797272
153,0.797272
154,0.797272
155,0.797272
156,0.836518
157,0.836518
158,0.836518
159,0.836518
160,0.836518
161,0.836518
162,0.836518
163,0.836518
164,0.836518
165,0.836518
166,0.836518
167,0.836518
168,0.836518
169,0.836518
170,0.836518
171,0.836518
172,0.836518
173,0.836518
174,0.836518
175,0.836518
176,0.836518
177,0.836518
178,0.836518
179,0.836518
180,0.836518
181,0.836518
182,0.836518
183,0.836518
184,0.836518
185,0.836518
186,0.836518
187,0.836518
188,0.836518
189,0.836518
190,0.836518
191,0.836518
192,0.836518
193,0.836518
194,0.836518
195,0.836518
196,0.836518
197,0.836518
198,0.836518
199,0.836518
200,0.836518
201,0.836518
202,0.836518
203,0.836518
204,0.836518
205,0.836518
206,0.836518
207,0.836518
208,0.836518
209,0.836518
210,0.836518
211,0.836518
212,0.836518
213,0.836518
214,0.836518
215,0.836518
216,0.836518
217,0.836518
218,0.836518
219,0.836518
220,0.836518
221,0.836518
222,0.836518
223,0.836518
224,0.836518
225,0.836518
226,0.836518
227,0.836518
228,0.836518
229,0.836518
230,0.836518
231,0.836518
232,0.836518
233,0.836518
234,0.836518
235,0.836518
236,0.836518
237,0.836518
238,0.836518
239,0.836518
240,0.836518
241,0.836518
242,0.836518
243,0.836518
244,0.836518
245,0.836518
246,0.836518
247,0.836518
248,0.836518
249,0.836518
250,0.836518
251,0.836518
252,0.836518
253,0.836518
254,0.836518
255,0.836518
256,0.836518
257,0.836518
258,0.836518
259,0.836518
260,0.836518
261,0.836518
262,0.836518
263,0.836518
264,0.836518
265,0.836518
266,0.836518
267,0.836518
268,0.836518
269,0.836518
270,0.836518
271,0.836518
272,0.836518
273,0.836518
274,0.836518
275,0.836518
276,0.836518
277,0.836518
278,0.836518
279,0.836518
280,0.836518
281,0.836518
282,0.836518
283,0.836518
284,0.836518
285,0.836518
286,0.836518
287,0.836518
288,0.825058
289,0.825058
290,0.825058
291,0.825058
292,0.825058
293,0.825058
294,0.825058
295,0.825058
296,0.825058
297,0.825058
298,0.825058
299,0.825058
300,0.825058
301,0.825058
302,0.825058
303,0.825058
304,0.825058
305,0.825058
306,0.825058
307,0.825058
308,0.825058
309,0.825058
310,0.825058
311,0.825058
312,0.825058
313,0.825058
314,0.825058
315,0.825058
316,0.825058
317,0.825058
318,0.825058
319,0.825058
320,0.825058
321,0.825058
322,0.825058
323,0.825058
324,0.825058
325,0.825058
326,0.825058
327,0.825058
328,0.825058
329,0.825058
330,0.825058
331,0.825058
332,0.825058
333,0.825058
334,0.825058
335,0.825058
336,0.825058
337,0.825058
338,0.825058
339,0.825058
340,0.825058
341,0.825058
342,0.825058
343,0.825058
344,0.825058
345,0.825058
346,0.825058
347,0.825058
348,0.825058
349,0.825058
350,0.825058
351,0.825058
352,0.825058
353,0.825058
354,0.825058
355,0.825058
356,0.825058
357,0.825058
358,0.825058
359,0.825058
360,0.825058
361,0.825058
362,0.825058
363,0.825058
364,0.825058
365,0.825058
366,0.825058
367,0.825058
368,0.825058
369,0.825058
370,0.825058
371,0.825058
372,0.825058
373,0.825058
374,0.825058
375,0.825058
376,0.825058
377,0.825058
378,0.825058
379,0.825058
380,0.825058
381,0.825058
382,0.825058
383,0.825058
384,0.825058
385,0.825058
386,0.825058
387,0.825058
388,0.825058
389,0.825058
390,0.825058
391,0.825058
392,0.825058
393,0.825058
394,0.825058
395,0.825058
396,0.825058
397,0.825058
398,0.825058
399,0.825058
400,0.825058
401,0.825058
402,0.825058
403,0.825058
404,0.825058
405,0.825058
406,0.825058
407,0.825058
408,0.825058
409,0.899936
410,0.899936
411,0.90626
412,0.90626
413,0.90626
414,0.90626
415,0.90626
416,0.90626
417,0.909441
418,0.90626
419,0.912634
420,0.909441
421,0.845244
422,0.848177
423,0.881259
424,0.893661
425,0.91584
426,0.860034
427,0.935333
428,0.887435
429,0.887435
430,0.887435
431,0.887435
432,0.899936
433,0.899936
434,0.912634
435,0.912634
436,0.912634
437,0.912634
438,0.869056
439,0.869056
440,0.890542
441,0.912634
442,0.92553
443,0.92553
444,0.92553
445,0.92553
446,0.92553
447,0.92553
448,0.92553
449,0.92553
450,0.92553
451,0.92553
452,0.92553
453,0.92553
454,0.92553
455,0.92553
456,0.92553
457,0.866036
458,0.866036
459,0.866036
460,0.866036
461,0.866036
462,0.830763
463,0.827904
464,0.827904
465,0.827904
466,0.827904
467,0.791864
468,0.819401
469,0.825058
470,0.825058
471,0.825058
472,0.825058
473,0.825058
474,0.825058
475,0.825058
476,0.825058
477,0.875133
478,0.869056
479,0.869056
480,0.866036
481,0.866036
482,0.866036
483,0.866036
484,0.866036
485,0.830763
486,0.842323
487,0.860034
488,0.848177
489,0.839414
490,0.839414
491,0.839414
492,0.839414
493,0.869056
494,0.869056
495,0.813795
496,0.830763
497,0.81101
498,0.799995
499,0.799995
500,0.799995
501,0.799995
502,0.799995
503,0.799995
504,0.799995
505,0.799995
506,0.799995
507,0.863029
508,0.87819
509,0.866036
510,0.866036
511,0.866036
512,0.866036
513,0.866036
514,0.866036
515,0.866036
516,0.866036
517,0.866036
518,0.866036
519,0.866036
520,0.866036
521,0.866036
522,0.866036
523,0.866036
524,0.866036
525,0.866036
526,0.866036
527,0.866036
528,0.866036
529,0.893661
530,0.899936
531,0.893661
532,0.896792
533,0.90626
534,0.890542
535,0.881259
536,0.881259
537,0.881259
538,0.842323
539,0.827904
540,0.836518
541,0.87819
542,0.875133
543,0.872088
544,0.875133
545,0.872088
546,0.872088
547,0.866036
548,0.875133
549,0.875133
550,0.875133
551,0.869056
552,0.869056
553,0.869056
554,0.869056
555,0.869056
556,0.869056
557,0.869056
558,0.869056
559,0.869056
560,0.869056
561,0.869056
562,0.869056
563,0.869056
564,0.869056
565,0.869056
566,0.869056
567,0.869056
568,0.869056
569,0.869056
570,0.869056
571,0.869056
572,0.869056
573,0.869056
574,0.869056
575,0.869056
576,0.869056
577,0.869056
578,0.869056
579,0.869056
580,0.869056
581,0.869056
582,0.869056
583,0.869056
584,0.869056
585,0.869056
586,0.869056
587,0.869056
588,0.869056
589,0.869056
590,0.869056
591,0.869056
592,0.869056
593,0.869056
594,0.869056
595,0.869056
596,0.869056
597,0.869056
598,0.869056
599,0.869056
600,0.869056
601,0.869056
602,0.869056
603,0.869056
604,0.869056
605,0.848177
606,0.848177
607,0.848177
608,0.848177
609,0.848177
610,0.848177
611,0.848177
612,0.848177
613,0.848177
614,0.848177
615,0.848177
616,0.848177
617,0.848177
618,0.848177
619,0.848177
620,0.848177
621,0.848177
622,0.848177
623,0.848177
624,0.848177
625,0.848177
626,0.848177
627,0.848177
628,0.848177
629,0.848177
630,0.848177
631,0.848177
632,0.848177
633,0.848177
634,0.848177
635,0.848177
636,0.848177
637,0.848177
638,0.848177
639,0.848177
640,0.848177
641,0.848177
642,0.848177
643,0.848177
644,0.848177
645,0.848177
646,0.848177
647,0.848177
648,0.848177
649,0.848177
650,0.848177
651,0.848177
652,0.848177
653,0.848177
654,0.848177
655,0.848177
656,0.848177
657,0.848177
658,0.848177
659,0.848177
660,0.848177
661,0.848177
662,0.848177
663,0.848177
664,0.848177
665,0.848177
666,0.848177
667,0.848177
668,0.848177
669,0.848177
670,0.848177
671,0.848177
672,0.848177
673,0.848177
674,0.848177
675,0.848177
676,0.848177
677,0.848177
678,0.848177
679,0.848177
680,0.848177
681,0.848177
682,0.848177
683,0.848177
684,0.848177
685,0.848177
686,0.848177
687,0.848177
688,0.848177
689,0.848177
690,0.848177
691,0.848177
692,0.848177
693,0.848177
694,0.848177
695,0.848177
696,0.848177
697,0.848177
698,0.848177
699,0.848177
700,0.848177
701,0.848177
702,0.848177
703,0.848177
704,0.848177
705,0.848177
706,0.848177
707,0.848177
708,0.848177
709,0.848177
710,0.848177
711,0.848177
712,0.848177
713,0.848177
714,0.848177
715,0.848177
716,0.848177
717,0.848177
718,0.848177
719,0.848177
720,0.848177
721,0.848177
722,0.848177
723,0.848177
724,0.848177
725,0.848177
726,0.848177
727,0.848177
728,0.848177
729,0.848177
730,0.848177
731,0.848177
732,0.848177
733,0.848177
734,0.848177
735,0.848177
736,0.848177
737,0.848177
738,0.848177
739,0.848177
740,0.848177
741,0.848177
742,0.848177
743,0.848177
744,0.848177
745,0.848177
746,0.848177
747,0.848177
748,0.848177
749,0.848177
750,0.848177
751,0.848177
752,0.848177
753,0.848177
754,0.848177
755,0.848177
756,0.848177
757,0.848177
758,0.848177
759,0.848177
760,0.848177
761,0.848177
762,0.848177
763,0.848177
764,0.848177
765,0.848177
766,0.848177
767,0.848177
768,0.848177
769,0.848177
770,0.848177
771,0.848177
772,0.848177
773,0.848177
774,0.848177
775,0.848177
776,0.848177
777,0.848177
778,0.848177
779,0.848177
780,0.848177
781,0.848177
782,0.848177
783,0.848177
784,0.848177
785,0.848177
786,0.848177
787,0.848177
788,0.848177
789,0.848177
790,0.848177
791,0.848177
792,0.848177
793,0.848177
794,0.848177
795,0.848177
796,0.848177
797,0.848177
798,0.848177
799,0.848177
800,0.848177
801,0.848177
802,0.848177
803,0.848177
804,0.848177
805,0.848177
806,0.848177
807,0.848177
808,0.848177
809,0.848177
810,0.848177
811,0.848177
812,0.848177
813,0.848177
814,0.848177
815,0.848177
816,0.848177
817,0.848177
818,0.848177
819,0.848177
820,0.848177
821,0.848177
822,0.848177
823,0.848177
824,0.848177
825,0.848177
826,0.848177
827,0.848177
828,0.848177
829,0.848177
830,0.848177
831,0.848177
832,0.848177
833,0.848177
834,0.848177
835,0.848177
836,0.848177
837,0.848177
838,0.848177
839,0.848177
840,0.848177
841,0.848177
842,0.848177
843,0.848177
844,0.848177
845,0.848177
846,0.848177
847,0.836518
848,0.836518
849,0.836518
850,0.836518
851,0.836518
852,0.836518
853,0.836518
854,0.836518
855,0.836518
856,0.836518
857,0.836518
858,0.836518
859,0.836518
860,0.836518
861,0.836518
862,0.836518
863,0.836518
864,0.836518
865,0.836518
866,0.836518
867,0.836518
868,0.836518
869,0.842323
870,0.845244
871,0.845244
872,0.851123
873,0.851123
874,0.851123
875,0.851123
876,0.851123
877,0.851123
878,0.866036
879,0.866036
880,0.866036
881,0.866036
882,0.866036
883,0.866036
884,0.866036
885,0.866036
886,0.866036
887,0.860034
888,0.87819
889,0.87819
890,0.87819
891,0.87819
892,0.87819
893,0.87819
894,0.87819
895,0.87819
896,0.87819
897,0.87819
898,0.87819
899,0.87819
900,0.872088
901,0.872088
902,0.872088
903,0.872088
904,0.872088
905,0.872088
906,0.872088
907,0.872088
908,0.872088
909,0.872088
910,0.872088
911,0.872088
912,0.872088
913,0.87819
914,0.87819
915,0.87819
916,0.881259
917,0.881259
918,0.881259
919,0.881259
920,0.881259
921,0.881259
922,0.881259
923,0.881259
924,0.881259
925,0.881259
926,0.881259
927,0.875133
928,0.875133
929,0.875133
930,0.875133
931,0.875133
932,0.875133
933,0.875133
934,0.875133
935,0.875133
936,0.875133
937,0.875133
938,0.875133
939,0.875133
940,0.875133
941,0.875133
942,0.87819
943,0.87819
944,0.87819
945,0.87819
946,0.87819
947,0.87819
948,0.87819
949,0.87819
950,0.87819
951,0.87819
952,0.87819
953,0.87819
954,0.87819
955,0.87819
956,0.87819
957,0.87819
958,0.87819
959,0.87819
960,0.87819
961,0.87819
962,0.87819
963,0.87819
964,0.87819
965,0.87819
966,0.87819
967,0.87819
968,0.87819
969,0.87819
970,0.87819
971,0.87819
972,0.869056
973,0.875133
974,0.875133
975,0.875133
976,0.875133
977,0.875133
978,0.866036
979,0.872088
980,0.872088
981,0.872088
982,0.872088
983,0.872088
984,0.872088
985,0.872088
986,0.872088
987,0.872088
988,0.872088
989,0.872088
990,0.872088
991,0.872088
992,0.872088
993,0.872088
994,0.872088
995,0.872088
996,0.872088
997,0.872088
998,0.872088
999,0.872088
1000,0.872088
1001,0.872088
1002,0.872088
1003,0.872088
1004,0.872088
1005,0.872088
1006,0.872088
1007,0.872088
1008,0.872088
1009,0.872088
1010,0.872088
1011,0.872088
1012,0.872088
1013,0.875133
1014,0.875133
1015,0.875133
1016,0.875133
1017,0.875133
1018,0.875133
1019,0.875133
1020,0.875133
1021,0.872088
1022,0.872088
1023,0.875133
1024,0.875133
1025,0.875133
1026,0.875133
1027,0.875133
1028,0.875133
1029,0.875133
1030,0.875133
1031,0.875133
1032,0.875133
1033,0.87819
1034,0.87819
1035,0.87819
1036,0.87819
1037,0.87819
1038,0.87819
1039,0.87819
1040,0.87819
1041,0.87819
1042,0.87819
1043,0.87819
1044,0.87819
1045,0.87819
1046,0.87819
1047,0.875133
1048,0.875133
1049,0.875133
1050,0.875133
1051,0.875133
1052,0.875133
1053,0.875133
1054,0.875133
1055,0.875133
1056,0.875133
1057,0.875133
1058,0.875133
1059,0.875133
1060,0.87819
1061,0.87819
1062,0.875133
1063,0.875133
1064,0.875133
1065,0.875133
1066,0.875133
1067,0.875133
1068,0.875133
1069,0.875133
1070,0.875133
1071,0.875133
1072,0.875133
1073,0.875133
1074,0.875133
1075,0.875133
1076,0.875133
1077,0.875133
1078,0.875133
1079,0.875133
1080,0.875133
1081,0.875133
1082,0.875133
1083,0.87819
1084,0.87819
1085,0.87819
1086,0.87819
1087,0.87819
1088,0.87819
1089,0.87819
1090,0.87819
1091,0.875133
1092,0.875133
1093,0.875133
1094,0.875133
1095,0.875133
1096,0.875133
1097,0.875133
1098,0.875133
1099,0.875133
1100,0.875133
1101,0.875133
1102,0.875133
1103,0.875133
1104,0.875133
1105,0.875133
1106,0.875133
1107,0.875133
1108,0.875133
1109,0.875133
1110,0.875133
1111,0.875133
1112,0.875133
1113,0.875133
1114,0.875133
1115,0.875133
1116,0.875133
1117,0.875133
1118,0.875133
1119,0.875133
1120,0.875133
1121,0.875133
1122,0.875133
1123,0.875133
1124,0.875133
1125,0.875133
1126,0.875133
1127,0.875133
1128,0.875133
1129,0.875133
1130,0.875133
1131,0.875133
1132,0.875133
1133,0.875133
1134,0.875133
1135,0.875133
1136,0.875133
1137,0.875133
1138,0.875133
1139,0.875133
1140,0.875133
1141,0.875133
1142,0.875133
1143,0.875133
1144,0.875133
1145,0.875133
1146,0.875133
1147,0.875133
1148,0.875133
1149,0.875133
1150,0.875133
1151,0.875133
1152,0.875133
1153,0.875133
1154,0.875133
1155,0.875133
1156,0.875133
1157,0.875133
1158,0.875133
1159,0.875133
1160,0.875133
1161,0.875133
1162,0.875133
1163,0.875133
1164,0.875133
1165,0.875133
1166,0.875133
1167,0.875133
1168,0.875133
1169,0.875133
1170,0.875133
1171,0.875133
1172,0.875133
1173,0.875133
1174,0.875133
1175,0.875133
1176,0.875133
1177,0.875133
1178,0.875133
1179,0.875133
1180,0.875133
1181,0.875133
1182,0.875133
1183,0.875133
1184,0.875133
1185,0.875133
1186,0.875133
1187,0.875133
1188,0.875133
1189,0.875133
1190,0.875133
1191,0.875133
1192,0.875133
1193,0.875133
1194,0.875133
1195,0.875133
1196,0.875133
1197,0.875133
1198,0.875133
1199,0.875133
