#step,index
0,526.619
1,537.933
2,537.933
3,537.933
4,537.933
5,537.933
6,537.933
7,537.933
8,537.933
9,537.933
10,537.933
11,537.933
12,537.933
13,537.933
14,537.933
15,537.933
16,537.933
17,537.933
18,537.933
19,537.933
20,537.933
21,537.933
22,537.933
23,537.933
24,537.933
25,537.933
26,537.933
27,537.933
28,537.933
29,537.933
30,537.933
31,537.933
32,537.933
33,537.933
34,537.933
35,537.933
36,537.933
37,537.933
38,537.933
39,537.933
40,537.933
41,554.04
42,554.04
43,554.04
44,554.04
45,554.04
46,554.04
47,554.04
48,554.04
49,554.04
50,554.04
51,554.04
52,554.04
53,554.04
54,554.04
55,554.04
56,554.04
57,554.04
58,554.04
59,554.04
60,554.04
61,554.04
62,554.04
63,554.04
64,554.04
65,554.04
66,554.04
67,554.04
68,554.04
69,554.04
70,540.767
71,540.767
72,528.239
73,528.239
74,528.239
75,528.239
76,528.239
77,528.239
78,528.239
79,528.239
80,528.239
81,528.239
82,528.239
83,528.239
84,528.239
85,528.239
86,528.239
87,528.239
88,528.239
89,528.239
90,528.239
91,528.239
92,528.239
93,528.239
94,528.239
95,528.239
96,528.239
97,528.239
98,528.239
99,528.239
100,528.239
101,528.239
102,528.239
103,528.239
104,528.239
105,528.239
106,528.239
107,528.239
108,528.239
109,528.239
110,528.239
111,528.239
112,528.239
113,528.239
114,528.239
115,528.239
116,528.239
117,528.239
118,528.239
119,528.239
120,528.239
121,528.239
122,528.239
123,528.239
124,528.239
125,528.239
126,528.239
127,528.239
128,528.239
129,528.239
130,528.239
131,528.239
132,528.239
133,528.239
134,528.239
135,528.239
136,528.239
137,528.239
138,528.239
139,528.239
140,528.239
141,528.239
142,528.239
143,528.239
144,528.239
145,528.239
146,528.239
147,528.239
148,528.239
149,528.239
150,528.239
151,528.239
152,528.239
153,528.239
154,528.239
155,528.239
156,528.239
157,528.239
158,528.239
159,528.239
160,528.239
161,528.239
162,528.239
163,528.239
164,528.239
165,528.239
166,528.239
167,528.239
168,528.239
169,528.239
170,528.239
171,528.239
172,528.239
173,528.239
174,528.239
175,528.239
176,528.239
177,528.239
178,528.239
179,528.239
180,528.239
181,528.239
182,528.239
183,528.239
184,528.239
185,528.239
186,528.239
187,528.239
188,528.239
189,528.239
190,528.239
191,528.239
192,528.239
193,528.239
194,528.239
195,528.239
196,528.239
197,528.239
198,528.239
199,528.239
200,528.239
201,528.239
202,528.239
203,528.239
204,528.239
205,528.239
206,528.239
207,528.239
208,528.239
209,528.239
210,528.239
211,528.239
212,528.239
213,528.239
214,528.239
215,528.239
216,528.239
217,528.239
218,528.239
219,528.239
220,528.239
221,528.239
222,528.239
223,528.239
224,528.239
225,528.239
226,528.239
227,528.239
228,528.239
229,528.239
230,528.239
231,528.239
232,528.239
233,528.239
234,528.239
235,528.239
236,528.239
237,528.239
238,528.239
239,528.239
240,528.239
241,528.239
242,528.239
243,528.239
244,528.239
245,528.239
246,528.239
247,528.239
248,528.239
249,528.239
250,528.239
251,528.239
252,528.239
253,528.239
254,528.239
255,528.239
256,528.239
257,528.239
258,528.239
259,528.239
260,528.239
261,528.239
262,528.239
263,528.239
264,528.239
265,528.239
266,528.239
267,528.239
268,528.239
269,528.239
270,528.239
271,528.239
272,528.239
273,528.239
274,528.239
275,528.239
276,528.239
277,528.239
278,528.239
279,528.239
280,528.239
281,528.239
282,528.239
283,528.239
284,528.239
285,528.239
286,528.239
287,528.239
288,528.239
289,528.239
290,528.239
291,528.239
292,528.239
293,528.239
294,528.239
295,528.239
296,528.239
297,528.239
298,528.239
299,528.239
300,528.239
301,528.239
302,528.239
303,528.239
304,528.239
305,528.239
306,528.239
307,528.239
308,528.239
309,528.239
310,528.239
311,528.239
312,528.239
313,528.239
314,528.239
315,528.239
316,528.239
317,528.239
318,528.239
319,528.239
320,528.239
321,528.239
322,528.239
323,528.239
324,528.239
325,528.239
326,528.239
327,528.239
328,528.239
329,528.239
330,528.239
331,528.239
332,528.239
333,528.239
334,528.239
335,528.239
336,528.239
337,528.239
338,528.239
339,528.239
340,528.239
341,528.239
342,528.239
343,528.239
344,528.239
345,528.239
346,528.239
347,528.239
348,528.239
349,528.239
350,528.239
351,528.239
352,528.239
353,528.239
354,528.239
355,528.239
356,528.239
357,528.239
358,528.239
359,528.239
360,528.239
361,528.239
362,528.239
363,528.239
364,528.239
