#step,index
0,0.445125
1,0.351596
2,0.525623
3,0.525623
4,0.365102
5,0.358325
6,0.358325
7,0.358325
8,0.343805
9,0.343805
10,0.343805
11,0.343805
12,0.343805
13,0.343805
14,0.343805
15,0.343805
16,0.343805
17,0.343805
18,0.343805
19,0.343805
20,0.343805
21,0.343805
22,0.343805
23,0.343805
24,0.343805
25,0.343805
26,0.437493
27,0.437493
28,0.437493
29,0.437493
30,0.437493
31,0.535276
32,0.535276
33,0.481025
34,0.481025
35,0.481025
36,0.481025
37,0.481025
38,0.481025
39,0.481025
40,0.481025
41,0.481025
42,0.437992
43,0.437992
44,0.437992
45,0.437992
46,0.437992
47,0.437992
48,0.437992
49,0.437992
50,0.437992
51,0.437992
52,0.437992
53,0.437992
54,0.437992
55,0.437992
56,0.437992
57,0.437992
58,0.437992
59,0.437992
60,0.437992
61,0.437992
62,0.437992
63,0.437992
64,0.437992
65,0.437992
66,0.437992
67,0.437992
68,0.437992
69,0.437992
70,0.437992
71,0.437992
72,0.437992
73,0.437992
74,0.437992
75,0.437992
76,0.437992
77,0.437992
78,0.437992
79,0.437992
80,0.437992
81,0.437992
82,0.437992
83,0.437992
84,0.437992
85,0.437992
86,0.437992
87,0.437992
88,0.437992
89,0.437992
90,0.437992
91,0.437992
92,0.437992
93,0.437992
94,0.437992
95,0.437992
96,0.437992
97,0.437992
98,0.437992
99,0.437992
100,0.437992
101,0.437992
102,0.437992
103,0.437992
104,0.437992
105,0.437992
106,0.437992
107,0.437992
108,0.437992
109,0.437992
110,0.437992
111,0.437992
112,0.437992
113,0.437992
114,0.437992
115,0.437992
116,0.437992
117,0.437992
118,0.437992
119,0.437992
120,0.437992
121,0.437992
122,0.437992
123,0.437992
124,0.437992
125,0.437992
126,0.437992
127,0.437992
128,0.437992
129,0.437992
130,0.437992
131,0.437992
132,0.437992
133,0.437992
134,0.437992
135,0.437992
136,0.437992
137,0.437992
138,0.437992
139,0.437992
140,0.437992
141,0.437992
142,0.437992
143,0.437992
144,0.437992
145,0.437992
146,0.437992
147,0.437992
148,0.437992
149,0.437992
150,0.437992
151,0.437992
152,0.437992
153,0.437992
154,0.437992
155,0.437992
156,0.437992
157,0.437992
158,0.437992
159,0.437992
160,0.437992
161,0.437992
162,0.437992
163,0.437992
164,0.437992
165,0.437992
166,0.437992
167,0.437992
168,0.437992
169,0.437992
170,0.437992
171,0.437992
172,0.437992
173,0.437992
174,0.437992
175,0.437992
176,0.437992
177,0.437992
178,0.437992
179,0.437992
180,0.437992
181,0.437992
182,0.437992
183,0.437992
184,0.437992
185,0.437992
186,0.437992
187,0.437992
188,0.437992
189,0.437992
190,0.437992
191,0.437992
192,0.437992
193,0.437992
194,0.437992
195,0.437992
196,0.437992
197,0.437992
198,0.437992
199,0.437992
200,0.437992
201,0.437992
202,0.437992
203,0.437992
204,0.437992
205,0.437992
206,0.437992
207,0.437992
208,0.437992
209,0.437992
210,0.437992
211,0.437992
212,0.437992
213,0.437992
214,0.437992
215,0.437992
216,0.437992
217,0.437992
218,0.437992
219,0.437992
220,0.437992
221,0.437992
222,0.437992
223,0.437992
224,0.437992
225,0.437992
226,0.437992
227,0.437992
228,0.437992
229,0.437992
230,0.437992
231,0.437992
232,0.437992
233,0.437992
234,0.437992
235,0.437992
236,0.437992
237,0.437992
238,0.437992
239,0.437992
240,0.437992
241,0.437992
242,0.437992
243,0.437992
244,0.437992
245,0.437992
246,0.437992
247,0.437992
248,0.437992
249,0.437992
250,0.437992
251,0.437992
252,0.437992
253,0.437992
254,0.437992
255,0.437992
256,0.437992
257,0.437992
258,0.437992
259,0.437992
260,0.437992
261,0.437992
262,0.437992
263,0.437992
264,0.437992
265,0.437992
266,0.437992
267,0.437992
268,0.437992
269,0.437992
270,0.437992
271,0.437992
272,0.437992
273,0.437992
274,0.437992
275,0.437992
276,0.437992
277,0.437992
278,0.437992
279,0.437992
280,0.437992
281,0.437992
282,0.437992
283,0.437992
284,0.437992
285,0.437992
286,0.437992
287,0.437992
288,0.437992
289,0.437992
290,0.437992
291,0.437992
292,0.437992
293,0.437992
294,0.437992
295,0.437992
296,0.437992
297,0.437992
298,0.437992
299,0.437992
300,0.437992
301,0.437992
302,0.437992
303,0.437992
304,0.437992
305,0.437992
306,0.437992
307,0.437992
308,0.437992
309,0.437992
310,0.437992
311,0.437992
312,0.437992
313,0.437992
314,0.437992
315,0.437992
316,0.437992
317,0.437992
318,0.437992
319,0.437992
320,0.437992
321,0.437992
322,0.437992
323,0.437992
324,0.437992
325,0.437992
326,0.437992
327,0.437992
328,0.437992
329,0.437992
330,0.437992
331,0.437992
332,0.437992
333,0.437992
334,0.437992
335,0.437992
336,0.437992
337,0.437992
338,0.437992
339,0.437992
340,0.437992
341,0.437992
342,0.437992
343,0.437992
344,0.437992
345,0.437992
346,0.437992
347,0.437992
348,0.437992
349,0.437992
350,0.437992
351,0.437992
352,0.437992
353,0.437992
354,0.437992
355,0.437992
356,0.437992
357,0.437992
358,0.437992
359,0.437992
360,0.437992
361,0.437992
362,0.437992
363,0.437992
364,0.437992
365,0.437992
366,0.437992
367,0.437992
368,0.437992
369,0.437992
370,0.437992
371,0.437992
372,0.437992
373,0.437992
374,0.437992
375,0.437992
376,0.437992
377,0.437992
378,0.437992
379,0.437992
380,0.437992
381,0.437992
382,0.437992
383,0.437992
384,0.437992
385,0.437992
386,0.437992
387,0.437992
388,0.437992
389,0.437992
390,0.437992
391,0.437992
392,0.437992
393,0.437992
394,0.437992
395,0.437992
396,0.437992
397,0.437992
398,0.437992
399,0.437992
400,0.437992
401,0.437992
402,0.437992
403,0.437992
404,0.331048
405,0.411922
406,0.411922
407,0.428188
408,0.492237
409,0.500866
410,0.500866
411,0.500866
412,0.500866
413,0.500866
414,0.492237
415,0.492237
416,0.492237
417,0.492237
418,0.492237
419,0.500866
420,0.500866
421,0.500866
422,0.500866
423,0.483775
424,0.483775
425,0.483775
426,0.483775
427,0.483775
428,0.483775
429,0.483775
430,0.483775
431,0.500866
432,0.500866
433,0.500866
434,0.500866
435,0.500866
436,0.500866
437,0.500866
438,0.500866
439,0.500866
440,0.500866
441,0.500866
442,0.500866
443,0.500866
444,0.500866
445,0.500866
446,0.500866
447,0.500866
448,0.500866
449,0.500866
450,0.500866
451,0.500866
452,0.497239
453,0.497239
454,0.498916
455,0.498916
456,0.498916
457,0.498916
458,0.498916
459,0.498916
460,0.498916
461,0.498916
462,0.522356
463,0.522356
464,0.522356
465,0.503072
466,0.503072
467,0.522356
468,0.522356
469,0.522356
470,0.522356
471,0.522356
472,0.522356
473,0.522356
474,0.522356
475,0.522356
476,0.495681
477,0.489754
478,0.489754
479,0.489754
480,0.489754
481,0.489754
482,0.489754
483,0.489754
484,0.489754
485,0.489754
486,0.489754
487,0.489754
488,0.522356
489,0.522356
490,0.522356
491,0.522356
492,0.522356
493,0.522356
494,0.522356
495,0.522356
496,0.522356
497,0.522356
498,0.522356
499,0.522356
500,0.522356
501,0.522356
502,0.522356
503,0.522356
504,0.512681
505,0.512681
506,0.512681
507,0.512681
508,0.512681
509,0.512681
510,0.512681
511,0.512681
512,0.512681
513,0.512681
514,0.512681
515,0.512681
516,0.512681
517,0.512681
518,0.512681
519,0.512681
520,0.512681
521,0.512681
522,0.512681
523,0.512681
524,0.512681
525,0.512681
526,0.512681
527,0.512681
528,0.512681
529,0.512681
530,0.512681
531,0.512681
532,0.512681
533,0.512681
534,0.512681
535,0.512681
536,0.512681
537,0.512681
538,0.512681
539,0.512681
540,0.512681
541,0.512681
542,0.512681
543,0.512681
544,0.512681
545,0.512681
546,0.512681
547,0.512681
548,0.512681
549,0.512681
550,0.512681
551,0.512681
552,0.512681
553,0.512681
554,0.512681
555,0.512681
556,0.512681
557,0.512681
558,0.512681
559,0.512681
560,0.512681
561,0.512681
562,0.512681
563,0.512681
564,0.512681
565,0.512681
566,0.512681
567,0.512681
568,0.512681
569,0.512681
570,0.512681
571,0.512681
572,0.512681
573,0.512681
574,0.512681
575,0.512681
576,0.512681
577,0.512681
578,0.512681
579,0.512681
580,0.512681
581,0.512681
582,0.512681
583,0.512681
584,0.512681
585,0.512681
586,0.512681
587,0.512681
588,0.512681
589,0.512681
590,0.512681
591,0.512681
592,0.512681
593,0.512681
594,0.512681
595,0.512681
596,0.512681
597,0.512681
598,0.512681
599,0.512681
600,0.512681
601,0.512681
602,0.512681
603,0.512681
604,0.512681
605,0.512681
606,0.512681
607,0.512681
608,0.512681
609,0.512681
610,0.512681
611,0.512681
612,0.512681
613,0.512681
614,0.512681
615,0.512681
616,0.512681
617,0.512681
618,0.512681
619,0.512681
620,0.512681
621,0.512681
622,0.512681
623,0.512681
624,0.512681
625,0.512681
626,0.512681
627,0.512681
628,0.512681
629,0.512681
630,0.512681
631,0.512681
632,0.512681
633,0.512681
634,0.512681
635,0.512681
636,0.512681
637,0.512681
638,0.512681
639,0.512681
640,0.512681
641,0.512681
642,0.512681
643,0.512681
644,0.512681
645,0.512681
646,0.512681
647,0.512681
648,0.512681
649,0.512681
650,0.512681
651,0.512681
652,0.512681
653,0.512681
654,0.512681
655,0.522968
656,0.522968
657,0.522968
658,0.522968
659,0.522968
660,0.522968
661,0.522968
662,0.522968
663,0.522968
664,0.522968
665,0.522968
666,0.522968
667,0.522968
668,0.522968
669,0.522968
670,0.522968
671,0.522968
672,0.522968
673,0.522968
674,0.522968
675,0.522968
676,0.522968
677,0.522968
678,0.522968
679,0.522968
680,0.522968
681,0.522968
682,0.522968
683,0.522968
684,0.522968
685,0.522968
686,0.522968
687,0.525138
688,0.512571
689,0.541257
690,0.523854
691,0.523854
692,0.523854
693,0.523854
694,0.523854
695,0.523854
696,0.523854
697,0.523854
698,0.523854
699,0.523854
700,0.523854
701,0.523854
702,0.523854
703,0.523854
704,0.523854
705,0.523854
706,0.523854
707,0.523854
708,0.523854
709,0.523854
710,0.523854
711,0.523854
712,0.523854
713,0.523854
714,0.523854
715,0.523854
716,0.523854
717,0.523854
718,0.523854
719,0.523854
720,0.523854
721,0.523854
722,0.523854
723,0.523854
724,0.523854
725,0.523854
726,0.523854
727,0.523854
728,0.523854
729,0.523854
730,0.523854
731,0.523854
732,0.523854
733,0.541257
734,0.541257
735,0.541257
736,0.541257
737,0.523854
738,0.523854
739,0.523854
740,0.523854
741,0.523854
742,0.523854
743,0.523854
744,0.523854
745,0.523854
746,0.523854
747,0.523854
748,0.523854
749,0.523854
750,0.523854
751,0.523854
752,0.523854
753,0.523854
754,0.523854
755,0.523854
756,0.523854
757,0.523854
758,0.523854
759,0.523854
760,0.523854
761,0.523854
762,0.523854
763,0.523854
