#step,index
0,2.42643
1,2.42643
2,1.89642
3,1.89642
4,1.89642
5,1.89642
6,1.89642
7,1.89642
8,1.89642
9,1.89642
10,1.69537
11,1.69537
12,1.69537
13,1.69537
14,1.69537
15,1.69537
16,1.69537
17,1.69537
18,1.69537
19,1.22723
20,1.22723
21,1.22723
22,1.22723
23,1.22723
24,1.22723
25,2.27264
26,2.27264
27,2.27264
28,2.27264
29,2.27264
30,2.27264
31,2.27264
32,2.27264
33,2.27264
34,2.27264
35,2.27264
36,2.27264
37,2.27264
38,2.27264
39,2.27264
40,2.27264
41,2.27264
42,2.27264
43,2.27264
44,2.27264
45,2.27264
46,2.27264
47,2.27264
48,2.27264
49,2.27264
50,2.27264
51,2.27264
52,2.27264
53,2.27264
54,2.27264
55,2.27264
56,2.27264
57,2.27264
58,2.27264
59,1.3825
60,1.3825
61,1.3825
62,1.3825
63,1.3825
64,1.3825
65,1.3825
66,1.3825
67,1.3825
68,1.3825
69,1.3825
70,1.3825
71,1.3825
72,1.3825
73,1.3825
74,1.3825
75,1.84755
76,1.84755
77,1.84755
78,1.84755
79,1.84755
80,1.84755
81,1.84755
82,1.84755
83,1.84755
84,1.84755
85,1.84755
86,1.84755
87,1.84755
88,1.84755
89,1.84755
90,1.84755
91,1.84755
92,1.84755
93,1.84755
94,1.84755
95,1.84755
96,1.84755
97,1.84755
98,1.84755
99,1.84755
100,1.84755
101,1.84755
102,1.84755
103,1.84755
104,1.84755
105,1.84755
106,1.84755
107,1.84755
108,1.84755
109,1.84755
110,1.84755
111,1.84755
112,1.84755
113,1.84755
114,1.84755
115,1.84755
116,1.84755
117,1.84755
118,1.84755
119,1.84755
120,1.84755
121,1.84755
122,1.84755
123,1.84755
124,1.84755
125,1.84755
126,1.84755
127,1.84755
128,1.84755
129,1.84755
130,1.56284
131,1.56284
132,1.56284
133,1.56284
134,1.56284
135,1.56284
136,1.56284
137,1.56284
138,1.56284
139,1.56284
140,1.56284
141,1.56284
142,1.56284
143,1.56284
144,1.56284
145,1.56284
146,1.56284
147,1.56284
148,1.56284
149,1.56284
150,1.56284
151,1.56284
152,1.56284
153,1.56284
154,1.56284
155,1.56284
156,1.56284
157,1.56284
158,1.56284
159,1.56284
160,1.56284
161,1.56284
162,1.56284
163,1.56284
164,1.56284
165,1.56284
166,1.56284
167,1.56284
168,1.56284
169,1.56284
170,1.56284
171,1.56284
172,1.56284
173,1.56284
174,1.56284
175,1.56284
176,1.56284
177,1.56284
178,1.56284
179,1.56284
180,1.56284
181,1.56284
182,1.56284
183,1.56284
184,1.56284
185,1.56284
186,1.56284
187,1.56284
188,1.56284
189,1.56284
190,1.56284
191,1.56284
192,1.56284
193,1.56284
194,1.56284
195,1.56284
196,1.56284
197,1.56284
198,1.56284
199,1.56284
200,1.56284
201,1.56284
202,1.56284
203,1.56284
204,1.56284
205,1.56284
206,1.56284
207,1.56284
208,1.56284
209,1.56284
210,1.56284
211,1.56284
212,1.56284
213,1.56284
214,1.56284
215,1.56284
216,1.56284
217,1.56284
218,1.56284
219,1.56284
220,1.56284
221,1.56284
222,1.56284
223,1.56284
224,1.56284
225,1.56284
226,1.56284
227,1.56284
228,1.56284
229,1.56284
230,1.56284
231,1.56284
232,1.56284
233,1.56284
234,1.56284
235,1.56284
236,1.56284
237,1.56284
238,1.56284
239,1.56284
240,1.56284
241,1.56284
242,1.56284
243,1.56284
244,1.56284
245,1.56284
246,1.56284
247,1.56284
248,1.56284
249,1.56284
250,1.56284
251,1.56284
252,1.56284
253,1.56284
254,1.56284
255,1.56284
256,1.56284
257,1.56284
258,1.56284
259,1.56284
260,1.56284
261,1.56284
262,1.56284
263,1.56284
264,1.56284
265,1.56284
266,1.56284
267,1.56284
268,1.56284
269,1.56284
270,1.56284
271,1.56284
272,1.56284
273,1.56284
274,1.56284
275,1.56284
276,1.56284
277,1.56284
278,1.56284
279,1.56284
280,1.56284
281,1.56284
282,1.56284
283,1.56284
284,1.56284
285,1.56284
286,1.56284
287,1.56284
288,1.56284
289,1.56284
290,1.56284
291,1.56284
292,1.56284
293,1.56284
294,1.56284
295,1.56284
296,1.56284
297,1.56284
298,1.56284
299,1.56284
300,1.56284
301,1.56284
302,1.56284
303,1.56284
304,1.56284
305,1.56284
306,1.56284
307,1.56284
308,1.56284
309,1.56284
310,1.56284
311,1.56284
312,1.56284
313,1.56284
314,1.56284
315,1.56284
316,1.56284
317,1.56284
318,1.56284
319,1.56284
320,1.56284
321,1.56284
322,1.56284
323,2.71622
324,2.71622
325,2.71622
326,2.71622
327,2.71622
328,2.71622
329,2.71622
330,2.71622
331,2.71622
332,2.71622
333,2.71622
334,2.71622
335,2.71622
336,2.71622
337,2.71622
338,2.71622
339,2.71622
340,2.71622
341,2.71622
342,2.71622
343,2.71622
344,2.71622
345,2.71622
346,2.71622
347,2.71622
348,2.71622
349,2.71622
350,2.71622
351,2.71622
352,2.71622
353,2.71622
354,2.71622
355,2.71622
356,2.71622
357,2.71622
358,2.71622
359,2.71622
360,2.71622
361,2.71622
362,2.71622
363,2.71622
364,2.71622
