#step,index
0,0.496479
1,0.494523
2,0.494523
3,0.494523
4,0.606025
5,0.619718
6,0.619718
7,0.619718
8,0.619718
9,0.619718
10,0.619718
11,0.619718
12,0.619718
13,0.619718
14,0.619718
15,0.619718
16,0.619718
17,0.619718
18,0.619718
19,0.619718
20,0.619718
21,0.619718
22,0.619718
23,0.619718
24,0.619718
25,0.619718
26,0.619718
27,0.619718
28,0.619718
29,0.619718
30,0.559077
31,0.559077
32,0.606025
33,0.606025
34,0.634194
35,0.634194
36,0.634194
37,0.634194
38,0.634194
39,0.56964
40,0.56964
41,0.56964
42,0.56964
43,0.56964
44,0.56964
45,0.56964
46,0.56964
47,0.56964
48,0.56964
49,0.56964
50,0.56964
51,0.56964
52,0.56964
53,0.56964
54,0.56964
55,0.56964
56,0.56964
57,0.56964
58,0.56964
59,0.56964
60,0.56964
61,0.56964
62,0.56964
63,0.56964
64,0.56964
65,0.56964
66,0.56964
67,0.56964
68,0.56964
69,0.56964
70,0.56964
71,0.56964
72,0.56964
73,0.56964
74,0.56964
75,0.56964
76,0.56964
77,0.56964
78,0.56964
79,0.56964
80,0.56964
81,0.56964
82,0.56964
83,0.56964
84,0.56964
85,0.56964
86,0.56964
87,0.56964
88,0.56964
89,0.56964
90,0.56964
91,0.56964
92,0.56964
93,0.56964
94,0.56964
95,0.56964
96,0.56964
97,0.56964
98,0.56964
99,0.56964
100,0.56964
101,0.56964
102,0.56964
103,0.56964
104,0.56964
105,0.56964
106,0.56964
107,0.56964
108,0.56964
109,0.56964
110,0.56964
111,0.56964
112,0.56964
113,0.56964
114,0.56964
115,0.56964
116,0.56964
117,0.56964
118,0.56964
119,0.56964
120,0.56964
121,0.56964
122,0.56964
123,0.56964
124,0.56964
125,0.56964
126,0.56964
127,0.56964
128,0.56964
129,0.56964
130,0.56964
131,0.56964
132,0.56964
133,0.56964
134,0.56964
135,0.56964
136,0.56964
137,0.56964
138,0.56964
139,0.56964
140,0.56964
141,0.56964
142,0.56964
143,0.56964
144,0.56964
145,0.56964
146,0.56964
147,0.56964
148,0.56964
149,0.56964
150,0.56964
151,0.56964
152,0.56964
153,0.56964
154,0.56964
155,0.56964
156,0.56964
157,0.56964
158,0.56964
159,0.56964
160,0.56964
161,0.56964
162,0.56964
163,0.56964
164,0.56964
165,0.56964
166,0.56964
167,0.56964
168,0.56964
169,0.56964
170,0.56964
171,0.56964
172,0.56964
173,0.56964
174,0.56964
175,0.56964
176,0.56964
177,0.56964
178,0.56964
179,0.56964
180,0.56964
181,0.56964
182,0.56964
183,0.56964
184,0.56964
185,0.56964
186,0.56964
187,0.56964
188,0.56964
189,0.56964
190,0.56964
191,0.56964
192,0.56964
193,0.56964
194,0.56964
195,0.56964
196,0.56964
197,0.56964
198,0.56964
199,0.56964
200,0.56964
201,0.56964
202,0.56964
203,0.619718
204,0.619718
205,0.619718
206,0.619718
207,0.56964
208,0.56964
209,0.56964
210,0.56964
211,0.56964
212,0.56964
213,0.56964
214,0.56964
215,0.56964
216,0.56964
217,0.56964
218,0.56964
219,0.56964
220,0.56964
221,0.56964
222,0.56964
223,0.56964
224,0.56964
225,0.56964
226,0.56964
227,0.56964
228,0.606025
229,0.606025
230,0.682316
231,0.682316
232,0.682316
233,0.682316
234,0.682316
235,0.682316
236,0.682316
237,0.682316
238,0.682316
239,0.682316
240,0.682316
241,0.682316
242,0.682316
243,0.682316
244,0.682316
245,0.532081
246,0.559077
247,0.559077
248,0.559077
249,0.559077
250,0.559077
251,0.559077
252,0.559077
253,0.559077
254,0.559077
255,0.559077
256,0.559077
257,0.559077
258,0.559077
259,0.559077
260,0.559077
261,0.559077
262,0.559077
263,0.559077
264,0.559077
265,0.559077
266,0.559077
267,0.559077
268,0.559077
269,0.559077
270,0.559077
271,0.559077
272,0.559077
273,0.559077
274,0.559077
275,0.559077
276,0.559077
277,0.559077
278,0.559077
279,0.559077
280,0.559077
281,0.559077
282,0.559077
283,0.559077
284,0.559077
285,0.559077
286,0.559077
287,0.559077
288,0.559077
289,0.559077
290,0.559077
291,0.559077
292,0.559077
293,0.559077
294,0.559077
295,0.559077
296,0.559077
297,0.559077
298,0.559077
299,0.559077
300,0.559077
301,0.559077
302,0.559077
303,0.559077
304,0.559077
305,0.559077
306,0.559077
307,0.559077
308,0.559077
309,0.559077
310,0.559077
311,0.559077
312,0.559077
313,0.559077
314,0.559077
315,0.559077
316,0.559077
317,0.559077
318,0.559077
319,0.559077
320,0.559077
321,0.559077
322,0.559077
323,0.559077
324,0.559077
325,0.559077
326,0.559077
327,0.559077
328,0.559077
329,0.559077
330,0.559077
331,0.559077
332,0.559077
333,0.559077
334,0.559077
335,0.559077
336,0.559077
337,0.559077
338,0.559077
339,0.559077
340,0.559077
341,0.559077
342,0.559077
343,0.559077
344,0.559077
345,0.559077
346,0.559077
347,0.559077
348,0.559077
349,0.559077
350,0.559077
351,0.559077
352,0.559077
353,0.559077
354,0.559077
355,0.559077
356,0.559077
357,0.559077
358,0.559077
359,0.559077
360,0.559077
361,0.559077
362,0.559077
363,0.559077
364,0.559077
365,0.559077
366,0.559077
367,0.559077
368,0.559077
369,0.559077
370,0.559077
371,0.559077
372,0.559077
373,0.559077
374,0.559077
375,0.559077
376,0.559077
377,0.559077
378,0.559077
379,0.559077
380,0.559077
381,0.559077
382,0.559077
383,0.559077
384,0.559077
385,0.559077
386,0.559077
387,0.559077
388,0.559077
389,0.559077
390,0.559077
391,0.559077
392,0.559077
393,0.559077
394,0.559077
395,0.559077
396,0.559077
397,0.559077
398,0.559077
399,0.559077
400,0.559077
401,0.559077
402,0.559077
403,0.559077
404,0.559077
405,0.559077
406,0.559077
407,0.559077
408,0.559077
409,0.559077
410,0.559077
411,0.559077
412,0.559077
413,0.559077
414,0.559077
415,0.559077
416,0.559077
417,0.559077
418,0.559077
419,0.559077
420,0.559077
421,0.559077
422,0.559077
423,0.559077
424,0.559077
425,0.559077
426,0.559077
427,0.559077
428,0.559077
429,0.559077
430,0.559077
431,0.559077
432,0.559077
433,0.559077
434,0.559077
435,0.559077
436,0.559077
437,0.559077
438,0.559077
439,0.559077
440,0.559077
441,0.559077
442,0.559077
443,0.559077
444,0.559077
445,0.559077
446,0.493349
447,0.492958
448,0.492958
449,0.492958
450,0.492958
451,0.492958
452,0.492958
453,0.492958
454,0.492958
455,0.492958
456,0.492958
457,0.492958
458,0.492958
459,0.492958
460,0.499218
461,0.499218
462,0.499218
463,0.499218
464,0.499218
465,0.499218
466,0.499218
467,0.499218
468,0.499218
469,0.499218
470,0.499218
471,0.507042
472,0.507042
473,0.512128
474,0.512128
475,0.507042
476,0.507042
477,0.507042
478,0.507042
479,0.507042
480,0.507042
481,0.507042
482,0.507042
483,0.507042
484,0.507042
485,0.507042
486,0.507042
487,0.507042
488,0.507042
489,0.507042
490,0.507042
491,0.507042
492,0.507042
493,0.507042
494,0.507042
495,0.517997
496,0.524648
497,0.524648
498,0.524648
499,0.524648
500,0.524648
501,0.524648
502,0.524648
503,0.524648
504,0.524648
505,0.524648
506,0.524648
507,0.524648
508,0.524648
509,0.524648
510,0.524648
511,0.524648
512,0.524648
513,0.524648
514,0.532081
515,0.532081
516,0.507042
517,0.507042
518,0.517997
519,0.517997
520,0.517997
521,0.517997
522,0.517997
523,0.517997
524,0.517997
525,0.517997
526,0.517997
527,0.517997
528,0.517997
529,0.517997
530,0.517997
531,0.517997
532,0.517997
533,0.517997
534,0.517997
535,0.517997
536,0.517997
537,0.517997
538,0.517997
539,0.517997
540,0.517997
541,0.517997
542,0.517997
543,0.517997
544,0.517997
545,0.517997
546,0.517997
547,0.517997
548,0.517997
549,0.517997
550,0.517997
551,0.517997
552,0.517997
553,0.517997
554,0.517997
555,0.517997
556,0.517997
557,0.517997
558,0.517997
559,0.517997
560,0.517997
561,0.517997
562,0.517997
563,0.517997
564,0.517997
565,0.517997
566,0.517997
567,0.517997
568,0.517997
569,0.512128
570,0.512128
571,0.512128
572,0.512128
573,0.512128
574,0.512128
575,0.512128
576,0.512128
577,0.512128
578,0.512128
579,0.512128
580,0.512128
581,0.512128
582,0.512128
583,0.512128
584,0.512128
585,0.512128
586,0.512128
587,0.512128
588,0.512128
589,0.512128
590,0.512128
591,0.512128
592,0.512128
593,0.512128
594,0.512128
595,0.512128
596,0.512128
597,0.512128
598,0.512128
599,0.512128
600,0.512128
601,0.512128
602,0.512128
603,0.512128
604,0.512128
605,0.512128
606,0.512128
607,0.512128
608,0.512128
609,0.512128
610,0.512128
611,0.512128
612,0.512128
613,0.512128
614,0.512128
615,0.512128
616,0.512128
617,0.512128
618,0.512128
619,0.512128
620,0.512128
621,0.512128
622,0.512128
623,0.512128
624,0.512128
625,0.512128
626,0.512128
627,0.512128
628,0.512128
629,0.512128
630,0.512128
631,0.512128
632,0.512128
633,0.512128
634,0.512128
635,0.512128
636,0.524648
637,0.524648
638,0.524648
639,0.524648
640,0.524648
641,0.524648
642,0.524648
643,0.524648
644,0.524648
645,0.524648
646,0.524648
647,0.524648
648,0.524648
649,0.524648
650,0.524648
651,0.524648
652,0.524648
653,0.524648
654,0.524648
655,0.524648
656,0.524648
657,0.524648
658,0.524648
659,0.524648
660,0.524648
661,0.524648
662,0.524648
663,0.524648
664,0.524648
665,0.524648
666,0.524648
667,0.524648
668,0.524648
669,0.524648
670,0.524648
671,0.524648
672,0.524648
673,0.524648
674,0.524648
675,0.524648
676,0.524648
677,0.524648
678,0.524648
679,0.524648
680,0.524648
681,0.524648
682,0.524648
683,0.524648
684,0.524648
685,0.524648
686,0.524648
687,0.524648
688,0.524648
689,0.524648
690,0.524648
691,0.524648
692,0.524648
693,0.524648
694,0.524648
695,0.524648
696,0.524648
697,0.524648
698,0.524648
699,0.524648
700,0.524648
701,0.524648
702,0.524648
703,0.524648
704,0.524648
705,0.524648
706,0.524648
707,0.524648
708,0.524648
709,0.524648
710,0.524648
711,0.524648
712,0.524648
713,0.524648
714,0.524648
715,0.524648
716,0.524648
717,0.524648
718,0.524648
719,0.524648
720,0.524648
721,0.524648
722,0.524648
723,0.524648
724,0.524648
725,0.524648
726,0.524648
727,0.524648
728,0.524648
729,0.524648
730,0.524648
731,0.524648
732,0.524648
733,0.524648
734,0.524648
735,0.524648
736,0.524648
737,0.524648
738,0.524648
739,0.524648
740,0.524648
741,0.524648
742,0.524648
743,0.524648
744,0.524648
745,0.524648
746,0.524648
747,0.524648
748,0.524648
749,0.524648
750,0.524648
751,0.524648
752,0.524648
753,0.524648
754,0.524648
755,0.524648
756,0.524648
757,0.524648
758,0.524648
759,0.524648
760,0.524648
761,0.524648
762,0.524648
763,0.524648
764,0.524648
765,0.524648
766,0.524648
767,0.524648
768,0.524648
769,0.524648
770,0.524648
771,0.524648
772,0.524648
773,0.524648
774,0.524648
775,0.524648
776,0.524648
777,0.524648
778,0.524648
779,0.524648
780,0.524648
781,0.524648
782,0.524648
783,0.524648
784,0.524648
785,0.524648
786,0.524648
787,0.524648
788,0.524648
789,0.524648
790,0.524648
791,0.524648
792,0.524648
793,0.524648
794,0.524648
795,0.524648
796,0.524648
797,0.524648
798,0.524648
799,0.524648
800,0.524648
801,0.524648
802,0.524648
803,0.524648
804,0.524648
805,0.524648
806,0.524648
807,0.524648
808,0.524648
809,0.524648
810,0.524648
811,0.524648
812,0.524648
813,0.532081
814,0.532081
815,0.532081
816,0.532081
817,0.532081
818,0.532081
819,0.532081
820,0.532081
821,0.532081
822,0.532081
823,0.532081
824,0.532081
825,0.532081
826,0.532081
827,0.532081
828,0.532081
829,0.532081
830,0.532081
831,0.532081
832,0.532081
833,0.532081
834,0.532081
835,0.532081
836,0.532081
837,0.532081
838,0.532081
839,0.532081
840,0.532081
841,0.532081
842,0.532081
843,0.532081
844,0.532081
845,0.532081
846,0.532081
847,0.532081
848,0.532081
849,0.532081
850,0.532081
851,0.532081
852,0.532081
853,0.532081
854,0.532081
855,0.532081
856,0.532081
857,0.532081
858,0.532081
859,0.532081
860,0.532081
861,0.532081
862,0.532081
863,0.532081
864,0.532081
865,0.532081
866,0.532081
867,0.532081
868,0.532081
869,0.532081
870,0.532081
871,0.532081
872,0.532081
873,0.532081
874,0.532081
875,0.532081
876,0.532081
877,0.532081
878,0.532081
879,0.532081
880,0.532081
881,0.532081
882,0.532081
883,0.532081
884,0.532081
885,0.532081
886,0.532081
887,0.532081
888,0.532081
889,0.532081
890,0.532081
891,0.532081
892,0.532081
893,0.532081
894,0.532081
895,0.532081
896,0.532081
897,0.532081
898,0.532081
899,0.532081
900,0.532081
901,0.532081
902,0.532081
903,0.532081
904,0.532081
905,0.532081
906,0.532081
907,0.532081
908,0.532081
909,0.532081
910,0.532081
911,0.532081
912,0.532081
913,0.532081
914,0.532081
915,0.532081
916,0.532081
917,0.532081
918,0.532081
919,0.532081
920,0.532081
921,0.532081
922,0.532081
923,0.532081
924,0.532081
925,0.532081
926,0.532081
927,0.532081
928,0.532081
929,0.532081
930,0.532081
931,0.532081
932,0.532081
933,0.532081
934,0.532081
935,0.532081
936,0.532081
937,0.532081
938,0.532081
939,0.532081
940,0.532081
941,0.532081
942,0.532081
943,0.532081
944,0.532081
945,0.532081
946,0.532081
947,0.532081
948,0.532081
949,0.532081
950,0.532081
951,0.532081
952,0.532081
953,0.532081
954,0.532081
955,0.532081
956,0.532081
957,0.532081
958,0.532081
959,0.532081
960,0.532081
961,0.532081
962,0.532081
963,0.532081
964,0.532081
965,0.532081
966,0.532081
967,0.532081
968,0.532081
969,0.532081
970,0.532081
971,0.532081
972,0.532081
973,0.532081
974,0.532081
975,0.532081
976,0.532081
977,0.532081
978,0.532081
979,0.532081
980,0.532081
981,0.532081
982,0.532081
983,0.532081
984,0.532081
985,0.532081
986,0.532081
987,0.532081
988,0.532081
989,0.532081
990,0.532081
991,0.532081
992,0.532081
993,0.532081
994,0.532081
995,0.532081
996,0.532081
997,0.532081
998,0.532081
999,0.532081
1000,0.532081
1001,0.532081
1002,0.532081
1003,0.532081
1004,0.532081
1005,0.532081
1006,0.532081
1007,0.532081
1008,0.532081
1009,0.532081
1010,0.532081
1011,0.532081
1012,0.532081
1013,0.532081
1014,0.532081
1015,0.532081
1016,0.532081
1017,0.532081
1018,0.532081
1019,0.532081
1020,0.532081
1021,0.532081
1022,0.532081
1023,0.532081
1024,0.532081
1025,0.532081
1026,0.532081
1027,0.532081
1028,0.532081
1029,0.532081
1030,0.532081
1031,0.532081
1032,0.532081
1033,0.532081
1034,0.532081
1035,0.532081
1036,0.532081
1037,0.532081
1038,0.532081
1039,0.532081
1040,0.532081
1041,0.532081
1042,0.532081
1043,0.532081
1044,0.532081
1045,0.532081
1046,0.532081
1047,0.532081
1048,0.532081
1049,0.532081
1050,0.532081
1051,0.532081
1052,0.532081
1053,0.532081
1054,0.532081
1055,0.532081
1056,0.532081
1057,0.532081
1058,0.532081
1059,0.532081
1060,0.532081
1061,0.532081
1062,0.532081
1063,0.532081
1064,0.532081
1065,0.532081
1066,0.532081
1067,0.532081
1068,0.532081
1069,0.532081
1070,0.532081
1071,0.532081
1072,0.532081
1073,0.532081
1074,0.532081
1075,0.532081
1076,0.532081
1077,0.532081
1078,0.532081
1079,0.532081
1080,0.532081
1081,0.532081
1082,0.532081
1083,0.532081
1084,0.532081
1085,0.532081
1086,0.532081
1087,0.532081
1088,0.532081
1089,0.532081
1090,0.532081
1091,0.532081
1092,0.532081
1093,0.532081
1094,0.532081
1095,0.532081
1096,0.532081
1097,0.532081
1098,0.532081
1099,0.532081
1100,0.532081
1101,0.532081
1102,0.532081
1103,0.532081
1104,0.532081
1105,0.532081
1106,0.532081
1107,0.532081
1108,0.532081
1109,0.532081
1110,0.532081
1111,0.532081
1112,0.532081
1113,0.532081
1114,0.532081
1115,0.532081
1116,0.532081
1117,0.532081
1118,0.532081
1119,0.532081
1120,0.532081
1121,0.532081
1122,0.532081
1123,0.532081
1124,0.532081
1125,0.532081
1126,0.532081
1127,0.532081
1128,0.532081
1129,0.532081
1130,0.532081
1131,0.532081
1132,0.532081
1133,0.532081
1134,0.532081
1135,0.532081
1136,0.532081
1137,0.532081
1138,0.532081
1139,0.532081
1140,0.532081
1141,0.532081
1142,0.532081
1143,0.532081
1144,0.532081
1145,0.532081
1146,0.532081
1147,0.532081
1148,0.532081
1149,0.532081
1150,0.532081
1151,0.532081
1152,0.532081
1153,0.532081
1154,0.532081
1155,0.532081
1156,0.532081
1157,0.532081
1158,0.532081
1159,0.532081
1160,0.532081
1161,0.532081
1162,0.532081
1163,0.532081
1164,0.532081
1165,0.532081
1166,0.532081
1167,0.532081
1168,0.532081
1169,0.532081
1170,0.532081
1171,0.532081
1172,0.532081
1173,0.532081
1174,0.532081
1175,0.532081
1176,0.532081
1177,0.532081
1178,0.532081
1179,0.532081
1180,0.532081
1181,0.532081
1182,0.532081
1183,0.532081
1184,0.532081
1185,0.532081
1186,0.532081
1187,0.532081
1188,0.532081
1189,0.532081
1190,0.532081
1191,0.532081
1192,0.532081
1193,0.532081
1194,0.532081
