#step,index
0,0.472318
1,0.496609
2,0.48
3,0.494394
4,0.494394
5,0.494394
6,0.494394
7,0.494394
8,0.494394
9,0.494394
10,0.494394
11,0.494394
12,0.494394
13,0.494394
14,0.494394
15,0.494394
16,0.49827
17,0.49827
18,0.495571
19,0.495571
20,0.491626
21,0.49308
22,0.496609
23,0.496609
24,0.496609
25,0.496609
26,0.496609
27,0.496609
28,0.496609
29,0.496609
30,0.496609
31,0.496609
32,0.496609
33,0.496609
34,0.496609
35,0.496609
36,0.496609
37,0.496609
38,0.496609
39,0.496609
40,0.496609
41,0.496609
42,0.496609
43,0.496609
44,0.496609
45,0.496609
46,0.496609
47,0.496609
48,0.496609
49,0.496609
50,0.496609
51,0.496609
52,0.496609
53,0.496609
54,0.496609
55,0.496609
56,0.496609
57,0.496609
58,0.496609
59,0.496609
60,0.496609
61,0.496609
62,0.496609
63,0.496609
64,0.496609
65,0.496609
66,0.496609
67,0.496609
68,0.496609
69,0.496609
70,0.496609
71,0.496609
72,0.496609
73,0.494394
74,0.494394
75,0.494394
76,0.494394
77,0.494394
78,0.494394
79,0.494394
80,0.494394
81,0.494394
82,0.494394
83,0.494394
84,0.494394
85,0.494394
86,0.494394
87,0.494394
88,0.494394
89,0.494394
90,0.494394
91,0.494394
92,0.494394
93,0.494394
94,0.494394
95,0.494394
96,0.494394
97,0.494394
98,0.494394
99,0.494394
100,0.494394
101,0.494394
102,0.494394
103,0.494394
104,0.494394
105,0.494394
106,0.494394
107,0.494394
108,0.494394
109,0.494394
110,0.494394
111,0.494394
112,0.494394
113,0.494394
114,0.494394
115,0.494394
116,0.494394
117,0.494394
118,0.494394
119,0.494394
120,0.494394
121,0.494394
122,0.494394
123,0.494394
124,0.494394
125,0.494394
126,0.494394
127,0.494394
128,0.494394
129,0.494394
130,0.494394
131,0.494394
132,0.494394
133,0.494394
134,0.494394
135,0.494394
136,0.494394
137,0.494394
138,0.494394
139,0.494394
140,0.494394
141,0.494394
142,0.494394
143,0.494394
144,0.494394
145,0.494394
146,0.494394
147,0.494394
148,0.494394
149,0.494394
150,0.494394
151,0.494394
152,0.494394
153,0.494394
154,0.494394
155,0.494394
156,0.494394
157,0.494394
158,0.494394
159,0.494394
160,0.494394
161,0.494394
162,0.494394
163,0.494394
164,0.494394
165,0.494394
166,0.494394
167,0.494394
168,0.494394
169,0.494394
170,0.494394
171,0.494394
172,0.494394
173,0.494394
174,0.494394
175,0.494394
176,0.494394
177,0.494394
178,0.494394
179,0.494394
180,0.494394
181,0.495571
182,0.495571
183,0.495571
184,0.495571
185,0.495571
186,0.49827
187,0.49827
188,0.49827
189,0.49827
190,0.49827
191,0.49827
192,0.49827
193,0.49827
194,0.49827
195,0.49827
196,0.49827
197,0.49827
198,0.49827
199,0.49827
200,0.49827
201,0.49827
202,0.49827
203,0.49827
204,0.49827
205,0.49827
206,0.49827
207,0.49827
208,0.49827
209,0.49827
210,0.49827
211,0.49827
212,0.49827
213,0.49827
214,0.49827
215,0.49827
216,0.49827
217,0.49827
218,0.49827
219,0.49827
220,0.49827
221,0.49827
222,0.49827
223,0.49827
224,0.49827
225,0.49827
226,0.49827
227,0.49827
228,0.49827
229,0.49827
230,0.49827
231,0.49827
232,0.49827
233,0.49827
234,0.49827
235,0.49827
236,0.49827
237,0.49827
238,0.49827
239,0.49827
240,0.49827
241,0.49827
242,0.49827
243,0.49827
244,0.49827
245,0.49827
246,0.49827
247,0.49827
248,0.49827
249,0.49827
250,0.49827
251,0.49827
252,0.49827
253,0.49827
254,0.49827
255,0.49827
256,0.49827
257,0.49827
258,0.49827
259,0.49827
260,0.49827
261,0.49827
262,0.49827
263,0.49827
264,0.49827
265,0.49827
266,0.49827
267,0.49827
268,0.49827
269,0.49827
270,0.49827
271,0.49827
272,0.49827
273,0.49827
274,0.49827
275,0.49827
276,0.49827
277,0.49827
278,0.49827
279,0.49827
280,0.49827
281,0.49827
282,0.49827
283,0.49827
284,0.49827
285,0.49827
286,0.49827
287,0.49827
288,0.49827
289,0.49827
290,0.49827
291,0.49827
292,0.49827
293,0.49827
294,0.49827
295,0.49827
296,0.49827
297,0.49827
298,0.49827
299,0.49827
300,0.49827
301,0.49827
302,0.49827
303,0.49827
304,0.49827
305,0.49827
306,0.49827
307,0.49827
308,0.49827
309,0.49827
310,0.49827
311,0.49827
312,0.49827
313,0.49827
314,0.49827
315,0.49827
316,0.49827
317,0.49827
318,0.49827
319,0.49827
320,0.49827
321,0.49827
322,0.49827
323,0.49827
324,0.49827
325,0.49827
326,0.49827
327,0.49827
328,0.49827
329,0.49827
330,0.49827
331,0.49827
332,0.49827
333,0.49827
334,0.49827
335,0.49827
336,0.49827
337,0.49827
338,0.49827
339,0.49827
340,0.49827
341,0.49827
342,0.49827
343,0.49827
344,0.49827
345,0.49827
346,0.49827
347,0.49827
348,0.49827
349,0.49827
350,0.49827
351,0.49827
352,0.49827
353,0.49827
354,0.49827
355,0.49827
356,0.49827
357,0.49827
358,0.49827
359,0.49827
360,0.49827
361,0.49827
362,0.49827
363,0.49827
364,0.49827
365,0.49827
366,0.49827
367,0.49827
368,0.49827
369,0.49827
370,0.49827
371,0.49827
372,0.49827
373,0.49827
374,0.49827
375,0.49827
376,0.49827
377,0.49827
378,0.49827
379,0.49827
380,0.49827
381,0.49827
382,0.49827
383,0.49827
384,0.49827
385,0.49827
386,0.49827
387,0.49827
388,0.49827
389,0.49827
390,0.49827
391,0.49827
392,0.49827
393,0.49827
394,0.49827
395,0.49827
396,0.49827
397,0.49827
398,0.49827
399,0.49827
400,0.49827
401,0.49827
402,0.49827
403,0.49827
404,0.49827
405,0.49827
406,0.49827
407,0.49827
408,0.49827
409,0.49827
410,0.49827
411,0.49827
412,0.49827
413,0.49827
414,0.49827
415,0.49827
416,0.49827
417,0.49827
418,0.49827
419,0.49827
420,0.49827
421,0.49827
422,0.49827
423,0.49827
424,0.49827
425,0.49827
426,0.49827
427,0.49827
428,0.49827
429,0.49827
430,0.49827
431,0.49827
432,0.49827
433,0.49827
434,0.49827
435,0.49827
436,0.49827
437,0.49827
