#step,index
0,121.237
1,121.237
2,117.934
3,134.551
4,134.551
5,134.551
6,134.551
7,130.709
8,130.709
9,130.709
10,130.709
11,130.709
12,130.709
13,130.709
14,130.709
15,130.709
16,130.709
17,130.709
18,130.709
19,130.709
20,130.709
21,126.581
22,126.581
23,126.581
24,126.581
25,126.581
26,126.581
27,126.581
28,126.581
29,126.581
30,126.581
31,126.581
32,126.581
33,126.581
34,126.581
35,126.581
36,126.581
37,126.581
38,126.581
39,126.581
40,126.581
41,126.581
42,126.581
43,126.581
44,126.581
45,126.581
46,126.581
47,126.581
48,126.581
49,126.581
50,126.581
51,126.581
52,126.581
53,126.581
54,126.581
55,126.581
56,126.581
57,126.581
58,126.581
59,126.581
60,126.581
61,126.581
62,126.581
63,126.581
64,126.581
65,126.581
66,126.581
67,126.581
68,126.581
69,126.581
70,126.581
71,126.581
72,126.581
73,126.581
74,126.581
75,126.581
76,126.581
77,126.581
78,126.581
79,126.581
80,126.581
81,126.581
82,126.581
83,126.581
84,126.581
85,126.581
86,126.581
87,126.581
88,126.581
89,126.581
90,126.581
91,126.581
92,126.581
93,126.581
94,126.581
95,126.581
96,126.581
97,126.581
98,126.581
99,126.581
100,126.581
101,126.581
102,126.581
103,126.581
104,126.581
105,126.581
106,126.581
107,126.581
108,126.581
109,126.581
110,126.581
111,126.581
112,126.581
113,126.581
114,126.581
115,126.581
116,126.581
117,126.581
118,126.581
119,126.581
120,126.581
121,126.581
122,126.581
123,126.581
124,126.581
125,126.581
126,126.581
127,126.581
128,126.581
129,126.581
130,126.581
131,126.581
132,126.581
133,126.581
134,126.581
135,126.581
136,126.581
137,126.581
138,126.581
139,126.581
140,126.581
141,126.581
142,126.581
143,126.581
144,126.581
145,126.581
146,126.581
147,126.581
148,126.581
149,126.581
150,126.581
151,126.581
152,126.581
153,126.581
154,126.581
155,126.581
156,126.581
157,126.581
158,126.581
159,126.581
160,126.581
161,126.581
162,126.581
163,126.581
164,126.581
165,126.581
166,126.581
167,126.581
168,126.581
169,126.581
170,126.581
171,126.581
172,126.581
173,126.581
174,126.581
175,126.581
176,126.581
177,126.581
178,126.581
179,126.581
180,126.581
181,126.581
182,126.581
183,126.581
184,126.581
185,126.581
186,126.581
187,126.581
188,126.581
189,126.581
190,126.581
191,126.581
192,126.581
193,126.581
194,126.581
195,126.581
196,126.581
197,126.581
198,126.581
199,126.581
200,126.581
201,126.581
202,126.581
203,126.581
204,126.581
205,126.581
206,126.581
207,126.581
208,126.581
209,126.581
210,126.581
211,126.581
212,126.581
213,126.581
214,126.581
215,126.581
216,126.581
217,126.581
218,126.581
219,126.581
220,126.581
221,126.581
222,126.581
223,126.581
224,126.581
225,126.581
226,126.581
227,126.581
228,126.581
229,126.581
230,126.581
231,126.581
232,126.581
233,126.581
234,126.581
235,126.581
236,126.581
237,126.581
238,126.581
239,126.581
240,126.581
241,126.581
242,126.581
243,126.581
244,126.581
245,126.581
246,126.581
247,126.581
248,126.581
249,126.581
250,126.581
251,126.581
252,126.581
253,126.581
254,126.581
255,126.581
256,126.581
257,126.581
258,126.581
259,126.581
260,126.581
261,126.581
262,126.581
263,126.581
264,126.581
265,126.581
266,126.581
267,126.581
268,126.581
269,126.581
270,126.581
271,126.581
272,126.581
273,126.581
274,126.581
275,126.581
276,126.581
277,126.581
278,126.581
279,126.581
280,126.581
281,126.581
282,126.581
283,126.581
284,126.581
285,126.581
286,126.581
287,126.581
288,126.581
289,140.022
290,140.022
291,140.022
292,140.022
293,140.022
294,140.022
295,140.022
296,140.022
297,140.022
298,140.022
299,140.022
300,140.022
301,140.022
302,140.022
