#step,index
0,98.9645
1,98.9645
2,98.9645
3,121.666
4,121.666
5,121.666
6,121.666
7,118.406
8,118.406
9,118.406
10,118.406
11,118.406
12,118.406
13,118.406
14,118.406
15,118.406
16,118.406
17,118.406
18,118.406
19,118.406
20,118.406
21,118.406
22,118.406
23,118.406
24,118.406
25,118.406
26,118.406
27,118.406
28,118.406
29,118.406
30,118.406
31,118.406
32,118.406
33,118.406
34,118.406
35,118.406
36,118.406
37,118.406
38,118.406
39,118.406
40,118.406
41,118.406
42,118.406
43,118.406
44,118.406
45,118.406
46,118.406
47,118.406
48,118.406
49,118.406
50,118.406
51,118.406
52,118.406
53,118.406
54,118.406
55,118.406
56,118.406
57,118.406
58,118.406
59,118.406
60,118.406
61,118.406
62,118.406
63,118.406
64,118.406
65,118.406
66,118.406
67,118.406
68,118.406
69,118.406
70,118.406
71,118.406
72,118.406
73,118.406
74,118.406
75,118.406
76,118.406
77,118.406
78,118.406
79,118.406
80,118.406
81,118.406
82,118.406
83,118.406
84,118.406
85,118.406
86,118.406
87,118.406
88,118.406
89,118.406
90,118.406
91,118.406
92,118.406
93,118.406
94,118.406
95,118.406
96,118.406
97,118.406
98,118.406
99,118.406
100,118.406
101,118.406
102,118.406
103,118.406
104,118.406
105,118.406
106,118.406
107,118.406
108,118.406
109,118.406
110,118.406
111,118.406
112,118.406
113,118.406
114,118.406
115,118.406
116,118.406
117,118.406
118,118.406
119,118.406
120,118.406
121,118.406
122,118.406
123,118.406
124,118.406
125,118.406
126,118.406
127,118.406
128,118.406
129,118.406
130,118.406
131,118.406
132,118.406
133,118.406
134,118.406
135,118.406
136,118.406
137,118.406
138,118.406
139,118.406
140,118.406
141,118.406
142,118.406
143,118.406
144,118.406
145,118.406
146,118.406
147,118.406
148,118.406
149,118.406
150,118.406
151,118.406
152,118.406
153,118.406
154,118.406
155,118.406
156,118.406
157,118.406
158,118.406
159,118.406
160,118.406
161,118.406
162,118.406
163,118.406
164,118.406
165,118.406
166,118.406
167,118.406
168,118.406
169,118.406
170,118.406
171,118.406
172,118.406
173,118.406
174,118.406
175,118.406
176,118.406
177,118.406
178,118.406
179,118.406
180,118.406
181,118.406
182,118.406
183,118.406
184,118.406
185,118.406
186,118.406
187,118.406
188,118.406
189,118.406
190,118.406
191,118.406
192,118.406
193,118.406
194,118.406
195,118.406
196,118.406
197,118.406
198,118.406
199,118.406
200,118.406
201,118.406
202,118.406
203,118.406
204,118.406
205,118.406
206,118.406
207,118.406
208,118.406
209,118.406
210,118.406
211,118.406
212,118.406
213,118.406
214,118.406
215,118.406
216,118.406
217,118.406
218,118.406
219,118.406
220,118.406
221,118.406
222,118.406
223,118.406
224,118.406
225,118.406
226,118.406
227,118.406
228,118.406
229,118.406
230,118.406
231,118.406
232,118.406
233,118.406
234,118.406
235,118.406
236,118.406
237,118.406
238,118.406
239,118.406
240,118.406
241,118.406
242,118.406
243,118.406
244,118.406
245,118.406
246,118.406
247,118.406
248,118.406
249,118.406
250,118.406
251,118.406
252,118.406
253,118.406
254,118.406
255,118.406
256,118.406
257,118.406
258,118.406
259,118.406
260,118.406
261,118.406
262,118.406
263,118.406
264,118.406
265,118.406
266,118.406
267,118.406
268,118.406
269,118.406
270,118.406
271,118.406
272,118.406
273,118.406
274,118.406
275,118.406
276,118.406
277,118.406
278,118.406
279,118.406
280,118.406
281,118.406
282,118.406
283,118.406
284,118.406
285,118.406
286,118.406
287,118.406
288,118.406
289,118.406
290,118.406
291,118.406
292,118.406
293,118.406
294,118.406
295,118.406
296,118.406
297,118.406
298,118.406
299,118.406
300,118.406
301,118.406
302,118.406
303,118.406
304,118.406
305,118.406
306,118.406
307,118.406
308,118.406
309,118.406
310,118.406
311,118.406
312,118.406
313,118.406
314,118.406
315,118.406
316,118.406
317,118.406
318,118.406
319,118.406
320,118.406
321,118.406
322,118.406
323,118.406
324,118.406
325,118.406
326,118.406
327,118.406
328,118.406
329,118.406
330,118.406
331,118.406
332,118.406
333,118.406
334,118.406
335,118.406
336,118.406
337,118.406
338,118.406
339,118.406
340,118.406
341,118.406
342,118.406
343,118.406
344,118.406
345,118.406
346,118.406
347,118.406
348,118.406
349,118.406
350,118.406
351,118.406
352,118.406
353,118.406
354,118.406
355,118.406
356,118.406
357,118.406
358,118.406
359,118.406
360,118.406
361,118.406
362,118.406
363,118.406
364,118.406
365,118.406
366,118.406
367,118.406
368,118.406
369,118.406
370,118.406
371,118.406
372,118.406
373,118.406
374,118.406
375,118.406
376,118.406
377,118.406
378,118.406
379,118.406
380,118.406
381,118.406
