#step,index
0,0.689091
1,0.689091
2,0.689091
3,0.689091
4,0.689091
5,0.689091
6,0.631515
7,0.496768
8,0.496768
9,0.496768
10,0.58404
11,0.592727
12,0.601818
13,0.529091
14,0.529091
15,0.529091
16,0.529091
17,0.529091
18,0.664848
19,0.664848
20,0.664848
21,0.575758
22,0.575758
23,0.575758
24,0.575758
25,0.575758
26,0.575758
27,0.575758
28,0.575758
29,0.575758
30,0.575758
31,0.575758
32,0.575758
33,0.575758
34,0.575758
35,0.575758
36,0.575758
37,0.575758
38,0.575758
39,0.575758
40,0.575758
41,0.575758
42,0.575758
43,0.575758
44,0.575758
45,0.575758
46,0.575758
47,0.575758
48,0.575758
49,0.575758
50,0.575758
51,0.575758
52,0.575758
53,0.575758
54,0.575758
55,0.575758
56,0.575758
57,0.575758
58,0.575758
59,0.575758
60,0.575758
61,0.575758
62,0.575758
63,0.575758
64,0.575758
65,0.575758
66,0.575758
67,0.575758
68,0.575758
69,0.575758
70,0.575758
71,0.575758
72,0.575758
73,0.575758
74,0.575758
75,0.575758
76,0.575758
77,0.575758
78,0.575758
79,0.575758
80,0.575758
81,0.575758
82,0.575758
83,0.575758
84,0.575758
85,0.575758
86,0.575758
87,0.575758
88,0.575758
89,0.575758
90,0.575758
91,0.575758
92,0.575758
93,0.575758
94,0.575758
95,0.575758
96,0.575758
97,0.575758
98,0.575758
99,0.575758
100,0.575758
101,0.575758
102,0.575758
103,0.575758
104,0.575758
105,0.575758
106,0.575758
107,0.575758
108,0.575758
109,0.575758
110,0.575758
111,0.575758
112,0.575758
113,0.575758
114,0.575758
115,0.575758
116,0.575758
117,0.575758
118,0.575758
119,0.575758
120,0.575758
121,0.575758
122,0.575758
123,0.575758
124,0.575758
125,0.575758
126,0.575758
127,0.575758
128,0.575758
129,0.575758
130,0.575758
131,0.575758
132,0.575758
133,0.575758
134,0.575758
135,0.575758
136,0.575758
137,0.575758
138,0.575758
139,0.575758
140,0.575758
141,0.575758
142,0.575758
143,0.575758
144,0.575758
145,0.575758
146,0.575758
147,0.575758
148,0.575758
149,0.575758
150,0.575758
151,0.575758
152,0.575758
153,0.575758
154,0.575758
155,0.575758
156,0.575758
157,0.575758
158,0.575758
159,0.575758
160,0.575758
161,0.575758
162,0.540404
163,0.540404
164,0.540404
165,0.540404
166,0.540404
167,0.540404
168,0.540404
169,0.540404
170,0.540404
171,0.540404
172,0.540404
173,0.540404
174,0.540404
175,0.540404
176,0.540404
177,0.540404
178,0.540404
179,0.540404
180,0.540404
181,0.540404
182,0.540404
183,0.540404
184,0.540404
185,0.540404
186,0.540404
187,0.540404
188,0.540404
189,0.540404
190,0.540404
191,0.540404
192,0.540404
193,0.540404
194,0.540404
195,0.540404
196,0.540404
197,0.540404
198,0.540404
199,0.540404
200,0.540404
201,0.540404
202,0.540404
203,0.540404
204,0.540404
205,0.540404
206,0.540404
207,0.540404
208,0.540404
209,0.540404
210,0.540404
211,0.540404
212,0.540404
213,0.540404
214,0.540404
215,0.540404
216,0.540404
217,0.540404
218,0.540404
219,0.540404
220,0.540404
221,0.540404
222,0.540404
223,0.540404
224,0.540404
225,0.540404
226,0.540404
227,0.540404
228,0.540404
229,0.540404
230,0.540404
231,0.540404
232,0.540404
233,0.540404
234,0.540404
235,0.540404
236,0.540404
237,0.529091
238,0.529091
239,0.5
240,0.5
241,0.5
242,0.5
243,0.5
244,0.5
245,0.5
246,0.5
247,0.5
248,0.5
249,0.5
250,0.5
251,0.5
252,0.5
253,0.5
254,0.5
255,0.5
256,0.5
257,0.5
258,0.5
259,0.5
260,0.5
261,0.5
262,0.5
263,0.5
264,0.5
265,0.5
266,0.5
267,0.5
268,0.5
269,0.5
270,0.5
271,0.5
272,0.5
273,0.5
274,0.5
275,0.5
276,0.5
277,0.5
278,0.5
279,0.5
280,0.5
281,0.5
282,0.5
283,0.5
284,0.5
285,0.5
286,0.5
287,0.5
288,0.5
289,0.5
290,0.5
291,0.5
292,0.5
293,0.5
294,0.5
295,0.5
296,0.5
297,0.5
298,0.5
299,0.5
300,0.5
301,0.5
302,0.5
303,0.5
304,0.5
305,0.5
306,0.5
307,0.5
308,0.5
309,0.5
310,0.5
311,0.5
312,0.5
313,0.5
314,0.5
315,0.5
316,0.5
317,0.5
318,0.5
319,0.5
320,0.5
321,0.5
322,0.5
323,0.5
324,0.5
325,0.5
326,0.5
327,0.5
328,0.5
329,0.5
330,0.5
331,0.5
332,0.5
333,0.5
334,0.5
335,0.5
336,0.5
337,0.5
338,0.5
339,0.5
340,0.5
341,0.5
342,0.5
343,0.5
344,0.5
345,0.5
346,0.5
347,0.5
348,0.5
349,0.5
350,0.5
351,0.5
352,0.5
353,0.5
354,0.5
355,0.5
356,0.5
357,0.5
358,0.5
359,0.5
360,0.5
361,0.5
362,0.5
363,0.5
364,0.5
365,0.5
366,0.5
367,0.5
368,0.5
369,0.5
370,0.5
371,0.5
372,0.5
373,0.5
374,0.5
375,0.5
376,0.5
377,0.5
378,0.5
379,0.5
380,0.5
381,0.5
382,0.5
383,0.5
384,0.5
385,0.5
386,0.5
387,0.5
388,0.5
389,0.5
390,0.5
391,0.5
392,0.5
393,0.5
394,0.5
395,0.5
396,0.5
397,0.5
398,0.5
399,0.5
400,0.5
401,0.5
402,0.546667
403,0.553333
404,0.553333
405,0.534545
406,0.534545
407,0.534545
408,0.534545
409,0.534545
410,0.534545
411,0.534545
412,0.540404
413,0.540404
414,0.540404
415,0.540404
416,0.540404
417,0.540404
418,0.540404
419,0.540404
420,0.540404
421,0.540404
422,0.540404
423,0.540404
424,0.540404
425,0.540404
426,0.575758
427,0.592727
428,0.567879
429,0.567879
430,0.567879
431,0.567879
432,0.567879
433,0.567879
434,0.567879
435,0.567879
436,0.567879
437,0.567879
438,0.567879
439,0.567879
440,0.592727
441,0.592727
442,0.592727
443,0.592727
444,0.592727
445,0.592727
446,0.592727
447,0.592727
448,0.592727
449,0.592727
450,0.592727
451,0.592727
452,0.592727
453,0.601818
454,0.601818
455,0.601818
456,0.601818
457,0.601818
458,0.621212
459,0.621212
460,0.621212
461,0.621212
462,0.621212
463,0.621212
464,0.621212
465,0.621212
466,0.621212
467,0.621212
468,0.621212
469,0.621212
470,0.621212
471,0.621212
472,0.621212
473,0.621212
474,0.621212
475,0.621212
476,0.621212
477,0.621212
478,0.621212
479,0.621212
480,0.621212
481,0.621212
482,0.621212
483,0.621212
484,0.621212
485,0.653333
486,0.653333
487,0.653333
488,0.653333
489,0.653333
490,0.653333
491,0.653333
492,0.653333
493,0.653333
494,0.653333
495,0.653333
496,0.653333
497,0.653333
498,0.653333
499,0.653333
500,0.653333
501,0.653333
502,0.653333
503,0.653333
504,0.653333
505,0.653333
506,0.653333
507,0.653333
508,0.653333
509,0.653333
510,0.653333
511,0.653333
512,0.653333
513,0.653333
514,0.653333
515,0.653333
516,0.653333
517,0.653333
518,0.653333
519,0.653333
520,0.653333
521,0.653333
522,0.653333
523,0.653333
524,0.653333
525,0.653333
526,0.653333
527,0.653333
528,0.653333
529,0.653333
530,0.653333
531,0.653333
532,0.653333
533,0.653333
534,0.653333
535,0.653333
536,0.653333
537,0.653333
538,0.653333
539,0.653333
540,0.653333
541,0.653333
542,0.653333
543,0.653333
544,0.653333
545,0.653333
546,0.653333
547,0.653333
548,0.653333
549,0.653333
550,0.592727
551,0.592727
552,0.592727
553,0.592727
554,0.592727
555,0.592727
556,0.592727
557,0.592727
558,0.592727
559,0.592727
560,0.592727
561,0.592727
562,0.592727
563,0.592727
564,0.592727
565,0.592727
566,0.592727
567,0.592727
568,0.592727
569,0.592727
570,0.592727
571,0.592727
572,0.592727
573,0.592727
574,0.592727
575,0.592727
576,0.592727
577,0.592727
578,0.592727
579,0.592727
580,0.592727
581,0.592727
582,0.592727
583,0.592727
584,0.592727
585,0.592727
586,0.592727
587,0.592727
588,0.592727
589,0.592727
590,0.592727
591,0.592727
592,0.592727
593,0.592727
594,0.592727
595,0.592727
596,0.58404
597,0.58404
598,0.58404
599,0.58404
600,0.58404
601,0.58404
602,0.58404
603,0.58404
604,0.58404
605,0.58404
606,0.58404
607,0.58404
608,0.58404
609,0.58404
610,0.58404
611,0.58404
612,0.58404
613,0.58404
614,0.58404
615,0.58404
616,0.58404
617,0.58404
618,0.58404
619,0.58404
620,0.58404
621,0.58404
622,0.58404
623,0.58404
624,0.58404
625,0.58404
626,0.58404
627,0.58404
628,0.58404
629,0.58404
630,0.58404
631,0.58404
632,0.58404
633,0.58404
634,0.58404
635,0.58404
636,0.58404
637,0.58404
638,0.58404
639,0.58404
640,0.58404
641,0.58404
642,0.58404
643,0.58404
644,0.58404
645,0.58404
646,0.58404
647,0.58404
648,0.58404
649,0.58404
650,0.58404
651,0.58404
652,0.58404
653,0.58404
654,0.58404
655,0.58404
656,0.58404
657,0.58404
658,0.58404
659,0.58404
660,0.58404
661,0.58404
662,0.58404
663,0.58404
664,0.58404
665,0.58404
666,0.58404
667,0.58404
668,0.58404
669,0.58404
670,0.58404
671,0.58404
672,0.58404
673,0.58404
674,0.58404
675,0.58404
676,0.58404
677,0.58404
678,0.58404
679,0.58404
680,0.58404
681,0.58404
682,0.58404
683,0.58404
684,0.58404
685,0.58404
686,0.58404
687,0.58404
688,0.58404
689,0.58404
690,0.58404
691,0.58404
692,0.58404
693,0.58404
694,0.58404
695,0.58404
696,0.58404
697,0.58404
698,0.58404
699,0.58404
700,0.58404
701,0.58404
702,0.58404
703,0.58404
704,0.58404
705,0.58404
706,0.58404
707,0.58404
708,0.58404
709,0.58404
710,0.58404
711,0.58404
712,0.58404
713,0.58404
714,0.58404
715,0.58404
716,0.58404
717,0.58404
718,0.58404
719,0.58404
720,0.58404
721,0.58404
722,0.58404
723,0.58404
724,0.58404
725,0.58404
726,0.58404
727,0.58404
728,0.58404
729,0.58404
730,0.58404
731,0.58404
732,0.58404
733,0.58404
734,0.58404
735,0.58404
736,0.58404
737,0.58404
738,0.58404
739,0.58404
740,0.58404
741,0.58404
742,0.58404
743,0.58404
744,0.58404
745,0.58404
746,0.58404
747,0.58404
748,0.58404
749,0.58404
750,0.58404
751,0.58404
752,0.58404
753,0.58404
754,0.58404
755,0.58404
756,0.58404
757,0.58404
758,0.58404
759,0.58404
760,0.58404
761,0.58404
762,0.58404
763,0.58404
764,0.58404
765,0.58404
766,0.58404
767,0.58404
768,0.58404
769,0.58404
770,0.58404
771,0.58404
772,0.58404
773,0.58404
774,0.58404
775,0.58404
776,0.58404
777,0.58404
778,0.58404
779,0.58404
780,0.58404
781,0.58404
782,0.58404
783,0.58404
784,0.58404
785,0.58404
786,0.58404
787,0.58404
788,0.58404
789,0.58404
790,0.58404
791,0.58404
792,0.58404
793,0.58404
794,0.58404
795,0.58404
796,0.58404
797,0.58404
798,0.58404
799,0.58404
800,0.58404
801,0.58404
802,0.58404
803,0.58404
804,0.58404
805,0.58404
806,0.58404
807,0.58404
808,0.58404
809,0.58404
810,0.58404
811,0.58404
812,0.58404
813,0.58404
814,0.58404
815,0.58404
816,0.58404
817,0.58404
818,0.58404
819,0.58404
820,0.58404
821,0.58404
822,0.58404
823,0.58404
824,0.58404
825,0.58404
826,0.58404
827,0.58404
828,0.58404
829,0.58404
830,0.58404
831,0.58404
832,0.58404
833,0.58404
834,0.58404
835,0.58404
836,0.58404
837,0.58404
838,0.58404
839,0.58404
840,0.58404
841,0.58404
842,0.58404
843,0.58404
844,0.58404
845,0.58404
846,0.58404
847,0.58404
848,0.58404
849,0.58404
850,0.58404
851,0.58404
852,0.58404
853,0.58404
854,0.58404
855,0.58404
856,0.58404
857,0.58404
858,0.58404
859,0.58404
860,0.58404
861,0.58404
862,0.58404
863,0.58404
864,0.58404
865,0.58404
866,0.58404
867,0.58404
868,0.58404
869,0.58404
870,0.58404
871,0.58404
872,0.575758
873,0.575758
874,0.575758
875,0.575758
876,0.575758
877,0.575758
878,0.575758
879,0.575758
880,0.575758
881,0.575758
882,0.575758
883,0.575758
884,0.575758
885,0.575758
886,0.575758
887,0.575758
888,0.575758
889,0.575758
890,0.575758
891,0.575758
892,0.575758
893,0.575758
894,0.575758
895,0.575758
896,0.575758
897,0.575758
898,0.575758
899,0.575758
900,0.575758
901,0.575758
902,0.575758
903,0.575758
904,0.575758
905,0.575758
906,0.575758
907,0.575758
908,0.575758
909,0.575758
910,0.575758
911,0.575758
912,0.575758
913,0.575758
914,0.575758
915,0.575758
916,0.575758
917,0.575758
918,0.575758
919,0.575758
920,0.575758
921,0.575758
922,0.575758
923,0.575758
924,0.575758
925,0.575758
926,0.575758
927,0.575758
928,0.575758
929,0.575758
930,0.575758
931,0.575758
932,0.575758
933,0.575758
934,0.575758
935,0.575758
936,0.575758
937,0.575758
938,0.575758
939,0.575758
940,0.575758
941,0.575758
942,0.575758
943,0.575758
944,0.575758
945,0.575758
946,0.575758
947,0.575758
948,0.575758
949,0.575758
950,0.575758
951,0.575758
952,0.575758
953,0.575758
954,0.575758
955,0.575758
956,0.575758
957,0.575758
958,0.575758
959,0.575758
960,0.575758
961,0.575758
962,0.575758
963,0.575758
964,0.575758
965,0.575758
966,0.575758
967,0.575758
968,0.575758
969,0.575758
970,0.575758
971,0.575758
972,0.575758
973,0.575758
974,0.575758
975,0.575758
976,0.575758
977,0.575758
978,0.575758
979,0.575758
980,0.575758
981,0.575758
982,0.575758
983,0.575758
984,0.575758
985,0.575758
986,0.575758
987,0.575758
988,0.575758
989,0.575758
990,0.575758
991,0.575758
992,0.575758
993,0.575758
994,0.575758
995,0.575758
996,0.575758
997,0.575758
998,0.575758
999,0.575758
1000,0.575758
1001,0.575758
1002,0.575758
1003,0.575758
1004,0.575758
1005,0.575758
1006,0.575758
1007,0.575758
1008,0.575758
1009,0.575758
1010,0.575758
1011,0.575758
1012,0.575758
1013,0.575758
1014,0.575758
1015,0.575758
1016,0.575758
1017,0.575758
1018,0.575758
1019,0.575758
1020,0.575758
1021,0.575758
1022,0.575758
1023,0.575758
1024,0.575758
1025,0.575758
1026,0.575758
1027,0.575758
1028,0.575758
1029,0.575758
1030,0.575758
1031,0.575758
1032,0.575758
1033,0.575758
1034,0.575758
1035,0.575758
1036,0.575758
1037,0.575758
1038,0.575758
1039,0.575758
1040,0.575758
1041,0.575758
1042,0.575758
1043,0.575758
1044,0.575758
1045,0.575758
1046,0.575758
1047,0.575758
1048,0.575758
1049,0.575758
1050,0.575758
1051,0.575758
1052,0.575758
1053,0.575758
1054,0.575758
1055,0.575758
1056,0.575758
1057,0.575758
1058,0.575758
1059,0.575758
1060,0.575758
1061,0.575758
1062,0.575758
1063,0.575758
1064,0.575758
1065,0.575758
1066,0.575758
1067,0.575758
1068,0.575758
1069,0.575758
1070,0.575758
1071,0.575758
1072,0.575758
1073,0.575758
1074,0.575758
1075,0.575758
1076,0.575758
1077,0.575758
1078,0.575758
1079,0.575758
1080,0.575758
1081,0.575758
1082,0.575758
1083,0.575758
1084,0.575758
1085,0.575758
1086,0.575758
1087,0.575758
1088,0.575758
1089,0.575758
1090,0.575758
1091,0.575758
1092,0.575758
1093,0.575758
1094,0.575758
1095,0.575758
1096,0.575758
1097,0.575758
1098,0.575758
1099,0.575758
1100,0.575758
1101,0.575758
1102,0.575758
1103,0.575758
1104,0.575758
1105,0.575758
1106,0.575758
1107,0.575758
1108,0.575758
1109,0.575758
1110,0.575758
1111,0.575758
1112,0.575758
1113,0.575758
1114,0.575758
1115,0.575758
1116,0.575758
1117,0.575758
1118,0.575758
1119,0.575758
1120,0.575758
1121,0.575758
1122,0.575758
1123,0.575758
1124,0.575758
1125,0.575758
1126,0.575758
1127,0.575758
1128,0.575758
1129,0.575758
1130,0.575758
1131,0.575758
1132,0.575758
1133,0.575758
1134,0.575758
1135,0.575758
1136,0.575758
1137,0.575758
1138,0.575758
1139,0.575758
1140,0.575758
1141,0.575758
1142,0.575758
1143,0.575758
1144,0.575758
