#step,index
0,0.167307
1,0.167307
2,0.167307
3,0.167307
4,0.167307
5,0.167307
6,0.167307
7,0.167307
8,0.167307
9,0.167307
10,0.167307
11,0.167307
12,0.167307
13,0.167307
14,0.167307
15,0.167307
16,0.167307
17,0.167307
18,0.167307
19,0.167307
20,0.167307
21,0.167307
22,0.167307
23,0.167307
24,0.167307
25,0.167307
26,0.167307
27,0.167307
28,0.167307
29,0.167307
30,0.167307
31,0.167307
32,0.167307
33,0.167307
34,0.167307
35,0.167307
36,0.167307
37,0.167307
38,0.167307
39,0.167307
40,0.167307
41,0.167307
42,0.167307
43,0.167307
44,0.167307
45,0.167307
46,0.167307
47,0.167307
48,0.167307
49,0.167307
50,0.167307
51,0.167307
52,0.167307
53,0.167307
54,0.167307
55,0.167307
56,0.167307
57,0.167307
58,0.167307
59,0.167307
60,0.167307
61,0.167307
62,0.167307
63,0.167307
64,0.167307
65,0.167307
66,0.167307
67,0.167307
68,0.167307
69,0.167307
70,0.167307
71,0.167307
72,0.167307
73,0.167307
74,0.167307
75,0.33064
76,0.33064
77,0.33064
78,0.33064
79,0.33064
80,0.33064
81,0.33064
82,0.33064
83,0.33064
84,0.33064
85,0.33064
86,0.33064
87,0.33064
88,0.33064
89,0.33064
90,0.33064
91,0.33064
92,0.33064
93,0.33064
94,0.33064
95,0.33064
96,0.33064
97,0.33064
98,0.33064
99,0.33064
100,0.33064
101,0.33064
102,0.33064
103,0.33064
104,0.509215
105,0.509215
106,0.509215
107,0.509215
108,0.509215
109,0.509215
110,0.509215
111,0.509215
112,0.509215
113,0.509215
114,0.509215
115,0.509215
116,0.509215
117,0.509215
118,0.509215
119,0.509215
120,0.509215
121,0.509215
122,0.509215
123,0.509215
124,0.509215
125,0.509215
126,0.509215
127,0.509215
128,0.509215
129,0.509215
130,0.509215
131,0.509215
132,0.509215
133,0.509215
134,0.509215
135,0.509215
136,0.509215
137,0.509215
138,0.509215
139,0.509215
140,0.509215
141,0.509215
142,0.509215
143,0.509215
144,0.509215
145,0.509215
146,0.509215
147,0.509215
148,0.509215
149,0.509215
150,0.509215
151,0.509215
152,0.509215
153,0.509215
154,0.509215
155,0.509215
156,0.611451
157,0.611451
158,0.611451
159,0.611451
160,0.611451
161,0.611451
162,0.611451
163,0.611451
164,0.611451
165,0.611451
166,0.611451
167,0.611451
168,0.611451
169,0.611451
170,0.611451
171,0.611451
172,0.611451
173,0.611451
174,0.611451
175,0.611451
176,0.611451
177,0.611451
178,0.611451
179,0.611451
180,0.611451
181,0.611451
182,0.611451
183,0.611451
184,0.611451
185,0.611451
186,0.611451
187,0.611451
188,0.611451
189,0.611451
190,0.611451
191,0.611451
192,0.611451
193,0.611451
194,0.611451
195,0.611451
196,0.611451
197,0.611451
198,0.611451
199,0.611451
200,0.611451
201,0.611451
202,0.611451
203,0.611451
204,0.611451
205,0.611451
206,0.611451
207,0.611451
208,0.611451
209,0.611451
210,0.611451
211,0.611451
212,0.611451
213,0.611451
214,0.611451
215,0.611451
216,0.611451
217,0.611451
218,0.611451
219,0.611451
220,0.611451
221,0.611451
222,0.611451
223,0.611451
224,0.611451
225,0.611451
226,0.611451
227,0.611451
228,0.611451
229,0.611451
230,0.611451
231,0.611451
232,0.611451
233,0.611451
234,0.611451
235,0.680758
236,0.680758
237,0.680758
238,0.680758
239,0.680758
240,0.680758
241,0.680758
242,0.680758
243,0.680758
244,0.680758
245,0.680758
246,0.680758
247,0.680758
248,0.680758
249,0.680758
250,0.680758
251,0.680758
252,0.680758
253,0.680758
254,0.680758
255,0.680758
256,0.680758
257,0.680758
258,0.680758
259,0.680758
260,0.680758
261,0.680758
262,0.680758
263,0.680758
264,0.680758
265,0.680758
266,0.680758
267,0.680758
268,0.680758
269,0.680758
270,0.680758
271,0.680758
272,0.680758
273,0.680758
274,0.680758
275,0.680758
276,0.680758
277,0.680758
278,0.680758
279,0.680758
280,0.680758
281,0.680758
282,0.680758
283,0.680758
284,0.680758
285,0.680758
286,0.680758
287,0.680758
288,0.680758
289,0.680758
290,0.680758
291,0.680758
292,0.680758
293,0.680758
294,0.680758
295,0.680758
296,0.680758
297,0.680758
298,0.680758
299,0.680758
300,0.680758
301,0.680758
302,0.680758
303,0.680758
304,0.680758
305,0.680758
306,0.680758
307,0.680758
308,0.680758
309,0.680758
310,0.680758
311,0.680758
312,0.680758
313,0.680758
314,0.680758
315,0.680758
316,0.680758
317,0.680758
318,0.680758
319,0.680758
320,0.680758
321,0.680758
322,0.680758
323,0.680758
324,0.680758
325,0.680758
326,0.680758
327,0.680758
328,0.680758
329,0.680758
330,0.680758
331,0.680758
332,0.680758
333,0.680758
334,0.680758
335,0.680758
336,0.680758
337,0.680758
338,0.680758
339,0.680758
340,0.680758
341,0.680758
342,0.680758
343,0.680758
344,0.680758
345,0.680758
346,0.680758
347,0.680758
348,0.680758
349,0.680758
350,0.680758
351,0.680758
352,0.680758
353,0.680758
354,0.680758
355,0.680758
356,0.680758
357,0.680758
358,0.680758
359,0.680758
360,0.680758
361,0.680758
362,0.680758
363,0.680758
364,0.680758
365,0.680758
366,0.680758
367,0.680758
368,0.680758
369,0.680758
370,0.680758
371,0.680758
372,0.680758
373,0.680758
374,0.680758
375,0.680758
376,0.680758
377,0.680758
378,0.680758
379,0.680758
380,0.680758
381,0.680758
382,0.680758
383,0.680758
384,0.680758
385,0.680758
386,0.680758
387,0.680758
388,0.680758
389,0.680758
390,0.680758
391,0.680758
392,0.680758
393,0.680758
394,0.680758
395,0.680758
396,0.680758
397,0.680758
398,0.680758
399,0.680758
400,0.680758
401,0.680758
402,0.680758
403,0.712813
404,0.712813
405,0.712813
406,0.712813
407,0.712813
408,0.712813
409,0.712813
410,0.712813
411,0.712813
412,0.712813
413,0.712813
414,0.712813
415,0.712813
416,0.712813
417,0.712813
418,0.712813
419,0.712813
420,0.712813
421,0.712813
422,0.712813
423,0.712813
424,0.712813
425,0.712813
426,0.712813
427,0.712813
428,0.712813
429,0.712813
430,0.712813
431,0.712813
432,0.712813
433,0.74631
434,0.74631
435,0.74631
436,0.74631
437,0.74631
438,0.74631
439,0.74631
440,0.74631
441,0.74631
442,0.74631
443,0.74631
444,0.74631
445,0.74631
446,0.74631
447,0.74631
448,0.74631
449,0.74631
450,0.74631
451,0.74631
452,0.74631
453,0.74631
454,0.74631
455,0.74631
456,0.759193
457,0.759193
458,0.759193
459,0.759193
460,0.759193
461,0.759193
462,0.759193
463,0.759193
464,0.759193
465,0.759193
466,0.767316
467,0.767578
468,0.767578
469,0.792951
470,0.792951
471,0.808717
472,0.808717
473,0.808717
474,0.808717
475,0.808717
476,0.808717
477,0.808717
478,0.808717
479,0.808717
480,0.808717
481,0.808717
482,0.808717
483,0.808717
484,0.808717
485,0.808717
486,0.808717
487,0.808717
488,0.808717
489,0.808717
490,0.808717
491,0.808717
492,0.808717
493,0.808717
494,0.810114
495,0.810114
496,0.810114
497,0.820596
498,0.823303
499,0.823303
500,0.823303
501,0.823303
502,0.823303
503,0.823303
504,0.823303
505,0.823303
506,0.823303
507,0.823303
508,0.823303
509,0.823303
510,0.823303
511,0.823303
512,0.823303
513,0.823303
514,0.823303
515,0.823303
516,0.823303
517,0.823303
518,0.823303
519,0.823303
520,0.823303
521,0.823303
522,0.823303
523,0.823303
524,0.823303
525,0.823303
526,0.823303
527,0.823303
528,0.823303
529,0.823303
530,0.823303
531,0.823303
532,0.823303
533,0.823303
534,0.823303
535,0.823303
536,0.823303
537,0.823303
538,0.823303
539,0.823303
540,0.823303
541,0.823303
542,0.823303
543,0.823303
544,0.823303
545,0.823303
546,0.823303
547,0.823303
548,0.823303
549,0.823303
550,0.823303
551,0.823303
552,0.823303
553,0.823303
554,0.823303
555,0.823303
556,0.823303
557,0.823303
558,0.823303
559,0.823303
560,0.823303
561,0.823303
562,0.823303
563,0.823303
564,0.823303
565,0.823303
566,0.823303
567,0.823303
568,0.823303
569,0.823303
570,0.823303
571,0.823303
572,0.823303
573,0.823303
574,0.823303
575,0.823303
576,0.823303
577,0.823303
578,0.823303
579,0.823303
580,0.823303
581,0.823303
582,0.823303
583,0.823303
584,0.823303
585,0.823303
586,0.823303
587,0.823303
588,0.823303
589,0.823303
590,0.823303
591,0.823303
592,0.823303
593,0.823303
594,0.823303
595,0.823303
596,0.823303
597,0.823303
598,0.823303
599,0.823303
600,0.823303
601,0.823303
602,0.823303
603,0.823303
604,0.823303
605,0.823303
606,0.823303
607,0.823303
608,0.823303
609,0.823303
610,0.823303
611,0.823303
612,0.823303
613,0.823303
614,0.823303
615,0.823303
616,0.823303
617,0.823303
618,0.823303
619,0.823303
620,0.823303
621,0.823303
622,0.823303
623,0.823303
624,0.823303
625,0.823303
626,0.823303
627,0.823303
628,0.823303
629,0.823303
630,0.823303
631,0.823303
632,0.823303
633,0.823303
634,0.823303
635,0.823303
636,0.823303
637,0.823303
638,0.823303
639,0.823303
640,0.823303
641,0.823303
642,0.823303
643,0.823303
