#step,index
0,1.52524
1,1.52524
2,1.51888
3,1.44069
4,1.39542
5,1.36547
6,1.36547
7,1.36547
8,1.31579
9,1.31579
10,1.31579
11,1.31579
12,1.23414
13,1.1934
14,1.19054
15,1.18164
16,1.18164
17,1.17493
18,1.17493
19,1.16581
20,1.16581
21,1.16581
22,1.16581
23,1.16581
24,1.16581
25,1.16581
26,1.16581
27,1.16581
28,1.16581
29,1.16581
30,1.16581
31,1.16581
32,1.16581
33,1.16581
34,1.16581
35,1.16581
36,1.16581
37,1.16581
38,1.16581
39,1.16581
40,1.16581
41,1.16581
42,1.16581
43,1.16581
44,1.16581
45,1.16581
46,1.16581
47,1.16581
48,1.16581
49,1.16581
50,1.16581
51,1.16581
52,1.16581
53,1.16581
54,1.16581
55,1.16581
56,1.16581
57,1.16581
58,1.16581
59,1.16581
60,1.16581
61,1.16581
62,1.16581
63,1.16581
64,1.16581
65,1.16581
66,1.16581
67,1.16581
68,1.16581
69,1.16581
70,1.16581
71,1.16581
72,1.16581
73,1.16581
74,1.16581
75,1.16581
76,1.16581
77,1.16581
78,1.16581
79,1.16581
80,1.16581
81,1.16581
82,1.16581
83,1.16581
84,1.16581
85,1.16581
86,1.16581
87,1.16581
88,1.16581
89,1.16581
90,1.16581
91,1.16581
92,1.16581
93,1.16581
94,1.16581
95,1.16581
96,1.16581
97,1.16581
98,1.16581
99,1.16581
100,1.16581
101,1.16581
102,1.16581
103,1.16581
104,1.16581
105,1.16581
106,1.16581
107,1.16581
108,1.16581
109,1.16581
110,1.16581
111,1.16581
112,1.16581
113,1.16581
114,1.16581
115,1.16581
116,1.16581
117,1.16581
118,1.16581
119,1.16581
120,1.16581
121,1.16581
122,1.16581
123,1.16581
124,1.16581
125,1.16581
126,1.16581
127,1.16581
128,1.16581
129,1.16581
130,1.16581
131,1.16581
132,1.16581
133,1.16581
134,1.16581
135,1.16581
136,1.16581
137,1.16581
138,1.16581
139,1.16581
140,1.11949
141,1.07722
142,1.07722
143,1.07722
144,1.07722
145,1.07722
146,1.07722
147,1.07722
148,1.07722
149,1.07722
150,1.07722
151,1.07722
152,1.07722
153,1.07722
154,1.07722
155,1.07722
156,1.07722
157,1.07722
158,1.07722
159,1.07722
160,1.07722
161,1.07722
162,1.07722
163,1.07722
164,1.07722
165,1.07722
166,1.07722
167,1.07722
168,1.07722
169,1.07722
170,1.07722
171,1.07722
172,1.07722
173,1.07722
174,1.07722
175,1.07722
176,1.07722
177,1.07722
178,1.07722
179,1.07722
180,1.07722
181,1.07722
182,1.07722
183,1.07722
184,1.07722
185,1.07722
186,1.07722
187,1.07722
188,1.07722
189,1.07722
190,1.07722
191,1.07722
192,1.07722
193,1.07722
194,1.07722
195,1.07722
196,1.07722
197,1.07722
198,1.07722
199,1.07722
200,1.07722
201,1.07722
202,1.07722
203,1.07722
204,1.07722
205,1.07722
206,1.07722
207,1.07722
208,1.07722
209,1.07722
210,1.07722
211,1.07722
212,1.07722
213,1.07722
214,1.07722
215,1.07722
216,1.07722
217,1.07722
218,1.07722
219,1.07722
220,1.07722
221,1.07722
222,1.07722
223,1.07722
224,1.07722
225,1.07722
226,1.07722
227,1.07722
228,1.07722
229,1.07722
230,1.07722
231,1.07722
232,1.07722
233,1.07722
234,1.07722
235,1.07722
236,1.07722
237,1.07722
238,1.07722
239,1.07722
240,1.07722
241,1.07722
242,1.07722
243,1.07722
244,1.07722
245,1.07722
246,1.07722
247,1.07722
248,1.07722
249,1.07722
250,1.07722
251,1.07722
252,1.07722
253,1.07722
254,1.07722
255,1.07722
256,1.07722
257,1.07722
258,1.07722
259,1.07722
260,1.07722
261,1.07722
262,1.07722
263,1.07722
264,1.07722
265,1.07722
266,1.07722
267,1.07722
268,1.07722
269,1.07722
270,1.07722
271,1.07722
272,1.07722
273,1.07722
274,1.07722
275,1.07722
276,1.07722
277,1.07722
278,1.07722
279,1.07722
280,1.07722
281,1.07722
282,1.07722
283,1.07722
284,1.07722
285,1.07722
286,1.07722
287,1.07722
288,1.07722
289,1.07722
290,1.07722
291,1.07722
292,1.07722
293,1.07722
294,1.07722
295,1.07722
296,1.07722
297,1.07722
298,1.07722
299,1.07722
300,1.07722
301,1.07722
302,1.07722
303,1.07722
304,1.07722
305,1.07722
306,1.07722
307,1.07722
308,1.07722
309,1.07722
310,1.07722
311,1.07722
312,1.07722
313,1.07722
314,1.07722
315,1.07722
316,1.07722
317,1.07722
318,1.07722
319,1.07722
320,1.07722
321,1.07722
322,1.07722
323,1.07722
324,1.07722
325,1.07722
326,1.07722
327,1.07722
328,1.07722
329,1.07722
330,1.07722
331,1.07722
332,1.07722
333,1.07722
334,1.07722
335,1.07722
336,1.07722
337,1.07722
338,1.07722
339,1.07722
340,1.07722
341,1.07722
342,1.07722
343,1.07722
344,1.07722
345,1.07722
346,1.07722
347,1.07722
348,1.07722
349,1.07722
350,1.07722
351,1.07722
352,1.07722
353,1.07722
354,1.07722
355,1.07722
356,1.07722
357,1.07722
358,1.07722
359,1.07722
360,1.07722
361,1.07722
362,1.07722
363,1.07722
364,1.07722
365,1.07722
366,1.07722
367,1.07722
368,1.07722
369,1.07722
370,1.07722
371,1.07722
372,1.07722
373,1.07722
374,1.07722
375,1.07722
376,1.07722
377,1.07722
378,1.07722
379,1.07722
380,1.07722
381,1.07722
382,1.07722
383,1.07722
384,1.07722
385,1.07722
386,1.07722
387,1.07722
388,1.07722
389,1.07722
390,1.07722
391,1.07722
392,1.07722
393,1.07722
394,1.07722
395,1.07722
396,1.07722
397,1.07722
398,1.07722
399,1.07722
400,1.07722
401,1.07722
402,1.07722
403,1.07722
404,1.07722
405,1.07722
406,1.07722
407,1.07722
408,1.07722
409,1.07722
410,1.07722
411,1.07722
412,1.07722
413,1.07722
414,1.07722
415,1.07722
416,1.07722
417,1.07722
418,1.07722
419,1.07722
420,1.07722
421,1.07722
422,1.07722
423,1.07722
424,1.07722
425,1.07722
426,1.07722
427,1.07722
428,1.07722
429,1.07722
430,1.07722
431,1.07722
432,1.07722
433,1.07722
434,1.07722
435,1.07722
436,1.07722
437,1.07722
438,1.07722
439,1.07722
440,1.07722
441,1.07722
442,1.07722
443,1.0766
444,1.0766
445,1.07556
446,1.07456
447,1.07456
448,1.07456
449,1.06805
450,1.0648
451,1.0648
452,1.05654
453,1.0522
454,1.04149
455,1.04149
456,1.03648
457,1.0174
458,1.01356
459,1.01356
460,1.01164
461,1.00704
462,1.00704
463,1.00083
464,0.993706
465,0.98027
466,0.974378
467,0.967078
468,0.967078
469,0.963089
470,0.959945
471,0.959945
472,0.959945
473,0.950818
474,0.947211
475,0.944058
476,0.944058
477,0.941404
478,0.939479
479,0.938719
480,0.936215
481,0.936215
482,0.935236
483,0.935236
484,0.935236
485,0.935236
486,0.935236
487,0.935236
488,0.935236
489,0.935236
490,0.935236
491,0.93441
