#step,index
0,0.152988
1,0.123454
2,0.190859
3,0.222016
4,0.198177
5,0.198177
6,0.198177
7,0.198177
8,0.198177
9,0.198177
10,0.198177
11,0.198177
12,0.198177
13,0.198177
14,0.198177
15,0.198177
16,0.198177
17,0.198177
18,0.198177
19,0.198177
20,0.198177
21,0.198177
22,0.198177
23,0.198177
24,0.198177
25,0.198177
26,0.198177
27,0.198177
28,0.198177
29,0.198177
30,0.198177
31,0.198177
32,0.198177
33,0.198177
34,0.145163
35,0.207609
36,0.207609
37,0.207609
38,0.207609
39,0.207609
40,0.207609
41,0.207609
42,0.207609
43,0.207609
44,0.207609
45,0.207609
46,0.207609
47,0.207609
48,0.207609
49,0.207609
50,0.207609
51,0.207609
52,0.207609
53,0.207609
54,0.207609
55,0.207609
56,0.207609
57,0.207609
58,0.207609
59,0.207609
60,0.207609
61,0.207609
62,0.207609
63,0.207609
64,0.207609
65,0.207609
66,0.207609
67,0.207609
68,0.207609
69,0.207609
70,0.207609
71,0.207609
72,0.207609
73,0.207609
74,0.207609
75,0.207609
76,0.207609
77,0.207609
78,0.207609
79,0.207609
80,0.207609
81,0.207609
82,0.207609
83,0.207609
84,0.207609
85,0.207609
86,0.207609
87,0.207609
88,0.207609
89,0.207609
90,0.207609
91,0.207609
92,0.207609
93,0.207609
94,0.207609
95,0.207609
96,0.207609
97,0.207609
98,0.207609
99,0.207609
100,0.207609
101,0.207609
102,0.207609
103,0.207609
104,0.207609
105,0.207609
106,0.207609
107,0.207609
108,0.207609
109,0.207609
110,0.207609
111,0.207609
112,0.207609
113,0.207609
114,0.207609
115,0.207609
116,0.207609
117,0.207609
118,0.207609
119,0.207609
120,0.207609
121,0.207609
122,0.207609
123,0.207609
124,0.207609
125,0.207609
126,0.207609
127,0.207609
128,0.207609
129,0.207609
130,0.207609
131,0.207609
132,0.207609
133,0.207609
134,0.207609
135,0.207609
136,0.207609
137,0.207609
138,0.207609
139,0.207609
140,0.207609
141,0.207609
142,0.207609
143,0.207609
