#step,index
0,0.681077
1,0.684885
2,0.684885
3,0.684885
4,0.684885
5,0.684885
6,0.684885
7,0.684885
8,0.684885
9,0.684885
10,0.684885
11,0.684885
12,0.684885
13,0.668571
14,0.673713
15,0.673713
16,0.673713
17,0.673713
18,0.673713
19,0.680442
20,0.680442
21,0.680442
22,0.680442
23,0.680442
24,0.680442
25,0.680442
26,0.680442
27,0.680442
28,0.680442
29,0.680442
30,0.680442
31,0.680442
32,0.680442
33,0.680442
34,0.680442
35,0.680442
36,0.680442
37,0.680442
38,0.680442
39,0.680442
40,0.680442
41,0.680442
42,0.680442
43,0.680442
44,0.680442
45,0.680442
46,0.680442
47,0.680442
48,0.680442
49,0.680442
50,0.680442
51,0.680442
52,0.680442
53,0.680442
54,0.680442
55,0.680442
56,0.680442
57,0.680442
58,0.680442
59,0.680442
60,0.680442
61,0.680442
62,0.680442
63,0.680442
64,0.680442
65,0.680442
66,0.680442
67,0.680442
68,0.680442
69,0.680442
70,0.680442
71,0.680442
72,0.680442
73,0.680442
74,0.680442
75,0.680442
76,0.680442
77,0.680442
78,0.680442
79,0.680442
80,0.680442
81,0.680442
82,0.680442
83,0.680442
84,0.680442
85,0.680442
86,0.680442
87,0.680442
88,0.680442
89,0.680442
90,0.680442
91,0.680442
92,0.680442
93,0.680442
94,0.680442
95,0.680442
96,0.680442
97,0.680442
98,0.680442
99,0.680442
100,0.680442
101,0.680442
102,0.680442
103,0.680442
104,0.680442
105,0.680442
106,0.680442
107,0.680442
108,0.680442
109,0.680442
110,0.680442
111,0.680442
112,0.680442
113,0.680442
114,0.680442
115,0.680442
116,0.680442
117,0.680442
118,0.680442
119,0.680442
120,0.680442
121,0.680442
122,0.680442
123,0.680442
124,0.680442
125,0.680442
126,0.680442
127,0.680442
128,0.680442
129,0.680442
130,0.680442
131,0.680442
132,0.680442
133,0.680442
134,0.680442
135,0.680442
136,0.680442
137,0.680442
138,0.680442
139,0.680442
140,0.680442
141,0.680442
142,0.680442
143,0.680442
144,0.680442
145,0.680442
146,0.680442
147,0.680442
148,0.680442
149,0.680442
150,0.680442
151,0.680442
152,0.680442
153,0.680442
154,0.680442
155,0.680442
156,0.680442
157,0.680442
158,0.680442
159,0.680442
160,0.680442
161,0.680442
162,0.680442
163,0.680442
164,0.680442
165,0.680442
166,0.680442
167,0.680442
168,0.680442
169,0.680442
170,0.680442
171,0.680442
172,0.680442
173,0.680442
174,0.680442
175,0.680442
176,0.680442
177,0.680442
178,0.680442
179,0.680442
180,0.680442
181,0.680442
182,0.680442
183,0.680442
184,0.680442
185,0.680442
186,0.680442
187,0.680442
188,0.680442
189,0.680442
190,0.680442
191,0.680442
192,0.680442
193,0.680442
194,0.680442
195,0.680442
196,0.680442
197,0.680442
198,0.680442
199,0.680442
200,0.680442
201,0.680442
202,0.680442
203,0.680442
204,0.680442
205,0.680442
206,0.680442
207,0.680442
208,0.680442
209,0.680442
210,0.87012
211,0.87012
212,0.87012
213,0.87012
214,0.87012
215,0.87012
216,0.87012
217,0.87012
218,0.87012
219,0.87012
220,0.87012
221,0.87012
222,0.87012
223,0.87012
224,0.87012
225,0.87012
226,0.87012
227,0.87012
228,0.87012
229,0.87012
230,0.87012
231,0.87012
232,0.87012
233,0.87012
234,0.87012
235,0.87012
236,0.87012
237,0.87012
238,0.87012
239,0.87012
240,0.87012
241,0.87012
242,0.87012
243,0.87012
244,0.87012
245,0.87012
246,0.87012
247,0.87012
248,0.87012
249,0.87012
250,0.87012
251,0.87012
252,0.87012
253,0.87012
254,0.87012
255,0.87012
256,0.87012
257,0.87012
258,0.87012
259,0.87012
260,0.87012
261,0.87012
262,0.87012
263,0.87012
264,0.87012
265,0.87012
266,0.87012
267,0.87012
268,0.87012
269,0.87012
270,0.87012
271,0.87012
272,0.87012
273,0.87012
274,0.87012
275,0.87012
276,0.87012
277,0.87012
278,0.87012
279,0.87012
280,0.87012
281,0.87012
282,0.87012
283,0.87012
284,0.87012
285,0.87012
286,0.87012
287,0.87012
288,0.87012
289,0.87012
290,0.87012
291,0.87012
292,0.87012
293,0.87012
294,0.87012
295,0.87012
296,0.87012
297,0.87012
298,0.87012
299,0.87012
300,0.87012
301,0.87012
302,0.87012
303,0.87012
304,0.87012
305,0.87012
306,0.87012
307,0.87012
308,0.87012
309,0.87012
310,0.87012
311,0.87012
312,0.87012
313,0.87012
314,0.87012
315,0.87012
316,0.87012
317,0.87012
318,0.87012
319,0.87012
320,0.87012
321,0.87012
322,0.87012
323,0.87012
324,0.87012
325,0.87012
326,0.87012
327,0.87012
328,0.87012
329,0.87012
330,0.87012
331,0.87012
332,0.87012
333,0.87012
334,0.87012
335,0.87012
336,0.87012
337,0.87012
338,0.87012
339,0.87012
340,0.87012
341,0.87012
342,0.87012
343,0.87012
344,0.87012
345,0.87012
346,0.87012
347,0.87012
348,0.87012
349,0.87012
350,0.87012
351,0.87012
352,0.87012
353,0.87012
354,0.87012
355,0.87012
356,0.87012
357,0.87012
358,0.87012
359,0.87012
360,0.87012
361,0.87012
362,0.87012
363,0.87012
364,0.87012
365,0.87012
366,0.87012
367,0.87012
368,0.87012
369,0.87012
370,0.87012
371,0.87012
372,0.87012
373,0.87012
374,0.87012
375,0.87012
376,0.87012
377,0.87012
378,0.87012
379,0.87012
380,0.87012
381,0.87012
382,0.87012
383,0.87012
384,0.87012
385,0.87012
386,0.87012
387,0.87012
388,0.87012
389,0.87012
390,0.87012
391,0.87012
392,0.87012
393,0.87012
394,0.87012
395,0.87012
396,0.87012
397,0.87012
398,0.87012
399,0.87012
400,0.87012
401,0.87012
402,0.87012
403,0.87012
404,0.87012
405,0.87012
406,0.87012
407,0.87012
408,0.87012
409,0.87012
410,0.87012
411,0.87012
412,0.87012
413,0.87012
414,0.87012
415,0.87012
416,0.87012
417,0.87012
418,0.87012
419,0.87012
420,0.87012
421,0.87012
422,0.87012
423,0.87012
424,0.87012
425,0.87012
426,0.87012
427,0.87012
428,0.87012
429,0.87012
430,0.87012
431,0.87012
432,0.87012
433,0.87012
434,0.87012
435,0.87012
436,0.87012
437,0.87012
438,0.87012
439,0.87012
440,0.87012
441,0.719101
442,0.719101
443,0.719101
444,0.719101
445,0.719101
446,0.719101
447,0.719101
448,0.722339
449,0.722339
450,0.722339
451,0.722339
452,0.722339
453,0.722339
454,0.722339
455,0.722339
456,0.722339
457,0.722339
458,0.722339
459,0.722339
460,0.722339
461,0.722339
462,0.722339
463,0.722339
464,0.722339
465,0.722339
466,0.722339
467,0.722339
468,0.722339
469,0.722339
470,0.722339
471,0.722339
472,0.722339
473,0.722339
474,0.722846
475,0.722846
476,0.726401
477,0.726401
478,0.726401
479,0.726401
480,0.726401
481,0.726401
482,0.726401
483,0.726401
484,0.726401
485,0.726401
486,0.726401
487,0.726401
488,0.726401
489,0.726401
490,0.726401
491,0.726401
492,0.726401
493,0.726401
494,0.726401
495,0.726401
496,0.726401
497,0.726401
498,0.726401
499,0.726401
500,0.726401
501,0.726401
502,0.726401
503,0.726401
504,0.726401
505,0.726401
506,0.726401
507,0.726401
508,0.726401
509,0.726401
510,0.726401
511,0.726401
512,0.726401
513,0.726401
514,0.726401
515,0.90497
516,0.91792
517,0.910874
518,0.910874
519,0.910874
520,0.910874
521,0.910874
522,0.897416
523,0.897162
524,0.897162
525,0.897162
526,0.897162
527,0.897162
528,0.904272
529,0.904272
530,0.904272
531,0.904272
532,0.904272
533,0.904272
534,0.912652
535,0.912652
536,0.912652
537,0.934743
538,0.934743
539,0.934743
540,0.934743
541,0.934743
542,0.934743
543,0.934743
544,0.934743
545,0.934743
546,0.934743
547,0.934743
548,0.934743
549,0.934743
550,0.935822
551,0.942487
552,0.950232
553,0.950232
554,0.950232
555,0.950232
556,0.950232
557,0.950232
558,0.950232
559,0.950232
560,0.950232
561,0.950232
562,0.950232
563,0.950232
564,0.950232
565,0.950232
566,0.950232
567,0.935949
568,0.935949
569,0.935949
570,0.935949
571,0.935949
572,0.935949
573,0.935949
574,0.935949
575,0.935949
576,0.935949
577,0.935949
578,0.935949
579,0.935949
580,0.935949
581,0.935949
582,0.935949
583,0.935949
584,0.935949
585,0.935949
586,0.935949
587,0.935949
588,0.935949
589,0.935949
590,0.935949
591,0.935949
592,0.935949
593,0.935949
594,0.935949
595,0.935949
596,0.935949
597,0.935949
598,0.935949
599,0.935949
600,0.935949
601,0.935949
602,0.935949
603,0.935949
604,0.935949
605,0.935949
606,0.935949
607,0.935949
608,0.935949
609,0.935949
610,0.935949
611,0.935949
612,0.935949
613,0.935949
614,0.935949
615,0.935949
616,0.935949
617,0.935949
618,0.935949
619,0.935949
620,0.935949
621,0.935949
622,0.935949
623,0.935949
624,0.935949
625,0.935949
626,0.935949
627,0.935949
628,0.935949
629,0.935949
630,0.935949
631,0.935949
632,0.935949
633,0.935949
634,0.935949
