#step,index
0,59.8218
1,59.8218
2,59.8218
3,59.8218
4,59.8218
5,59.8218
6,59.8218
7,59.8218
8,59.8218
9,59.8218
10,59.8218
11,59.8218
12,59.8218
13,59.8218
14,59.8218
15,59.8218
16,59.8218
17,59.8218
18,59.8218
19,59.8218
20,59.8218
21,59.8218
22,59.8218
23,59.8218
24,59.8218
25,59.8218
26,59.8218
27,59.8218
28,59.8218
29,59.8218
30,59.8218
31,59.8218
32,59.8218
33,59.8218
34,59.8218
35,59.8218
36,59.8218
37,59.8218
38,59.8218
39,59.8218
40,59.8218
41,59.8218
42,59.8218
43,59.8218
44,59.8218
45,59.8218
46,59.8218
47,59.8218
48,59.8218
49,59.8218
50,59.8218
51,59.8218
52,59.8218
53,59.8218
54,59.8218
55,59.8218
56,59.8218
57,59.8218
58,59.8218
59,59.8218
60,59.8218
61,59.8218
62,59.8218
63,59.8218
64,59.8218
65,59.8218
66,59.8218
67,59.8218
68,59.8218
69,59.8218
70,59.8218
71,59.8218
72,59.8218
73,59.8218
74,59.8218
75,59.8218
76,59.8218
77,59.8218
78,59.8218
79,59.8218
80,59.8218
81,59.8218
82,59.8218
83,59.8218
84,59.8218
85,59.8218
86,59.8218
87,59.8218
88,59.8218
89,59.8218
90,59.8218
91,59.8218
92,59.8218
93,59.8218
94,59.8218
95,59.8218
96,59.8218
97,59.8218
98,59.8218
99,59.8218
100,59.8218
101,59.8218
102,59.8218
103,59.8218
104,59.8218
105,59.8218
106,59.8218
107,59.8218
108,59.8218
109,59.8218
110,65.2357
111,65.2357
112,65.2357
113,65.2357
114,65.2357
115,65.2357
116,65.2357
117,65.2357
118,65.2357
119,65.2357
120,65.2357
121,65.2357
122,65.2357
123,65.2357
124,65.2357
125,65.2357
126,65.2357
127,65.2357
128,65.2357
129,65.2357
130,65.2357
131,65.2357
132,65.2357
133,65.2357
134,62.2568
135,62.2568
136,62.2568
137,62.2568
138,62.2568
139,62.2568
140,62.2568
141,62.2568
142,62.2568
143,62.2568
144,62.2568
145,62.2568
146,62.2568
147,62.2568
148,62.2568
149,62.2568
150,62.2568
151,62.2568
152,62.2568
153,62.2568
154,62.2568
155,62.2568
156,62.2568
157,62.2568
158,62.2568
159,62.2568
160,62.2568
161,62.2568
162,62.2568
163,62.2568
164,62.2568
165,62.2568
166,62.2568
167,62.2568
168,62.2568
169,62.2568
170,62.2568
171,62.2568
172,62.2568
173,62.2568
174,62.2568
175,62.2568
176,62.2568
177,62.2568
178,62.2568
179,62.2568
180,62.2568
181,62.2568
182,62.2568
183,62.2568
184,62.2568
185,62.2568
186,62.2568
187,62.2568
188,62.2568
189,62.2568
190,62.2568
191,62.2568
192,62.2568
193,62.2568
194,62.2568
195,62.2568
196,62.2568
197,62.2568
198,62.2568
199,62.2568
200,62.2568
201,62.2568
202,62.2568
203,62.2568
204,62.2568
205,62.2568
206,62.2568
207,62.2568
208,62.2568
209,62.2568
210,62.2568
211,62.2568
212,62.2568
213,62.2568
214,62.2568
215,62.2568
216,62.2568
217,62.2568
218,62.2568
219,62.2568
220,62.2568
221,62.2568
222,62.2568
223,61.8269
224,61.8269
225,61.8269
226,61.8269
227,61.8269
228,61.8269
229,61.8269
230,61.8269
231,61.8269
232,61.8269
233,61.8269
234,61.8269
235,61.8269
236,61.8269
237,61.8269
238,61.8269
239,61.8269
240,61.8269
241,61.8269
242,61.8269
243,61.8269
244,61.8269
245,61.8269
246,61.8269
247,61.8269
248,61.8269
249,61.8269
250,61.8269
251,61.8269
252,61.8269
253,61.8269
254,58.54
255,58.54
256,58.54
257,58.54
258,58.54
259,58.54
260,58.54
261,58.54
262,58.54
263,58.54
264,58.54
265,58.54
266,58.54
267,58.54
268,58.54
269,58.54
270,58.54
271,58.54
272,58.54
273,58.54
274,58.54
275,58.54
276,58.54
277,58.54
278,58.54
279,58.54
280,58.54
281,58.54
282,58.54
283,58.54
284,58.54
285,58.54
286,58.54
287,58.54
288,58.54
289,58.54
290,58.54
291,58.54
292,58.54
293,58.54
294,58.54
295,58.54
296,58.54
297,58.54
298,58.54
299,58.54
300,58.54
301,58.54
302,58.54
303,58.54
304,58.54
305,58.54
306,58.54
307,58.54
308,58.54
309,58.54
310,58.54
311,58.54
312,58.54
313,58.54
314,58.54
315,58.54
316,58.54
317,58.54
318,58.54
319,58.54
320,58.54
321,58.54
322,55.5084
323,55.5084
324,55.5084
325,55.5084
326,55.5084
327,55.5084
328,55.5084
329,55.5084
330,55.5084
331,55.5084
332,55.5084
333,55.5084
334,55.5084
335,55.5084
336,55.5084
337,55.5084
338,55.5084
339,55.5084
340,55.5084
341,55.5084
342,55.5084
343,55.5084
344,55.5084
345,55.5084
346,55.5084
347,55.5084
