#step,index
0,116.452
1,125.693
2,125.693
3,125.938
4,125.938
5,125.938
6,125.938
7,125.938
8,125.938
9,125.938
10,125.938
11,125.938
12,125.938
13,125.938
14,125.938
15,125.938
16,125.938
17,125.938
18,125.938
19,125.938
20,125.938
21,125.938
22,125.938
23,125.938
24,125.938
25,125.938
26,125.938
27,125.938
28,125.938
29,125.938
30,125.938
31,125.938
32,125.938
33,125.938
34,125.938
35,125.938
36,125.938
37,125.938
38,125.938
39,125.938
40,125.938
41,125.938
42,125.938
43,125.938
44,125.938
45,125.938
46,125.938
47,125.938
48,125.938
49,125.938
50,125.938
51,125.938
52,125.938
53,125.938
54,125.938
55,125.938
56,125.938
57,125.938
58,125.938
59,125.938
60,125.938
61,125.938
62,125.938
63,125.938
64,125.938
65,125.938
66,125.938
67,125.938
68,125.938
69,125.938
70,125.938
71,125.938
72,125.938
73,125.938
74,125.938
75,125.938
76,125.938
77,125.938
78,125.938
79,125.938
80,125.938
81,125.938
82,125.938
83,125.938
84,125.938
85,125.938
86,125.938
87,125.938
88,125.938
89,125.938
90,125.938
91,125.938
92,125.938
93,125.938
94,125.938
95,125.938
96,125.938
97,125.938
98,125.938
99,125.938
100,125.938
101,125.938
102,125.938
103,125.938
104,125.938
105,125.938
106,125.938
107,125.938
108,125.938
109,125.938
110,125.938
111,125.938
112,125.938
113,125.938
114,125.938
115,125.938
116,125.938
117,125.938
118,125.938
119,125.938
120,125.938
121,125.938
122,125.938
123,125.938
124,125.938
125,125.938
126,125.938
127,125.938
128,125.938
129,125.938
130,125.938
131,125.938
132,125.938
133,125.938
134,125.938
135,125.938
136,125.938
137,125.938
138,125.938
139,125.938
140,125.938
141,125.938
142,125.938
143,125.938
144,125.938
145,125.938
146,125.938
147,125.938
148,125.938
149,125.938
150,125.938
151,125.938
152,125.938
153,125.938
154,125.938
155,125.938
156,125.938
157,125.938
158,125.938
159,125.938
160,125.938
161,125.938
162,125.938
163,125.938
164,125.938
165,125.938
166,125.938
167,125.938
168,125.938
169,125.938
170,125.938
171,125.938
172,125.938
173,125.938
174,125.938
175,125.938
176,125.938
177,125.938
178,125.938
179,125.938
180,125.938
181,125.938
182,125.938
183,125.938
184,125.938
185,125.938
186,125.938
187,125.938
188,125.938
189,125.938
190,125.938
191,125.938
192,125.938
193,125.938
194,125.938
195,125.938
196,125.938
197,125.938
198,125.938
199,125.938
200,125.938
201,125.938
202,125.938
203,125.938
204,125.938
205,125.938
206,125.938
207,125.938
208,125.938
209,125.938
210,125.938
211,125.938
212,125.938
213,125.938
214,125.938
215,125.938
216,125.938
217,125.938
218,125.938
219,125.938
220,125.938
221,125.938
222,125.938
223,125.938
224,125.938
225,125.938
226,125.938
227,125.938
228,125.938
229,125.938
230,125.938
231,125.938
232,125.938
233,125.938
234,125.938
235,125.938
236,125.938
237,125.938
238,125.938
239,125.938
240,125.938
241,125.938
242,125.938
243,125.938
244,125.938
245,125.938
246,125.938
247,125.938
248,125.938
249,125.938
250,125.938
251,125.938
252,125.938
253,125.938
254,125.938
255,125.938
256,125.938
257,125.938
258,125.938
259,125.938
260,125.938
261,125.938
262,125.938
263,125.938
264,125.938
265,125.938
266,125.938
267,125.938
268,125.938
269,125.938
270,125.938
271,125.938
272,125.938
273,125.938
274,125.938
275,125.938
276,125.938
277,125.938
278,125.938
279,125.938
280,125.938
281,125.938
282,125.938
283,125.938
284,125.938
285,125.938
286,125.938
287,125.938
288,125.938
289,125.938
290,125.938
291,125.938
292,125.938
293,125.938
294,125.938
295,125.938
296,125.938
297,125.938
298,125.938
299,125.938
300,125.938
301,125.938
302,125.938
303,125.938
304,125.938
305,125.938
306,125.938
307,125.938
308,125.938
309,125.938
310,125.938
311,125.938
312,125.938
313,125.938
314,125.938
315,125.938
316,125.938
317,125.938
318,125.938
319,125.938
320,125.938
321,125.938
322,125.938
323,125.938
324,125.938
325,125.938
326,125.938
327,125.938
328,125.938
329,125.938
330,125.938
331,125.938
332,125.938
333,125.938
334,125.938
335,125.938
336,125.938
337,125.938
338,125.938
339,125.938
340,125.938
341,125.938
342,125.938
343,125.938
344,125.938
345,125.938
346,125.938
347,125.938
348,125.938
349,125.938
350,125.938
351,125.938
352,125.938
353,125.938
354,125.938
355,125.938
356,125.938
357,125.938
358,125.938
359,125.938
360,125.938
361,125.938
362,125.938
363,125.938
364,125.938
365,125.938
366,125.938
367,125.938
368,125.938
369,125.938
370,125.938
371,125.938
372,125.938
373,125.938
374,125.938
375,125.938
376,125.938
377,125.938
378,125.938
379,125.938
380,125.938
381,125.938
382,125.938
383,125.938
384,125.938
385,125.938
386,125.938
387,125.938
388,125.938
389,125.938
390,125.938
391,125.938
392,125.938
393,125.938
394,125.938
395,125.938
396,125.938
397,125.938
398,125.938
399,125.938
400,125.938
401,125.938
402,125.938
403,125.938
404,125.938
405,125.938
406,125.938
407,125.938
408,125.938
409,125.938
410,125.938
411,125.938
412,125.938
413,125.938
414,125.938
415,125.938
416,125.938
417,125.938
418,125.938
419,125.938
420,125.938
421,125.938
422,125.938
423,125.938
424,125.938
425,125.938
426,125.938
427,125.938
428,125.938
429,125.938
430,125.938
431,125.938
432,125.938
433,125.938
434,125.938
435,125.938
436,125.938
437,125.938
438,125.938
439,125.938
440,125.938
441,125.938
442,125.938
443,125.938
444,125.938
445,125.938
446,125.938
447,125.938
448,125.938
449,125.938
450,125.938
451,125.938
452,125.938
453,125.938
454,125.938
455,125.938
456,125.938
457,125.938
458,125.938
459,125.938
460,125.938
461,125.938
462,125.938
463,125.938
464,125.938
465,125.938
466,125.938
467,125.938
468,125.938
469,125.938
470,125.938
471,125.938
472,125.938
473,125.938
474,125.938
475,125.938
476,125.938
477,125.938
478,125.938
479,125.938
480,125.938
481,125.938
482,125.938
483,125.938
484,125.938
485,125.938
486,125.938
487,125.938
488,125.938
489,125.938
490,125.938
491,125.938
492,125.938
493,125.938
494,125.938
495,125.938
496,125.938
497,125.938
498,125.938
499,125.938
500,125.938
501,125.938
502,125.938
503,125.938
504,125.938
505,125.938
506,125.938
507,125.938
508,125.938
509,125.938
510,125.938
511,125.938
512,125.938
513,125.938
514,125.938
515,125.938
516,125.938
517,125.938
518,125.938
519,125.938
520,125.938
521,125.938
522,125.938
523,125.938
524,125.938
525,125.938
526,125.938
527,125.938
528,125.938
529,125.938
530,125.938
531,125.938
532,125.938
533,125.938
534,125.938
535,125.938
536,125.938
537,125.938
538,125.938
539,125.938
540,125.938
541,125.938
542,125.938
543,125.938
544,125.938
545,125.938
546,125.938
547,125.938
548,125.938
549,125.938
550,125.938
551,125.938
552,125.938
553,125.938
554,125.938
555,125.938
556,125.938
557,125.938
558,125.938
559,125.938
560,125.938
561,125.938
562,125.938
563,125.938
564,125.938
565,125.938
566,125.938
567,125.938
568,125.938
569,125.938
570,125.938
571,125.938
572,125.938
573,125.938
574,125.938
575,125.938
576,125.938
577,125.938
578,125.938
579,125.938
580,125.938
581,125.938
582,125.938
583,125.938
584,125.938
585,125.938
586,125.938
587,125.938
588,125.938
589,125.938
590,125.938
591,125.938
592,125.938
593,125.938
594,125.938
595,125.938
596,125.938
597,125.938
598,125.938
599,125.938
600,125.938
601,125.938
602,125.938
603,125.938
604,125.938
605,125.938
606,125.938
607,125.938
608,125.938
609,125.938
610,125.938
611,125.938
612,125.938
613,125.938
614,125.938
615,125.938
616,125.938
617,125.938
618,125.938
619,125.938
620,125.938
621,125.938
622,125.938
623,125.938
624,125.938
625,125.938
626,125.938
627,125.938
628,125.938
629,125.938
630,125.938
631,125.938
632,125.938
633,125.938
634,125.938
635,125.938
636,125.938
637,125.938
638,125.938
639,125.938
640,125.938
641,125.938
642,125.938
643,125.938
