#step,index
0,2.0558
1,2.0558
2,2.0558
3,2.0558
4,2.0558
5,2.0558
6,2.0558
7,2.0558
8,2.0558
9,2.0558
10,2.0558
11,2.0558
12,2.0558
13,2.0558
14,2.0558
15,2.0558
16,2.0558
17,2.0558
18,2.0558
19,2.0558
20,2.0558
21,2.0558
22,2.0558
23,2.0558
24,2.0558
25,2.0558
26,2.0558
27,2.0558
28,2.0558
29,2.0558
30,2.0558
31,2.0558
32,2.0558
33,2.0558
34,2.0558
35,2.0558
36,2.0558
37,2.0558
38,2.0558
39,2.0558
40,2.0558
41,2.0558
42,2.0558
43,2.0558
44,2.0558
45,2.0558
46,2.0558
47,2.0558
48,2.0558
49,2.0558
50,2.0558
51,2.0558
52,2.0558
53,2.0558
54,2.0558
55,2.0558
56,2.0558
57,2.0558
58,2.0558
59,2.0558
60,2.0558
61,2.0558
62,2.0558
63,2.0558
64,2.0558
65,2.0558
66,2.0558
67,2.0558
68,2.0558
69,2.0558
70,2.0558
71,2.0558
72,2.0558
73,2.0558
74,2.0558
75,2.0558
76,2.0558
77,2.0558
78,2.0558
79,2.0558
80,2.0558
81,2.0558
82,2.0558
83,2.0558
84,2.0558
85,2.0558
86,2.0558
87,2.0558
88,2.0558
89,2.0558
90,2.0558
91,2.0558
92,2.0558
93,2.0558
94,2.0558
95,2.0558
96,2.0558
97,2.0558
98,2.0558
99,2.0558
100,2.0558
101,2.0558
102,2.0558
103,2.0558
104,2.0558
105,2.0558
106,2.0558
107,2.0558
108,2.0558
109,2.0558
110,2.0558
111,2.0558
112,2.0558
113,2.0558
114,2.0558
115,2.0558
116,2.0558
117,2.0558
118,2.0558
119,2.0558
120,2.0558
121,2.0558
122,2.0558
123,2.0558
124,2.0558
125,2.0558
126,2.0558
127,2.0558
128,2.0558
129,2.0558
130,2.0558
131,2.0558
132,2.0558
133,2.0558
134,2.0558
135,2.0558
136,2.0558
137,2.0558
138,2.0558
139,2.0558
140,2.0558
141,2.0558
142,2.0558
143,2.0558
144,2.0558
145,2.0558
146,2.0558
147,2.0558
148,2.0558
149,2.0558
150,2.0558
151,2.0558
152,2.0558
153,2.0558
154,2.0558
155,2.0558
156,2.0558
157,2.0558
158,2.0558
159,2.0558
160,2.0558
161,2.0558
162,2.0558
163,2.0558
164,2.0558
165,2.0558
166,2.0558
167,2.0558
168,2.0558
169,2.0558
170,2.0558
171,2.0558
172,2.0558
173,2.0558
174,2.0558
175,2.0558
176,2.0558
177,2.0558
178,2.0558
179,2.0558
180,2.0558
181,2.0558
182,2.0558
183,2.0558
184,2.0558
185,2.0558
186,2.0558
187,2.0558
188,2.0558
189,2.0558
190,2.0558
191,2.0558
192,2.0558
193,2.0558
194,2.0558
195,2.0558
196,2.0558
197,2.0558
198,2.0558
199,2.0558
200,2.0558
201,2.0558
202,2.0558
203,2.0558
204,2.0558
205,2.0558
206,2.0558
207,2.0558
208,2.0558
209,2.0558
210,2.0558
211,2.0558
212,2.0558
213,2.0558
214,2.0558
215,2.0558
216,2.0558
217,2.0558
218,2.0558
219,2.0558
220,2.0558
221,2.0558
222,2.0558
223,2.0558
224,2.0558
225,2.0558
226,2.0558
227,2.0558
228,2.0558
229,2.0558
230,2.0558
231,2.0558
232,2.0558
233,2.0558
234,2.0558
235,2.0558
236,2.0558
237,2.0558
238,2.0558
239,2.0558
240,2.0558
241,2.0558
242,2.0558
243,2.0558
244,2.0558
245,2.0558
246,2.0558
247,2.0558
248,2.0558
249,2.0558
250,2.0558
251,2.0558
252,2.0558
253,2.0558
254,2.0558
255,2.0558
256,2.0558
257,2.0558
258,2.0558
259,2.0558
260,2.0558
261,2.0558
262,2.0558
263,2.0558
264,2.0558
265,2.0558
266,2.0558
267,2.0558
268,2.0558
269,2.0558
270,2.0558
271,2.0558
272,2.0558
273,2.0558
274,2.0558
275,2.0558
276,2.0558
277,2.0558
278,2.0558
279,2.0558
280,2.0558
281,2.0558
282,2.0558
283,2.0558
284,2.0558
285,2.0558
286,2.0558
287,2.0558
288,2.0558
289,2.0558
290,2.0558
291,2.0558
292,2.0558
293,2.0558
294,2.0558
295,2.0558
296,2.0558
297,2.0558
298,2.0558
299,2.0558
300,2.0558
301,2.0558
302,2.0558
303,2.0558
304,2.0558
305,2.0558
306,2.0558
307,2.0558
308,2.0558
309,2.0558
310,2.0558
311,2.0558
312,2.0558
313,2.0558
314,2.0558
315,2.0558
316,2.0558
317,2.0558
318,2.0558
319,2.0558
320,2.0558
321,2.0558
322,2.0558
323,2.0558
324,2.0558
325,2.0558
326,2.0558
327,2.0558
328,2.0558
329,2.0558
330,2.0558
331,2.0558
332,2.0558
333,2.0558
334,2.0558
335,2.0558
336,2.0558
337,2.0558
338,2.0558
339,2.0558
340,2.0558
341,2.0558
342,2.0558
343,2.0558
344,2.0558
345,2.0558
346,2.0558
347,2.0558
348,2.0558
349,2.0558
350,2.0558
351,2.0558
352,2.0558
353,2.0558
354,2.0558
355,2.0558
356,2.0558
357,2.0558
358,2.0558
359,2.0558
360,2.0558
361,2.0558
362,2.0558
363,2.0558
364,2.0558
365,2.0558
366,2.0558
367,2.0558
368,2.0558
369,2.0558
370,2.0558
371,2.0558
372,2.0558
373,2.0558
374,2.0558
375,2.0558
376,2.0558
377,2.0558
378,2.0558
379,2.0558
380,2.0558
381,2.0558
382,2.0558
383,2.0558
384,2.0558
385,2.0558
386,2.0558
387,2.0558
388,2.0558
389,2.0558
390,2.0558
391,2.0558
392,2.0558
393,2.0558
394,2.0558
395,2.0558
396,2.0558
397,2.0558
398,2.0558
399,2.0558
400,2.0558
401,2.0558
402,2.0558
403,2.0558
404,2.0558
405,2.0558
406,2.0558
407,2.0558
408,2.0558
409,2.0558
410,2.0558
411,2.0558
412,2.0558
413,2.0558
414,2.0558
415,2.0558
416,2.0558
417,2.0558
418,2.0558
419,2.0558
420,2.0558
421,2.0558
422,2.0558
423,2.0558
424,2.0558
425,2.0558
426,2.0558
427,2.0558
428,2.0558
429,2.0558
430,2.0558
431,2.0558
432,2.0558
433,2.0558
434,2.0558
435,2.0558
436,2.0558
437,2.0558
438,2.0558
439,2.0558
440,2.0558
441,2.0558
442,2.0558
443,2.0558
444,2.0558
445,2.0558
446,2.0558
447,2.0558
448,2.0558
449,2.0558
450,2.0558
451,2.0558
452,2.0558
453,2.0558
454,2.0558
455,2.0558
456,2.0558
457,2.0558
458,2.0558
459,2.0558
460,2.0558
461,2.0558
462,2.0558
463,2.0558
464,2.0558
465,2.0558
466,2.0558
467,2.0558
468,2.0558
469,2.0558
470,2.0558
471,2.0558
472,2.0558
473,2.0558
474,2.0558
475,2.0558
476,2.0558
477,2.0558
478,2.0558
479,2.0558
480,2.0558
481,2.0558
482,2.0558
483,2.0558
484,2.0558
485,2.0558
486,2.0558
487,2.0558
488,2.0558
489,2.0558
490,2.0558
491,2.0558
492,2.0558
493,2.0558
494,2.0558
495,2.0558
496,2.0558
497,2.0558
498,2.0558
499,2.0558
500,2.0558
501,2.0558
502,2.0558
503,2.0558
504,2.0558
505,2.0558
506,2.0558
507,2.0558
508,2.0558
509,2.0558
510,2.0558
511,2.0558
512,2.0558
513,2.0558
514,2.0558
515,2.0558
516,2.0558
517,2.0558
518,2.0558
519,2.0558
520,2.0558
521,2.0558
522,2.0558
523,2.0558
524,2.0558
525,2.0558
526,2.0558
527,2.0558
528,2.0558
529,2.0558
530,2.0558
531,2.0558
532,2.0558
533,2.0558
534,2.0558
535,2.0558
536,2.0558
537,2.0558
538,2.0558
539,2.0558
540,2.0558
541,2.0558
542,2.0558
543,2.0558
544,2.0558
545,2.0558
546,2.0558
547,2.0558
548,2.0558
549,2.0558
550,2.0558
551,2.0558
552,2.0558
553,2.0558
554,2.0558
555,2.0558
556,2.0558
557,2.0558
558,2.0558
559,2.0558
560,2.0558
561,2.0558
562,2.0558
563,2.0558
564,2.0558
565,2.0558
566,2.0558
567,2.0558
568,2.0558
569,2.0558
570,2.0558
571,2.0558
572,2.0558
573,2.0558
574,2.0558
575,2.0558
576,2.0558
577,2.0558
578,2.0558
579,2.0558
580,2.0558
581,2.0558
582,2.0558
583,2.0558
584,2.0558
585,2.0558
586,2.0558
587,2.0558
588,2.0558
589,2.0558
590,2.0558
591,2.0558
592,2.0558
593,2.0558
594,2.0558
595,2.0558
596,2.0558
597,2.0558
598,2.0558
599,2.0558
600,2.0558
601,2.0558
602,2.0558
603,2.0558
604,2.0558
605,2.0558
606,2.0558
607,2.0558
608,2.0558
609,2.0558
610,2.0558
611,2.0558
612,2.0558
613,2.0558
614,2.0558
615,2.0558
616,2.0558
617,2.0558
618,2.0558
619,2.0558
620,2.0558
621,2.0558
622,2.0558
623,2.0558
624,2.0558
625,2.0558
626,2.0558
627,2.0558
628,2.0558
629,2.0558
630,2.0558
631,2.0558
632,2.0558
633,2.0558
634,2.0558
635,2.0558
636,2.0558
637,2.0558
638,2.0558
639,2.0558
640,2.0558
641,2.0558
642,2.0558
643,2.0558
644,2.0558
645,2.0558
646,2.0558
647,2.0558
648,2.0558
649,2.0558
650,2.0558
651,2.0558
652,2.0558
653,2.0558
654,2.0558
655,2.0558
656,2.0558
657,2.0558
658,2.0558
659,2.0558
660,2.0558
661,2.0558
662,2.0558
663,2.0558
664,2.0558
665,2.0558
666,2.0558
667,2.0558
668,2.0558
669,2.0558
670,2.0558
671,2.0558
672,2.0558
673,2.0558
674,2.0558
675,2.0558
676,2.0558
677,2.0558
