#step,index
0,0.136609
1,0.0924754
2,0.135692
3,0.121274
4,0.121274
5,0.134707
6,0.134707
7,0.134707
8,0.134707
9,0.13238
10,0.13238
11,0.13238
12,0.13238
13,0.13238
14,0.13238
15,0.135965
16,0.135965
17,0.135965
18,0.141163
19,0.141163
20,0.141163
21,0.141163
22,0.141163
23,0.141163
24,0.141163
25,0.141163
26,0.141163
27,0.141163
28,0.141163
29,0.141163
30,0.141163
31,0.141163
32,0.141163
33,0.141163
34,0.141163
35,0.141163
36,0.141163
37,0.141163
38,0.141163
39,0.141163
40,0.141163
41,0.141163
42,0.141163
43,0.141163
44,0.141163
45,0.141163
46,0.141163
47,0.141163
48,0.141163
49,0.141163
50,0.141163
51,0.141163
52,0.141163
53,0.141163
54,0.141163
55,0.141163
56,0.141163
57,0.141163
58,0.141163
59,0.141163
60,0.141163
61,0.141163
62,0.141163
63,0.141163
64,0.141163
65,0.141163
66,0.141163
67,0.141163
68,0.141163
69,0.141163
70,0.141163
71,0.141163
72,0.141163
73,0.141163
74,0.141163
75,0.141163
76,0.141163
77,0.141163
78,0.141163
79,0.141163
80,0.141163
81,0.141163
82,0.141163
83,0.141163
84,0.141163
85,0.141163
86,0.141163
87,0.141163
88,0.141163
89,0.141163
90,0.141163
91,0.141163
92,0.141163
93,0.141163
94,0.141163
95,0.141163
96,0.141163
97,0.141163
98,0.141163
99,0.141163
100,0.141163
101,0.141163
102,0.141163
103,0.141163
104,0.141163
105,0.141163
106,0.141163
107,0.141163
108,0.141163
109,0.141163
110,0.141163
111,0.141163
112,0.141163
113,0.141163
114,0.141163
115,0.141163
116,0.141163
117,0.141163
118,0.141163
119,0.141163
120,0.141163
121,0.141163
122,0.141163
123,0.141163
124,0.141163
125,0.141163
126,0.141163
127,0.141163
128,0.141163
129,0.141163
130,0.141163
131,0.141163
132,0.141163
133,0.141163
134,0.141163
135,0.141163
136,0.141163
137,0.141163
138,0.141163
139,0.141163
140,0.141163
141,0.141163
142,0.141163
143,0.141163
144,0.141163
145,0.141163
146,0.141163
147,0.141163
148,0.141163
149,0.141163
150,0.141163
151,0.141163
152,0.141163
153,0.141163
154,0.141163
155,0.141163
156,0.141163
157,0.141163
158,0.141163
159,0.141163
160,0.141163
161,0.141163
162,0.141163
163,0.141163
164,0.141163
165,0.141163
166,0.141163
167,0.141163
168,0.141163
169,0.141163
170,0.141163
171,0.141163
172,0.141163
173,0.141163
174,0.141163
175,0.141163
176,0.141163
177,0.141163
178,0.141163
179,0.141163
180,0.141163
181,0.141163
182,0.141163
183,0.141163
184,0.141163
185,0.141163
186,0.141163
187,0.141163
188,0.141163
189,0.141163
190,0.141163
191,0.141163
192,0.141163
193,0.141163
194,0.141163
195,0.141163
196,0.141163
197,0.141163
198,0.141163
199,0.141163
200,0.141163
201,0.141163
202,0.141163
203,0.141163
204,0.141163
205,0.141163
206,0.141163
207,0.141163
208,0.141163
209,0.141163
210,0.141163
211,0.141163
212,0.141163
213,0.141163
214,0.141163
215,0.141163
216,0.141163
217,0.141163
218,0.141163
219,0.141163
220,0.141163
221,0.141163
222,0.141163
223,0.141163
224,0.141163
225,0.141163
226,0.141163
227,0.141163
228,0.141163
229,0.141163
230,0.141163
231,0.141163
232,0.141163
233,0.141163
234,0.141163
235,0.141163
236,0.141163
237,0.141163
238,0.141163
239,0.141163
240,0.141163
241,0.141163
242,0.141163
243,0.141163
244,0.141163
245,0.141163
246,0.141163
247,0.141163
248,0.141163
249,0.141163
250,0.141163
251,0.141163
252,0.141163
253,0.141163
254,0.141163
255,0.141163
256,0.141163
257,0.141163
258,0.141163
259,0.141163
260,0.141163
261,0.141163
262,0.141163
263,0.141163
264,0.141163
265,0.141163
266,0.141163
267,0.141163
268,0.141163
269,0.141163
270,0.141163
271,0.141163
272,0.141163
273,0.141163
274,0.141163
275,0.141163
276,0.141163
277,0.141163
278,0.141163
279,0.141163
280,0.141163
281,0.135618
282,0.135618
283,0.135618
284,0.135618
285,0.135618
286,0.135618
287,0.135618
288,0.135618
289,0.135618
290,0.135618
291,0.135618
292,0.135618
293,0.135618
294,0.13135
295,0.13135
296,0.13135
297,0.13135
298,0.13135
299,0.13135
300,0.13135
301,0.13135
302,0.13135
303,0.13135
304,0.13135
305,0.13135
306,0.13135
307,0.13135
308,0.13135
309,0.13135
310,0.13135
311,0.13135
312,0.13135
313,0.13135
314,0.13135
315,0.13135
316,0.13135
317,0.13135
318,0.13135
319,0.13135
320,0.13135
321,0.13135
322,0.13135
323,0.13135
324,0.13135
325,0.13135
326,0.13135
327,0.13135
328,0.13135
329,0.13135
330,0.13135
331,0.13135
332,0.13135
333,0.13135
334,0.13135
335,0.13135
336,0.13135
337,0.13135
338,0.13135
339,0.13135
340,0.13135
341,0.13135
342,0.13135
343,0.13135
344,0.13135
345,0.13135
346,0.13135
347,0.13135
348,0.13135
349,0.13135
350,0.13135
351,0.13135
352,0.13135
353,0.13135
354,0.13135
355,0.13135
356,0.13135
357,0.13135
358,0.13135
359,0.13135
360,0.13135
361,0.13135
362,0.13135
363,0.13135
364,0.13135
365,0.13135
366,0.13135
367,0.13135
368,0.13135
369,0.13135
370,0.13135
371,0.13135
372,0.13135
373,0.13135
374,0.13135
375,0.13135
376,0.13135
377,0.13135
378,0.13135
379,0.13135
380,0.13135
381,0.13135
382,0.13135
383,0.13135
384,0.13135
385,0.163394
386,0.163394
387,0.163394
388,0.163394
389,0.163394
390,0.163394
