#step,index
0,0.115517
1,0.115517
2,0.115517
3,0.115517
4,0.115517
5,0.115517
6,0.115517
7,0.115517
8,0.115517
9,0.115517
10,0.115517
11,0.115517
12,0.115517
13,0.115517
14,0.115517
15,0.115517
16,0.115517
17,0.115517
18,0.115517
19,0.115517
20,0.115517
21,0.115517
22,0.115517
23,0.115517
24,0.115517
25,0.115517
26,0.115517
27,0.115517
28,0.115517
29,0.115517
30,0.115517
31,0.115517
32,0.115517
33,0.115517
34,0.115517
35,0.115517
36,0.115517
37,0.115517
38,0.115517
39,0.115517
40,0.115517
41,0.115517
42,0.115517
43,0.115517
44,0.115517
45,0.115517
46,0.115517
47,0.115517
48,0.115517
49,0.115517
50,0.115517
51,0.115517
52,0.115517
53,0.115517
54,0.115517
55,0.115517
56,0.115517
57,0.115517
58,0.115517
59,0.115517
60,0.115517
61,0.115517
62,0.115517
63,0.115517
64,0.115517
65,0.115517
66,0.115517
67,0.115517
68,0.115517
69,0.115517
70,0.115517
71,0.115517
72,0.115517
73,0.115517
74,0.115517
75,0.115517
76,0.115517
77,0.115517
78,0.115517
79,0.115517
80,0.115517
81,0.115517
82,0.115517
83,0.115517
84,0.115517
85,0.115517
86,0.115517
87,0.115517
88,0.115517
89,0.115517
90,0.115517
91,0.115517
92,0.115517
93,0.115517
94,0.115517
95,0.115517
96,0.115517
97,0.115517
98,0.115517
99,0.115517
100,0.115517
101,0.115517
102,0.115517
103,0.115517
104,0.115517
105,0.115517
106,0.115517
107,0.115517
108,0.115517
109,0.115517
110,0.115517
111,0.115517
112,0.115517
113,0.115517
114,0.115517
115,0.115517
116,0.115517
117,0.115517
118,0.115517
119,0.115517
120,0.115517
121,0.115517
122,0.115517
123,0.115517
124,0.115517
125,0.115517
126,0.115517
127,0.115517
128,0.115517
129,0.115517
130,0.115517
131,0.115517
132,0.115517
133,0.115517
134,0.115517
135,0.115517
136,0.115517
137,0.115517
138,0.115517
139,0.115517
140,0.115517
141,0.115517
142,0.115517
143,0.115517
144,0.115517
145,0.115517
146,0.115517
147,0.115517
148,0.115517
149,0.115517
150,0.115517
151,0.115517
152,0.115517
153,0.115517
154,0.115517
155,0.115517
156,0.115517
157,0.115517
158,0.115517
159,0.115517
160,0.115517
161,0.115517
162,0.115517
163,0.115517
164,0.115517
165,0.115517
166,0.115517
167,0.115517
168,0.115517
169,0.115517
170,0.115517
171,0.115517
172,0.115517
173,0.115517
174,0.115517
175,0.115517
176,0.115517
177,0.115517
178,0.115517
179,0.115517
180,0.115517
181,0.115517
182,0.115517
183,0.115517
184,0.115517
185,0.115517
186,0.115517
187,0.115517
188,0.115517
189,0.115517
190,0.115517
191,0.115517
192,0.115517
193,0.115517
194,0.115517
195,0.115517
196,0.115517
197,0.115517
198,0.115517
199,0.115517
200,0.115517
201,0.115517
202,0.115517
203,0.115517
204,0.115517
205,0.115517
206,0.115517
207,0.115517
208,0.115517
209,0.115517
210,0.115517
211,0.115517
212,0.115517
213,0.115517
214,0.115517
215,0.115517
216,0.115517
217,0.115517
218,0.115517
219,0.115517
220,0.115517
221,0.115517
222,0.115517
223,0.115517
224,0.115517
225,0.115517
226,0.115517
227,0.115517
228,0.115517
229,0.115517
230,0.115517
231,0.115517
232,0.115517
233,0.115517
234,0.115517
235,0.115517
236,0.115517
237,0.115517
238,0.115517
239,0.115517
240,0.115517
241,0.115517
242,0.115517
243,0.115517
244,0.115517
245,0.115517
246,0.115517
247,0.115517
248,0.115517
249,0.115517
250,0.115517
251,0.115517
252,0.115517
253,0.115517
254,0.115517
255,0.115517
256,0.115517
257,0.115517
258,0.115517
259,0.115517
260,0.115517
261,0.115517
262,0.115517
263,0.115517
264,0.115517
265,0.115517
266,0.115517
267,0.115517
268,0.115517
269,0.115517
270,0.115517
271,0.115517
272,0.115517
273,0.115517
274,0.115517
275,0.115517
276,0.115517
277,0.115517
278,0.115517
279,0.115517
280,0.115517
281,0.115517
282,0.115517
283,0.115517
284,0.115517
285,0.115517
286,0.115517
287,0.115517
288,0.115517
289,0.115517
290,0.115517
291,0.115517
292,0.115517
293,0.115517
294,0.115517
295,0.115517
296,0.115517
297,0.115517
298,0.115517
299,0.115517
300,0.115517
301,0.115517
302,0.115517
303,0.115517
304,0.115517
305,0.115517
306,0.115517
307,0.115517
308,0.115517
309,0.115517
310,0.115517
311,0.115517
312,0.115517
313,0.115517
314,0.115517
315,0.115517
316,0.115517
317,0.115517
318,0.115517
319,0.115517
320,0.115517
321,0.115517
322,0.115517
323,0.115517
324,0.115517
325,0.115517
326,0.115517
327,0.115517
328,0.115517
329,0.115517
330,0.115517
331,0.115517
332,0.115517
333,0.115517
334,0.115517
335,0.115517
336,0.115517
337,0.115517
338,0.115517
339,0.115517
340,0.115517
341,0.115517
342,0.115517
343,0.115517
344,0.115517
345,0.115517
346,0.115517
347,0.115517
348,0.115517
349,0.115517
350,0.115517
351,0.115517
352,0.115517
