#step,index
0,63.3781
1,64.8967
2,64.8967
3,65.0616
4,65.1915
5,65.348
6,65.348
7,65.3749
8,65.4941
9,65.4941
10,65.4941
11,65.4941
12,65.4941
13,65.4941
14,65.4941
15,65.4941
16,65.4941
17,65.6003
18,65.625
19,65.7021
20,65.8062
21,65.8062
22,65.8062
23,65.8062
24,65.8062
25,65.8062
26,65.8062
27,65.8062
28,65.8062
29,65.8062
30,65.8062
31,65.8062
32,65.8062
33,65.8062
34,65.8062
35,67.0086
36,67.0086
37,67.0086
38,67.0086
39,67.0086
40,67.0086
41,67.0086
42,67.0086
43,67.0086
44,67.0086
45,67.0086
46,67.0086
47,67.0086
48,67.0086
49,67.0086
50,67.0086
51,67.0086
52,67.0086
53,67.0086
54,67.0086
55,67.0086
56,67.0086
57,67.0086
58,67.0086
59,67.0086
60,67.0086
61,67.0086
62,67.0086
63,67.0086
64,67.0086
65,67.0086
66,67.0086
67,67.0086
68,67.0086
69,67.0086
70,67.0086
71,67.0086
72,67.0086
73,67.0086
74,67.0086
75,67.0086
76,67.0086
77,67.0086
78,67.0086
79,67.0086
80,67.0086
81,67.0086
82,67.0086
83,67.0086
84,67.0086
85,67.0086
86,67.0086
87,67.0086
88,67.0086
89,67.0086
90,67.0086
91,67.0086
92,67.0086
93,67.0086
94,67.0086
95,67.0086
96,67.0086
97,67.0086
98,67.0086
99,67.0086
100,67.0086
101,67.0086
102,67.0086
103,67.0086
104,67.0086
105,67.0086
106,67.0086
107,67.0086
108,67.0086
109,67.0086
110,67.0086
111,67.0086
112,67.0086
113,67.0086
114,67.0086
115,67.0086
116,67.0086
117,67.0086
118,67.0086
119,67.0086
120,67.0086
121,67.0086
122,67.0086
123,67.0086
124,67.0086
125,67.0086
126,67.0086
127,67.0086
128,67.0086
129,67.0086
130,67.0086
131,67.0086
132,67.0086
133,67.0086
134,67.0086
135,67.0086
136,67.0086
137,67.0086
138,67.0086
139,67.0086
140,67.0086
141,67.0086
142,67.0086
143,67.0086
144,67.0086
145,67.0086
146,67.0086
147,67.0086
148,67.0086
149,67.0086
150,67.0086
151,67.0086
152,67.0086
