#step,index
0,0.765062
1,0.725273
2,0.725273
3,0.734707
4,0.60283
5,0.67646
6,0.67646
7,0.631185
8,0.691535
9,0.691535
10,0.691535
11,0.691535
12,0.691535
13,0.691535
14,0.691535
15,0.691535
16,0.691535
17,0.753269
18,0.76619
19,0.746603
20,0.678357
21,0.678357
22,0.678357
23,0.678357
24,0.678357
25,0.678357
26,0.678357
27,0.678357
28,0.678357
29,0.678357
30,0.678357
31,0.678357
32,0.678357
33,0.678357
34,0.678357
35,0.738092
36,0.738092
37,0.738092
38,0.738092
39,0.738092
40,0.738092
41,0.738092
42,0.738092
43,0.738092
44,0.738092
45,0.738092
46,0.738092
47,0.738092
48,0.738092
49,0.738092
50,0.738092
51,0.738092
52,0.738092
53,0.738092
54,0.738092
55,0.738092
56,0.738092
57,0.738092
58,0.738092
59,0.738092
60,0.738092
61,0.738092
62,0.738092
63,0.738092
64,0.738092
65,0.738092
66,0.738092
67,0.738092
68,0.738092
69,0.738092
70,0.738092
71,0.738092
72,0.738092
73,0.738092
74,0.738092
75,0.738092
76,0.738092
77,0.738092
78,0.738092
79,0.738092
80,0.738092
81,0.738092
82,0.738092
83,0.738092
84,0.738092
85,0.738092
86,0.738092
87,0.738092
88,0.738092
89,0.738092
90,0.738092
91,0.738092
92,0.738092
93,0.738092
94,0.738092
95,0.738092
96,0.738092
97,0.738092
98,0.738092
99,0.738092
100,0.738092
101,0.738092
102,0.738092
103,0.738092
104,0.738092
105,0.738092
106,0.738092
107,0.738092
108,0.738092
109,0.738092
110,0.738092
111,0.738092
112,0.738092
113,0.738092
114,0.738092
115,0.738092
116,0.738092
117,0.738092
118,0.738092
119,0.738092
120,0.738092
121,0.738092
122,0.738092
123,0.738092
124,0.738092
125,0.738092
126,0.738092
127,0.738092
128,0.738092
129,0.738092
130,0.738092
131,0.738092
132,0.738092
133,0.738092
134,0.738092
135,0.738092
136,0.738092
137,0.738092
138,0.738092
139,0.738092
140,0.738092
141,0.738092
142,0.738092
143,0.738092
144,0.738092
145,0.738092
146,0.738092
147,0.738092
148,0.738092
149,0.738092
150,0.738092
151,0.738092
152,0.738092
153,0.738092
154,0.738092
155,0.738092
156,0.738092
157,0.738092
158,0.738092
159,0.738092
160,0.738092
161,0.738092
162,0.738092
163,0.738092
164,0.738092
165,0.738092
166,0.738092
167,0.738092
168,0.738092
169,0.738092
170,0.738092
171,0.738092
172,0.738092
173,0.738092
174,0.738092
175,0.738092
176,0.738092
177,0.738092
178,0.738092
179,0.738092
180,0.738092
181,0.738092
182,0.738092
183,0.738092
184,0.738092
185,0.738092
186,0.738092
187,0.738092
188,0.738092
189,0.738092
190,0.738092
191,0.738092
192,0.738092
193,0.738092
194,0.738092
195,0.738092
196,0.738092
197,0.738092
198,0.738092
199,0.738092
200,0.738092
201,0.738092
202,0.738092
203,0.738092
204,0.738092
205,0.738092
206,0.738092
207,0.738092
208,0.738092
209,0.738092
210,0.738092
211,0.738092
212,0.738092
213,0.738092
214,0.738092
215,0.738092
216,0.738092
217,0.738092
218,0.738092
219,0.738092
220,0.738092
221,0.738092
222,0.738092
223,0.738092
224,0.738092
225,0.738092
226,0.738092
227,0.738092
228,0.738092
229,0.738092
230,0.738092
231,0.738092
232,0.738092
233,0.738092
234,0.738092
235,0.738092
236,0.738092
237,0.738092
238,0.738092
239,0.738092
240,0.738092
241,0.738092
242,0.738092
243,0.738092
244,0.738092
245,0.738092
246,0.738092
247,0.738092
248,0.738092
249,0.738092
250,0.738092
251,0.738092
252,0.738092
253,0.738092
254,0.738092
255,0.738092
256,0.738092
257,0.738092
258,0.738092
259,0.738092
260,0.738092
261,0.738092
262,0.738092
263,0.738092
264,0.738092
265,0.738092
266,0.738092
267,0.738092
268,0.738092
269,0.738092
270,0.738092
271,0.738092
272,0.738092
273,0.738092
274,0.738092
275,0.738092
276,0.738092
277,0.738092
278,0.738092
279,0.738092
280,0.738092
281,0.738092
282,0.738092
283,0.738092
284,0.738092
285,0.738092
286,0.738092
287,0.738092
288,0.738092
289,0.738092
290,0.738092
291,0.738092
292,0.738092
293,0.738092
294,0.738092
295,0.738092
296,0.738092
297,0.738092
298,0.738092
299,0.738092
300,0.738092
301,0.738092
302,0.738092
303,0.738092
304,0.738092
305,0.738092
306,0.738092
307,0.738092
308,0.738092
309,0.738092
310,0.738092
311,0.738092
312,0.738092
313,0.738092
314,0.738092
315,0.738092
316,0.738092
317,0.738092
318,0.738092
319,0.738092
320,0.738092
321,0.738092
322,0.738092
323,0.738092
324,0.738092
325,0.738092
326,0.738092
327,0.738092
328,0.738092
329,0.738092
330,0.738092
331,0.738092
332,0.738092
333,0.738092
334,0.738092
335,0.738092
336,0.738092
337,0.738092
338,0.738092
339,0.738092
340,0.738092
341,0.738092
342,0.738092
343,0.738092
344,0.738092
345,0.738092
346,0.738092
347,0.738092
348,0.738092
349,0.738092
350,0.738092
351,0.738092
352,0.738092
353,0.738092
354,0.738092
355,0.738092
356,0.738092
357,0.738092
358,0.738092
359,0.738092
360,0.738092
361,0.738092
362,0.738092
363,0.738092
364,0.738092
365,0.738092
366,0.738092
367,0.738092
368,0.738092
369,0.738092
370,0.738092
371,0.738092
372,0.738092
373,0.738092
374,0.738092
375,0.738092
376,0.738092
377,0.738092
378,0.738092
379,0.738092
380,0.738092
381,0.738092
382,0.738092
383,0.738092
384,0.738092
385,0.738092
386,0.738092
387,0.738092
388,0.738092
389,0.738092
390,0.738092
391,0.738092
392,0.738092
393,0.738092
394,0.738092
395,0.738092
396,0.738092
397,0.738092
398,0.738092
399,0.738092
400,0.738092
401,0.738092
402,0.738092
403,0.738092
404,0.738092
405,0.738092
406,0.738092
407,0.738092
408,0.738092
409,0.738092
410,0.738092
411,0.738092
412,0.738092
413,0.738092
414,0.738092
415,0.738092
416,0.738092
417,0.738092
418,0.738092
419,0.738092
420,0.738092
421,0.738092
422,0.729272
423,0.759934
424,0.758499
425,0.741732
426,0.784956
427,0.786905
428,0.786494
429,0.752807
430,0.752807
431,0.752807
432,0.752807
433,0.752807
434,0.752807
435,0.752807
436,0.752807
437,0.752807
438,0.752807
439,0.742911
440,0.756653
441,0.731836
442,0.731836
443,0.765472
444,0.743783
445,0.743783
446,0.743783
447,0.743783
448,0.743783
449,0.743783
450,0.696354
451,0.739015
452,0.739015
453,0.739015
454,0.741988
455,0.741988
456,0.741988
457,0.741988
458,0.715377
459,0.715377
460,0.773573
461,0.773573
462,0.773573
463,0.773573
464,0.773573
465,0.773573
466,0.773573
467,0.773573
468,0.773573
469,0.773573
470,0.773573
471,0.773573
472,0.737374
473,0.737374
474,0.737374
475,0.762498
476,0.762498
477,0.762498
478,0.762498
479,0.762498
480,0.762498
481,0.762498
482,0.762498
483,0.762498
484,0.762498
485,0.762498
486,0.762498
487,0.762498
488,0.762498
489,0.752397
490,0.752397
491,0.752397
492,0.752397
493,0.752397
494,0.752397
495,0.752397
496,0.752397
497,0.752397
498,0.752397
499,0.752397
500,0.752397
501,0.752397
502,0.752397
503,0.752397
504,0.752397
505,0.752397
506,0.752397
507,0.752397
508,0.752397
509,0.752397
510,0.752397
511,0.752397
512,0.752397
513,0.752397
514,0.752397
515,0.752397
516,0.752397
517,0.752397
518,0.752397
519,0.752397
520,0.752397
521,0.752397
522,0.752397
523,0.752397
524,0.752397
525,0.752397
526,0.752397
527,0.752397
528,0.752397
529,0.752397
530,0.752397
531,0.752397
532,0.752397
533,0.752397
534,0.752397
535,0.752397
536,0.752397
537,0.752397
538,0.752397
539,0.752397
540,0.752397
541,0.752397
542,0.752397
543,0.752397
544,0.752397
545,0.752397
546,0.710814
547,0.710814
548,0.721684
549,0.721684
550,0.716351
551,0.721479
552,0.721479
553,0.729888
554,0.729888
555,0.744244
556,0.742911
557,0.742911
558,0.742911
559,0.728349
560,0.728349
561,0.728349
562,0.728349
563,0.728349
564,0.728349
565,0.728349
566,0.728349
567,0.728349
568,0.728349
569,0.728349
570,0.733426
571,0.731734
572,0.736451
573,0.715377
574,0.715377
575,0.715377
576,0.711019
577,0.711019
578,0.711019
579,0.711019
580,0.711019
581,0.711019
582,0.711019
583,0.711019
584,0.711019
585,0.73845
586,0.73845
587,0.73845
588,0.73845
589,0.73845
590,0.73845
591,0.73845
592,0.73845
593,0.73845
594,0.73845
595,0.73845
596,0.73845
597,0.73845
598,0.73845
599,0.73845
600,0.73845
601,0.73845
602,0.73845
603,0.73845
604,0.73845
605,0.73845
606,0.73845
607,0.73845
608,0.73845
609,0.73845
610,0.73845
611,0.73845
612,0.73845
613,0.73845
614,0.73845
615,0.73845
616,0.73845
617,0.73845
618,0.73845
619,0.73845
620,0.73845
621,0.73845
622,0.73845
623,0.73845
624,0.73845
625,0.73845
626,0.73845
627,0.73845
628,0.73845
629,0.73845
630,0.73845
631,0.73845
632,0.73845
633,0.73845
634,0.73845
635,0.73845
636,0.73845
637,0.73845
638,0.73845
639,0.73845
640,0.711224
641,0.733477
642,0.733477
643,0.733477
644,0.733477
645,0.733477
646,0.733477
647,0.733477
648,0.733477
649,0.710352
650,0.710352
651,0.710352
652,0.710352
653,0.710352
654,0.710352
655,0.710352
656,0.750295
657,0.750808
658,0.756243
659,0.760755
660,0.760755
661,0.760755
662,0.760755
663,0.760755
664,0.760755
665,0.760755
666,0.760755
667,0.760755
668,0.760755
669,0.760755
670,0.760755
671,0.760755
672,0.760755
673,0.760755
674,0.760755
675,0.760755
676,0.760755
677,0.760755
678,0.760755
679,0.760755
680,0.760755
681,0.760755
682,0.760755
683,0.756704
684,0.756704
685,0.756704
686,0.756704
687,0.756704
688,0.756704
689,0.756704
690,0.756704
691,0.756704
692,0.756704
693,0.756704
694,0.756704
695,0.756704
696,0.756704
697,0.756704
698,0.756704
699,0.756704
700,0.756704
701,0.756704
702,0.754294
703,0.766395
704,0.7505
705,0.760601
706,0.741476
707,0.741476
708,0.741476
709,0.741476
710,0.741476
711,0.741476
712,0.741476
713,0.741476
714,0.741476
715,0.741476
716,0.741476
717,0.741476
718,0.741476
719,0.741476
720,0.741476
721,0.741476
722,0.741476
723,0.741476
724,0.741476
725,0.741476
726,0.741476
727,0.741476
728,0.741476
729,0.741476
730,0.741476
