#step,index
0,1.65476
1,1.52838
2,1.52838
3,1.52838
4,1.52838
5,1.52838
6,1.47535
7,1.47535
8,1.47535
9,1.47535
10,1.47535
11,1.47535
12,1.47535
13,1.47535
14,1.47535
15,1.47528
16,1.47528
17,1.47528
18,1.47528
19,1.47528
20,1.47528
21,1.47528
22,1.47528
23,1.47528
24,1.47528
25,1.47528
26,1.47528
27,1.47528
28,1.47528
29,1.47528
30,1.47528
31,1.47528
32,1.47528
33,1.47528
34,1.47528
35,1.47528
36,1.47528
37,1.47528
38,1.47422
39,1.4586
40,1.4586
41,1.4586
42,1.4586
43,1.4586
44,1.4586
45,1.4586
46,1.4586
47,1.4586
48,1.4586
49,1.4586
50,1.4586
51,1.4586
52,1.4586
53,1.4586
54,1.4586
55,1.4586
56,1.4586
57,1.4586
58,1.4586
59,1.4586
60,1.4586
61,1.4586
62,1.4586
63,1.4586
64,1.4586
65,1.4586
66,1.4586
67,1.4586
68,1.4586
69,1.4586
70,1.4586
71,1.4586
72,1.4586
73,1.4586
74,1.4586
75,1.43951
76,1.43951
77,1.43283
78,1.36435
79,1.36435
80,0.0823221
81,0.0823221
82,0.0823221
83,0.0823221
84,0.0823221
85,0.0823221
86,0.0823221
87,0.0823221
88,0.0823221
89,0.0823221
90,0.0823221
91,0.0823221
92,0.0823221
93,0.0823221
94,0.0823221
95,0.0823221
96,0.0823221
97,0.0823221
98,0.0823221
99,0.0823221
100,0.0823221
101,0.0823221
102,0.0823221
103,0.0823221
104,0.0823221
105,0.0823221
106,0.0823221
107,0.0823221
108,0.0823221
109,0.0823221
110,0.0823221
111,0.0823221
112,0.0823221
113,0.0823221
114,0.0823221
115,0.0823221
116,0.0823221
117,0.0823221
118,0.0823221
119,0.0823221
120,0.0823221
121,0.0823221
122,0.0823221
123,0.0823221
124,0.0823221
125,0.0823221
126,0.0823221
127,0.0823221
128,0.0823221
129,0.0823221
130,0.0823221
131,0.0823221
132,0.0823221
133,0.0823221
134,0.0823221
135,0.0823221
136,0.0823221
137,0.0823221
138,0.0823221
139,0.0823221
140,0.0823221
141,0.0823221
142,0.0823221
143,0.0823221
144,0.0823221
145,0.0823221
146,0.0823221
147,0.0823221
148,0.0823221
149,0.0823221
150,0.0823221
151,0.0823221
152,0.0823221
153,0.0823221
154,0.0823221
155,0.0823221
156,0.0823221
157,0.0823221
158,0.0823221
159,0.0823221
160,0.0823221
161,0.0823221
162,0.0823221
163,0.0823221
164,0.0823221
165,0.0823221
166,0.0823221
167,0.0823221
168,0.0823221
169,0.0823221
170,0.0823221
