#step,index
0,0.0368404
1,0.0368404
2,0.0368404
3,0.0368404
4,0.0368404
5,0.0368404
6,0.0368404
7,0.0368404
8,0.0368404
9,0.271726
10,0.271726
11,0.271726
12,0.271726
13,0.271726
14,0.271726
15,0.271726
16,0.271726
17,0.271726
18,0.271726
19,0.271726
20,0.271726
21,0.271726
22,0.271726
23,0.271726
24,0.271726
25,0.271726
26,0.271726
27,0.271726
28,0.271726
29,0.271726
30,0.271726
31,0.271726
32,0.271726
33,0.271726
34,0.271726
35,0.271726
36,0.271726
37,0.271726
38,0.271726
39,0.271726
40,0.271726
41,0.271726
42,0.271726
43,0.271726
44,0.271726
45,0.271726
46,0.271726
47,0.271726
48,0.271726
49,0.271726
50,0.271726
51,0.271726
52,0.271726
53,0.271726
54,0.271726
55,0.271726
56,0.271726
57,0.271726
58,0.271726
59,0.271726
60,0.271726
61,0.271726
62,0.271726
63,0.271726
64,0.271726
65,0.271726
66,0.271726
67,0.271726
68,0.271726
69,0.271726
70,0.271726
71,0.271726
72,0.271726
73,0.271726
74,0.271726
75,0.271726
76,0.271726
77,0.271726
78,0.271726
79,0.271726
80,0.271726
81,0.271726
82,0.271726
83,0.271726
84,0.271726
85,0.271726
86,0.271726
87,0.271726
88,0.271726
89,0.271726
90,0.271726
91,0.271726
92,0.271726
93,0.271726
94,0.271726
95,0.173999
96,0.173999
97,0.173999
98,0.173999
99,0.173999
100,0.173999
101,0.173999
102,0.173999
103,0.173999
104,0.173999
105,0.173999
106,0.173999
107,0.173999
108,0.173999
109,0.173999
110,0.173999
111,0.173999
112,0.173999
113,0.173999
114,0.173999
115,0.173999
116,0.173999
117,0.173999
118,0.173999
119,0.173999
120,0.173999
121,0.173999
122,0.173999
123,0.173999
124,0.173999
125,0.173999
126,0.173999
127,0.173999
128,0.173999
129,0.173999
130,0.173999
131,0.173999
132,0.173999
133,0.173999
134,0.173999
135,0.173999
136,0.173999
137,0.173999
138,0.173999
139,0.173999
140,0.173999
141,0.173999
142,0.173999
143,0.173999
144,0.173999
145,0.173999
146,0.173999
147,0.173999
148,0.173999
149,0.173999
150,0.173999
151,0.173999
152,0.173999
153,0.173999
154,0.173999
155,0.173999
156,0.173999
157,0.173999
158,0.173999
159,0.173999
160,0.173999
161,0.173999
162,0.173999
163,0.173999
164,0.173999
165,0.173999
166,0.173999
167,0.173999
168,0.173999
169,0.173999
170,0.173999
171,0.173999
172,0.173999
173,0.173999
174,0.173999
175,0.173999
176,0.173999
177,0.173999
178,0.173999
179,0.173999
180,0.173999
181,0.173999
182,0.173999
183,0.173999
184,0.173999
185,0.173999
186,0.173999
187,0.173999
188,0.173999
189,0.173999
190,0.173999
191,0.173999
192,0.173999
193,0.173999
194,0.173999
195,0.173999
196,0.173999
197,0.173999
198,0.173999
199,0.173999
200,0.173999
201,0.173999
202,0.173999
203,0.173999
204,0.173999
205,0.173999
206,0.173999
207,0.173999
208,0.173999
209,0.173999
210,0.173999
211,0.173999
212,0.173999
213,0.173999
214,0.173999
215,0.173999
216,0.173999
217,0.173999
218,0.173999
219,0.173999
220,0.173999
221,0.173999
222,0.173999
223,0.173999
224,0.173999
225,0.173999
226,0.173999
227,0.173999
228,0.173999
229,0.173999
230,0.173999
231,0.173999
232,0.173999
233,0.173999
234,0.173999
235,0.173999
236,0.173999
237,0.173999
238,0.173999
239,0.173999
240,0.173999
241,0.173999
242,0.173999
243,0.173999
244,0.173999
245,0.173999
246,0.173999
247,0.173999
248,0.173999
249,0.173999
250,0.173999
251,0.173999
252,0.173999
253,0.173999
254,0.173999
255,0.173999
256,0.173999
257,0.173999
258,0.173999
259,0.173999
260,0.173999
261,0.173999
262,0.173999
263,0.173999
264,0.173999
265,0.173999
266,0.173999
267,0.173999
268,0.173999
269,0.173999
270,0.173999
271,0.173999
272,0.173999
273,0.173999
274,0.173999
275,0.173999
276,0.173999
277,0.173999
278,0.173999
279,0.173999
280,0.173999
281,0.173999
282,0.173999
283,0.173999
284,0.173999
285,0.173999
286,0.173999
287,0.173999
288,0.173999
289,0.173999
290,0.173999
291,0.173999
292,0.173999
293,0.173999
294,0.173999
295,0.173999
296,0.173999
297,0.173999
298,0.173999
299,0.173999
300,0.173999
301,0.173999
302,0.173999
303,0.173999
304,0.173999
305,0.173999
306,0.173999
307,0.173999
308,0.173999
309,0.173999
310,0.173999
311,0.173999
312,0.173999
313,0.173999
314,0.173999
315,0.173999
316,0.173999
317,0.173999
318,0.173999
319,0.173999
320,0.173999
321,0.173999
322,0.173999
323,0.173999
324,0.173999
325,0.173999
326,0.173999
327,0.173999
328,0.173999
329,0.173999
330,0.173999
331,0.173999
332,0.173999
333,0.173999
334,0.173999
335,0.173999
336,0.173999
337,0.173999
338,0.173999
339,0.173999
340,0.173999
341,0.173999
342,0.173999
343,0.173999
344,0.173999
345,0.173999
346,0.173999
347,0.173999
348,0.173999
349,0.173999
350,0.173999
351,0.173999
352,0.173999
353,0.173999
354,0.173999
355,0.173999
356,0.173999
357,0.173999
358,0.173999
359,0.173999
360,0.173999
361,0.173999
362,0.173999
363,0.173999
364,0.173999
365,0.173999
