#step,index
0,0.502194
1,0.502194
2,0.515517
3,0.515517
4,0.515517
5,0.524187
6,0.63225
7,0.654454
8,0.654454
9,0.654454
10,0.654454
11,0.654454
12,0.497436
13,0.497436
14,0.507058
15,0.507058
16,0.507058
17,0.58414
18,0.58414
19,0.58414
20,0.58414
21,0.58414
22,0.58414
23,0.58414
24,0.58414
25,0.58414
26,0.58414
27,0.58414
28,0.58414
29,0.58414
30,0.58414
31,0.58414
32,0.58414
33,0.58414
34,0.58414
35,0.58414
36,0.58414
37,0.58414
38,0.58414
39,0.58414
40,0.58414
41,0.58414
42,0.58414
43,0.58414
44,0.58414
45,0.58414
46,0.58414
47,0.58414
48,0.58414
49,0.58414
50,0.58414
51,0.58414
52,0.58414
53,0.58414
54,0.58414
55,0.58414
56,0.58414
57,0.58414
58,0.58414
59,0.58414
60,0.58414
61,0.58414
62,0.58414
63,0.58414
64,0.58414
65,0.58414
66,0.58414
67,0.58414
68,0.58414
69,0.58414
70,0.58414
71,0.58414
72,0.58414
73,0.58414
74,0.58414
75,0.58414
76,0.58414
77,0.58414
78,0.58414
79,0.58414
80,0.58414
81,0.58414
82,0.58414
83,0.58414
84,0.58414
85,0.58414
86,0.58414
87,0.58414
88,0.58414
89,0.58414
90,0.58414
91,0.58414
92,0.58414
93,0.58414
94,0.58414
95,0.58414
96,0.58414
97,0.58414
98,0.58414
99,0.58414
100,0.58414
101,0.58414
102,0.58414
103,0.58414
104,0.58414
105,0.58414
106,0.58414
107,0.58414
108,0.58414
109,0.58414
110,0.58414
111,0.58414
112,0.58414
113,0.58414
114,0.58414
115,0.58414
116,0.58414
117,0.58414
118,0.58414
119,0.58414
120,0.58414
121,0.58414
122,0.58414
123,0.58414
124,0.58414
125,0.58414
126,0.58414
127,0.58414
128,0.58414
129,0.58414
130,0.58414
131,0.58414
132,0.58414
133,0.58414
134,0.58414
135,0.58414
136,0.58414
137,0.58414
138,0.58414
139,0.58414
140,0.58414
141,0.58414
142,0.58414
143,0.58414
144,0.58414
145,0.58414
146,0.58414
147,0.58414
148,0.58414
149,0.58414
150,0.58414
151,0.58414
152,0.58414
153,0.58414
154,0.58414
155,0.58414
156,0.58414
157,0.58414
158,0.58414
159,0.58414
160,0.58414
161,0.58414
162,0.58414
163,0.58414
164,0.58414
165,0.58414
166,0.58414
167,0.58414
168,0.58414
169,0.58414
170,0.58414
171,0.58414
172,0.58414
173,0.58414
174,0.58414
175,0.58414
176,0.58414
177,0.58414
178,0.58414
179,0.58414
180,0.58414
181,0.58414
182,0.58414
183,0.58414
184,0.58414
185,0.58414
186,0.58414
187,0.58414
188,0.58414
189,0.58414
190,0.58414
191,0.58414
192,0.58414
193,0.58414
194,0.58414
195,0.58414
196,0.58414
197,0.58414
198,0.58414
199,0.58414
200,0.58414
201,0.58414
202,0.58414
203,0.58414
204,0.58414
205,0.58414
206,0.58414
207,0.58414
208,0.58414
209,0.58414
210,0.58414
211,0.58414
212,0.58414
213,0.58414
214,0.58414
215,0.58414
216,0.58414
217,0.58414
218,0.58414
219,0.58414
220,0.58414
221,0.58414
222,0.58414
223,0.58414
224,0.58414
225,0.58414
226,0.58414
227,0.58414
228,0.58414
229,0.58414
230,0.58414
231,0.58414
232,0.58414
233,0.58414
234,0.58414
235,0.58414
236,0.58414
237,0.58414
238,0.58414
239,0.58414
240,0.58414
241,0.58414
242,0.58414
243,0.58414
244,0.58414
245,0.58414
246,0.58414
247,0.58414
248,0.58414
249,0.58414
250,0.58414
251,0.58414
252,0.58414
253,0.58414
254,0.58414
255,0.58414
256,0.58414
257,0.58414
258,0.58414
259,0.58414
260,0.58414
261,0.58414
262,0.58414
263,0.58414
264,0.58414
265,0.58414
266,0.58414
267,0.58414
268,0.58414
269,0.58414
270,0.58414
271,0.58414
272,0.58414
273,0.58414
274,0.58414
275,0.58414
276,0.58414
277,0.58414
278,0.58414
279,0.58414
280,0.58414
281,0.58414
282,0.58414
283,0.58414
284,0.58414
285,0.58414
286,0.58414
287,0.58414
288,0.58414
289,0.58414
290,0.58414
291,0.58414
292,0.58414
293,0.58414
294,0.58414
295,0.58414
296,0.58414
297,0.58414
298,0.58414
299,0.58414
300,0.58414
301,0.58414
302,0.58414
303,0.58414
304,0.58414
305,0.58414
306,0.58414
307,0.58414
308,0.58414
309,0.58414
310,0.58414
311,0.58414
312,0.58414
313,0.58414
314,0.58414
315,0.58414
316,0.58414
317,0.58414
318,0.58414
319,0.58414
320,0.58414
321,0.58414
322,0.58414
323,0.58414
324,0.58414
325,0.58414
326,0.58414
327,0.58414
328,0.58414
329,0.58414
330,0.58414
331,0.58414
332,0.58414
333,0.58414
334,0.58414
335,0.58414
336,0.58414
337,0.58414
338,0.58414
339,0.58414
340,0.58414
341,0.58414
342,0.58414
343,0.58414
344,0.58414
345,0.58414
346,0.58414
347,0.58414
348,0.58414
349,0.58414
350,0.58414
351,0.58414
352,0.58414
353,0.58414
354,0.58414
355,0.58414
356,0.58414
357,0.58414
358,0.58414
359,0.58414
360,0.58414
361,0.58414
362,0.58414
363,0.58414
364,0.58414
365,0.58414
366,0.58414
367,0.58414
368,0.58414
369,0.58414
370,0.58414
371,0.58414
372,0.58414
373,0.58414
374,0.58414
375,0.58414
376,0.58414
377,0.58414
378,0.58414
379,0.58414
380,0.58414
381,0.58414
382,0.58414
383,0.58414
384,0.58414
385,0.58414
386,0.58414
387,0.58414
388,0.58414
389,0.58414
390,0.58414
391,0.58414
392,0.58414
393,0.58414
394,0.58414
395,0.58414
396,0.58414
397,0.553265
398,0.553265
399,0.553265
400,0.553265
401,0.553265
402,0.553265
403,0.553265
404,0.553265
405,0.511816
406,0.515517
407,0.5318
408,0.5318
409,0.5318
410,0.537404
411,0.543431
412,0.549881
413,0.56405
414,0.56405
415,0.537404
416,0.543431
417,0.537404
418,0.540365
419,0.540365
420,0.560349
421,0.546603
422,0.540365
423,0.546603
424,0.560349
425,0.549881
426,0.553265
427,0.553265
428,0.553265
429,0.553265
430,0.553265
431,0.553265
432,0.546603
433,0.546603
434,0.546603
435,0.546603
436,0.553265
437,0.556754
438,0.556754
439,0.553265
440,0.571768
441,0.575786
442,0.540365
443,0.543431
444,0.537404
445,0.56405
446,0.56405
447,0.521861
448,0.521861
449,0.521861
450,0.521861
451,0.521861
452,0.521861
453,0.521861
454,0.521861
455,0.521861
456,0.521861
457,0.521861
458,0.521861
459,0.521861
460,0.521861
461,0.521861
462,0.521861
463,0.521861
464,0.521861
465,0.521861
466,0.521861
467,0.521861
468,0.521861
469,0.521861
470,0.521861
471,0.521861
472,0.521861
473,0.521861
474,0.521861
475,0.521861
476,0.521861
477,0.521861
478,0.521861
479,0.521861
480,0.521861
481,0.526619
482,0.526619
483,0.543431
484,0.543431
485,0.549881
486,0.540365
487,0.540365
488,0.537404
489,0.529157
490,0.529157
491,0.529157
492,0.529157
493,0.529157
494,0.529157
495,0.529157
496,0.529157
497,0.529157
498,0.529157
499,0.540365
500,0.537404
501,0.537404
502,0.540365
503,0.540365
504,0.540365
505,0.540365
506,0.546603
507,0.540365
508,0.540365
509,0.540365
510,0.540365
511,0.537404
512,0.537404
513,0.537404
514,0.537404
515,0.537404
516,0.537404
517,0.537404
518,0.537404
519,0.537404
520,0.537404
521,0.524187
522,0.526619
523,0.526619
524,0.521861
525,0.521861
526,0.521861
527,0.521861
528,0.521861
529,0.521861
530,0.521861
531,0.521861
532,0.521861
533,0.521861
534,0.521861
535,0.521861
536,0.521861
537,0.521861
538,0.521861
539,0.521861
540,0.521861
541,0.521861
542,0.521861
543,0.521861
544,0.521861
545,0.521861
546,0.521861
547,0.521861
548,0.5318
549,0.5318
