#step,index
0,0.106456
1,0.0880473
2,0.0880473
3,0.0880473
4,0.0880473
5,0.0880473
6,0.142012
7,0.142012
8,0.0880473
9,0.0880473
10,0.0880473
11,0.0880473
12,0.0880473
13,0.0880473
14,0.0880473
15,0.0880473
16,0.0880473
17,0.0880473
18,0.0880473
19,0.0880473
20,0.0880473
21,0.0880473
22,0.0880473
23,0.0880473
24,0.0880473
25,0.0880473
26,0.0880473
27,0.0880473
28,0.0880473
29,0.0880473
30,0.0880473
31,0.0880473
32,0.0880473
33,0.0880473
34,0.0880473
35,0.0880473
36,0.0880473
37,0.0880473
38,0.0880473
39,0.0880473
40,0.0880473
41,0.0880473
42,0.0880473
43,0.0880473
44,0.0880473
45,0.0880473
46,0.0880473
47,0.0880473
48,0.0880473
49,0.0880473
50,0.0880473
51,0.0880473
52,0.0880473
53,0.0880473
54,0.0880473
55,0.0880473
56,0.0880473
57,0.0880473
58,0.0880473
59,0.0880473
60,0.0880473
61,0.0880473
62,0.0880473
63,0.0880473
64,0.0880473
65,0.0880473
66,0.0880473
67,0.0880473
68,0.0880473
69,0.0880473
70,0.0880473
71,0.0880473
72,0.0880473
73,0.0880473
74,0.0880473
75,0.0880473
76,0.0880473
77,0.0880473
78,0.0880473
79,0.0880473
80,0.0880473
81,0.0880473
82,0.0880473
83,0.0880473
84,0.0880473
85,0.0880473
86,0.0880473
87,0.0880473
88,0.0880473
89,0.0880473
90,0.0880473
91,0.0880473
92,0.0880473
93,0.0880473
94,0.0880473
95,0.0880473
96,0.0880473
97,0.0880473
98,0.0880473
99,0.0880473
100,0.0880473
101,0.0880473
102,0.0880473
103,0.0880473
104,0.0880473
105,0.0880473
106,0.0880473
107,0.0880473
108,0.0880473
109,0.0880473
110,0.0880473
111,0.0880473
112,0.0880473
113,0.0880473
114,0.0880473
115,0.0880473
116,0.0880473
117,0.0880473
118,0.0880473
119,0.0880473
120,0.0880473
121,0.0880473
122,0.0880473
123,0.0880473
124,0.0880473
125,0.0880473
126,0.0880473
127,0.0880473
128,0.0880473
129,0.0880473
130,0.0880473
131,0.0880473
132,0.0880473
133,0.0880473
134,0.0880473
135,0.0880473
136,0.0880473
137,0.0880473
138,0.0880473
139,0.0880473
140,0.0880473
141,0.0880473
142,0.0880473
143,0.0880473
144,0.0880473
145,0.0880473
146,0.0880473
147,0.0880473
148,0.0880473
149,0.0880473
150,0.0880473
151,0.0880473
152,0.0880473
153,0.0880473
154,0.0880473
155,0.0880473
156,0.0880473
157,0.0880473
158,0.0880473
159,0.0880473
160,0.0880473
161,0.0880473
162,0.0880473
163,0.0880473
164,0.0880473
165,0.0880473
166,0.0880473
167,0.0880473
168,0.0880473
169,0.0880473
170,0.0880473
171,0.0880473
172,0.0880473
173,0.0880473
174,0.0880473
175,0.0880473
176,0.0880473
177,0.0880473
178,0.0880473
179,0.0880473
180,0.0880473
181,0.0880473
182,0.0880473
183,0.0880473
184,0.0880473
185,0.0880473
186,0.0880473
187,0.0880473
188,0.0880473
189,0.0880473
190,0.0880473
191,0.0880473
192,0.0880473
193,0.0880473
194,0.0880473
195,0.0880473
196,0.0880473
197,0.0880473
198,0.0880473
199,0.0880473
200,0.0880473
201,0.0880473
202,0.0880473
203,0.0880473
204,0.0880473
205,0.0880473
206,0.0880473
207,0.0880473
208,0.0880473
209,0.0880473
210,0.0880473
211,0.0880473
212,0.0880473
213,0.0880473
214,0.0880473
215,0.0880473
216,0.0880473
217,0.0880473
218,0.0880473
219,0.0880473
220,0.0880473
221,0.0880473
222,0.0880473
223,0.0880473
224,0.0880473
225,0.0880473
226,0.0880473
227,0.0880473
228,0.0880473
229,0.0880473
230,0.0880473
231,0.0880473
232,0.0880473
233,0.0880473
234,0.0880473
235,0.0880473
236,0.0880473
237,0.0880473
238,0.0880473
239,0.0880473
240,0.0880473
241,0.0499671
242,0.0499671
243,0.0499671
244,0.0499671
245,0.0499671
246,0.0499671
247,0.0499671
248,0.0499671
249,0.0499671
250,0.0499671
251,0.0499671
252,0.0499671
253,0.0499671
254,0.0499671
255,0.0499671
256,0.0499671
257,0.0499671
258,0.0499671
259,0.0499671
260,0.0499671
261,0.0499671
262,0.0499671
263,0.0499671
264,0.0499671
265,0.0499671
