#step,index
0,177.224
1,177.224
2,177.224
3,177.224
4,177.224
5,177.224
6,177.224
7,177.224
8,177.224
9,177.224
10,177.224
11,177.224
12,177.224
13,177.224
14,177.224
15,177.224
16,177.224
17,177.224
18,177.224
19,177.224
20,177.224
21,177.224
22,177.224
23,177.224
24,177.224
25,177.224
26,177.224
27,177.224
28,177.224
29,177.224
30,177.224
31,177.224
32,177.224
33,177.224
34,177.224
35,177.224
36,177.224
37,177.224
38,177.224
39,177.224
40,177.224
41,177.224
42,177.224
43,177.224
44,177.224
45,177.224
46,177.224
47,177.224
48,177.224
49,177.224
50,177.224
51,177.224
52,177.224
53,177.224
54,177.224
55,177.224
56,177.224
57,177.224
58,177.224
59,177.224
60,177.224
61,177.224
62,177.224
63,177.224
64,177.224
65,177.224
66,177.224
67,177.224
68,177.224
69,177.224
70,177.224
71,177.224
72,177.224
73,177.224
74,177.224
75,177.224
76,177.224
77,177.224
78,177.224
79,177.224
80,177.224
81,177.224
82,177.224
83,177.224
84,177.224
85,177.224
86,177.224
87,177.224
88,177.224
89,177.224
90,177.224
91,177.224
92,177.224
93,177.224
94,177.224
95,177.224
96,177.224
97,177.224
98,177.224
99,177.224
100,177.224
101,177.224
102,177.224
103,177.224
104,177.224
105,177.224
106,177.224
107,177.224
108,177.224
109,177.224
110,177.224
111,177.224
112,177.224
113,177.224
114,177.224
115,177.224
116,177.224
117,177.224
118,177.224
119,177.224
120,177.224
121,177.224
122,177.224
123,177.224
124,177.224
125,177.224
126,177.224
127,177.224
128,177.224
129,177.224
130,177.224
131,177.224
132,177.224
133,177.224
134,177.224
135,177.224
136,177.224
137,177.224
138,177.224
139,177.224
140,177.224
141,177.224
142,177.224
143,177.224
144,177.224
145,177.224
146,177.224
147,177.224
148,177.224
149,177.224
150,177.224
151,177.224
152,177.224
153,177.224
154,177.224
155,177.224
156,177.224
157,177.224
158,177.224
159,177.224
160,177.224
161,177.224
162,177.224
163,177.224
164,177.224
165,177.224
166,177.224
167,177.224
168,177.224
169,177.224
170,177.224
171,177.224
172,177.224
173,177.224
174,177.224
175,177.224
176,177.224
177,177.224
178,177.224
179,177.224
180,177.224
181,177.224
182,177.224
183,177.224
184,177.224
185,177.224
186,177.224
187,177.224
188,177.224
189,177.224
190,177.224
191,177.224
192,177.224
193,177.224
194,177.224
195,177.224
196,177.224
197,177.224
198,177.224
199,177.224
200,177.224
201,177.224
202,177.224
203,177.224
204,177.224
205,177.224
206,177.224
207,177.224
208,177.224
209,177.224
210,177.224
211,177.224
212,177.224
213,177.224
214,177.224
215,177.224
216,177.224
217,177.224
218,177.224
219,177.224
220,177.224
221,177.224
222,177.224
223,177.224
224,177.224
225,177.224
226,177.224
227,177.224
228,177.224
229,177.224
230,177.224
231,177.224
232,177.224
233,177.224
234,177.224
235,177.224
236,177.224
237,177.224
238,177.224
239,177.224
240,177.224
241,177.224
242,177.224
243,177.224
244,177.224
245,177.224
246,177.224
247,177.224
248,177.224
249,177.224
250,177.224
251,177.224
252,177.224
253,177.224
254,177.224
255,177.224
256,177.224
257,177.224
258,177.224
259,177.224
260,177.224
261,177.224
262,177.224
263,177.224
264,177.224
265,177.224
266,177.224
267,177.224
268,177.224
269,177.224
270,177.224
271,177.224
272,177.224
273,177.224
274,177.224
275,177.224
276,177.224
277,177.224
278,177.224
279,177.224
280,177.224
281,177.224
282,177.224
283,177.224
284,177.224
285,177.224
286,177.224
287,177.224
288,177.224
289,177.224
290,177.224
291,177.224
292,177.224
293,177.224
294,177.224
295,177.224
296,177.224
297,177.224
298,177.224
299,177.224
300,177.224
301,177.224
302,177.224
303,177.224
304,177.224
305,177.224
306,177.224
307,177.224
308,177.224
309,177.224
310,177.224
311,177.224
312,177.224
313,177.224
314,177.224
315,177.224
316,177.224
317,177.224
318,177.224
319,177.224
320,177.224
321,177.224
322,177.224
323,177.224
324,177.224
325,177.224
326,177.224
327,177.224
328,177.224
329,177.224
330,177.224
331,177.224
332,177.224
333,177.224
334,177.224
335,177.224
336,177.224
337,177.224
338,177.224
339,177.224
340,177.224
341,177.224
342,177.224
343,177.224
344,177.224
345,177.224
346,177.224
347,177.224
348,177.224
349,177.224
350,177.224
351,177.224
352,177.224
353,177.224
354,177.224
355,177.224
356,177.224
357,177.224
358,177.224
359,177.224
360,177.224
361,177.224
362,177.224
363,177.224
364,177.224
365,177.224
366,177.224
367,177.224
368,177.224
369,177.224
370,177.224
371,177.224
372,177.224
373,177.224
374,177.224
375,177.224
376,177.224
377,177.224
378,177.224
379,177.224
380,177.224
381,177.224
382,177.224
383,177.224
384,177.224
385,177.224
386,177.224
387,177.224
388,177.224
389,177.224
390,177.224
391,177.224
392,177.224
393,177.224
394,177.224
395,177.224
396,177.224
397,177.224
398,177.224
399,177.224
400,177.224
401,177.224
402,177.224
403,177.224
404,177.224
405,177.224
406,177.224
407,177.224
408,177.224
409,177.224
410,177.224
411,177.224
412,177.224
413,177.224
414,177.224
415,177.224
416,177.224
417,177.224
418,177.224
419,177.224
420,177.224
421,177.224
422,177.224
423,177.224
424,177.224
425,177.224
426,177.224
427,177.224
428,177.224
429,177.224
430,177.224
431,177.224
432,177.224
433,177.224
434,177.224
435,177.224
436,177.224
437,177.224
438,177.224
439,177.224
440,177.224
441,177.224
442,177.224
443,177.224
444,177.224
445,177.224
446,177.224
447,177.224
448,177.224
449,177.224
450,177.224
451,177.224
452,177.224
453,177.224
454,177.224
455,177.224
456,177.224
457,177.224
458,177.224
459,177.224
460,177.224
461,177.224
462,177.224
463,177.224
464,177.224
465,177.224
466,177.224
467,177.224
468,177.224
469,177.224
470,177.224
471,177.224
472,177.224
473,177.224
474,177.224
475,177.224
476,177.224
477,177.224
478,177.224
