#step,index
0,1.39727
1,1.37393
2,1.37393
3,1.37393
4,1.37393
5,1.29115
6,1.28047
7,1.28047
8,1.28047
9,1.16741
10,1.16741
11,1.16741
12,1.16741
13,1.16741
14,1.16741
15,1.16741
16,1.16741
17,1.16741
18,1.16741
19,1.16741
20,1.16741
21,1.16741
22,1.16741
23,1.16741
24,1.16741
25,1.16741
26,1.16741
27,1.16741
28,1.16741
29,1.16741
30,1.16741
31,1.16741
32,1.16741
33,1.16741
34,1.16741
35,1.16741
36,1.16741
37,1.16741
38,1.16741
39,1.16741
40,1.16741
41,1.16741
42,1.16741
43,1.16741
44,1.16741
45,1.16741
46,1.16741
47,1.16741
48,1.16741
49,1.16741
50,1.16741
51,1.16741
52,1.16741
53,1.16741
54,1.16741
55,1.16741
56,1.16741
57,1.16741
58,1.16741
59,1.16741
60,1.16741
61,1.16741
62,1.16741
63,1.16741
64,1.16741
65,1.16741
66,1.16741
67,1.16741
68,1.16741
69,1.16741
70,1.16741
71,1.16741
72,1.16741
73,1.16741
74,1.16741
75,1.16741
76,1.16741
77,1.16741
78,1.16741
79,1.16741
80,1.16741
81,1.16741
82,1.16741
83,1.16741
84,1.16741
85,1.16741
86,1.16741
87,1.16741
88,1.16741
89,1.16741
90,1.16741
91,1.16741
92,1.16741
93,1.16741
94,1.16741
95,1.16741
96,1.16741
97,1.16741
98,1.16741
99,1.16741
100,1.16741
101,1.16741
102,1.16741
103,1.16741
104,1.16741
105,1.16741
106,1.16741
107,1.16741
108,1.16741
109,1.16741
110,1.16741
111,1.16741
112,1.16741
113,1.16741
114,1.16741
115,1.16741
116,1.16741
117,1.16741
118,1.16741
119,1.16741
120,1.16741
121,1.16741
122,1.16741
123,1.16741
124,1.16741
125,1.16741
126,1.16741
127,1.16741
128,1.16741
129,1.16741
130,1.16741
131,1.16741
132,1.16741
133,1.16741
134,1.16741
135,1.16741
136,1.16741
137,1.16741
138,1.16741
139,1.16741
140,1.16741
141,1.16741
142,1.16741
143,1.16741
144,1.16741
145,1.16741
146,1.16741
147,1.16741
148,1.16741
149,1.16741
150,1.16741
151,1.15702
152,1.15702
153,1.15702
154,1.15702
155,1.15702
156,1.15702
157,1.15702
158,1.15702
159,1.15702
160,1.15702
161,1.15702
162,1.15702
163,1.15702
164,1.15702
165,1.15702
166,1.15702
167,1.15702
168,1.15702
169,1.15702
170,1.15702
171,1.15702
172,1.15702
173,1.15702
174,1.15702
175,1.15702
176,1.15702
177,1.15702
178,1.15702
179,1.15702
180,1.15702
181,1.15702
182,1.15702
183,1.15702
184,1.15702
185,1.15702
186,1.15702
187,1.15702
188,1.15702
189,1.15702
190,1.15702
191,1.15702
192,1.15702
193,1.15702
194,1.15702
195,1.15702
196,1.15702
197,1.15702
198,1.15702
199,1.15702
200,1.15702
201,1.15702
202,1.15702
203,1.15702
204,1.15702
205,1.15702
206,1.15702
207,1.15702
208,1.15702
209,1.15702
210,1.15702
211,1.15702
212,1.15702
213,1.15702
214,1.15702
215,1.15702
216,1.15702
217,1.15702
218,1.15702
219,1.15702
220,1.15702
221,1.15702
222,1.15702
223,1.15702
224,1.15702
225,1.15702
226,1.15702
227,1.15702
228,1.15702
229,1.15702
230,1.15702
231,1.15702
232,1.15702
233,1.15702
234,1.15702
235,1.15702
236,1.15702
237,1.15702
238,1.15702
239,1.15702
240,1.15702
241,1.15702
242,1.15702
243,1.15702
244,1.15702
245,1.15702
246,1.15702
247,1.15702
248,1.15702
249,1.15702
250,1.15702
251,1.15702
252,1.15702
253,1.15702
254,1.15702
255,1.15702
256,1.15702
257,1.15702
258,1.15702
259,1.15702
260,1.15702
261,1.15702
262,1.15702
263,1.15702
264,1.15702
265,1.15702
266,1.15702
267,1.15702
268,1.15702
269,1.15702
270,1.15702
271,1.15702
272,1.15702
273,1.15702
274,1.15702
275,1.15702
276,1.15702
277,1.15702
278,1.15702
279,1.15702
280,1.15702
281,1.15702
282,1.15702
283,1.15702
284,1.15702
285,1.15702
286,1.15702
287,1.15702
288,1.15702
289,1.15702
290,1.15702
291,1.15702
292,1.15702
293,1.15702
294,1.15702
295,1.15702
296,1.15702
297,1.15702
298,1.15702
299,1.15702
300,1.15702
301,1.15702
302,1.15702
303,1.15702
304,1.15702
305,1.15702
306,1.15702
307,1.15702
308,1.15702
309,1.15702
310,1.15702
311,1.15702
312,1.15702
313,1.15702
314,1.15702
315,1.15702
316,1.15702
317,1.15702
318,1.15702
319,1.15702
320,1.15702
321,1.15702
322,1.15702
323,1.15702
324,1.15702
325,1.15702
326,1.15702
327,1.15702
328,1.15702
329,1.15702
330,1.15702
331,1.15702
332,1.15702
333,1.15702
334,1.15702
335,1.15702
336,1.15702
337,1.15702
338,1.15702
339,1.15702
340,1.15702
341,1.15702
342,1.15702
343,1.15702
344,1.15702
345,1.15702
346,1.15702
347,1.15702
348,1.15702
349,1.15702
350,1.15702
351,1.15702
352,1.15702
353,1.15702
354,1.15702
355,1.15702
356,1.15702
357,1.15702
358,1.15702
359,1.15702
360,1.15702
361,1.15702
362,1.15702
363,1.15702
364,1.15702
365,1.15702
366,1.15702
367,1.15702
368,1.15702
369,1.15702
370,1.15702
371,1.15702
372,1.15702
373,1.15702
374,1.15702
375,1.15702
376,1.15702
377,1.15702
378,1.15702
379,1.15702
380,1.15702
381,1.15702
382,1.15702
383,1.15702
384,1.15702
385,1.15702
386,1.15702
387,1.15702
388,1.15702
389,1.15702
390,1.15702
391,1.15702
392,1.15702
393,1.15702
394,1.15702
395,1.15702
396,1.15702
397,1.15702
398,1.15702
399,1.15702
400,1.15702
401,1.15702
402,1.15702
403,1.15702
404,1.15702
405,1.15702
406,1.15702
407,1.15702
408,1.15702
409,1.15702
410,1.15702
411,1.15702
412,1.15702
413,1.15702
414,1.15702
415,1.15702
416,1.15702
417,1.15702
418,1.1551
419,1.15111
420,1.15111
421,1.1462
422,1.12367
423,1.11605
424,1.11605
425,1.11605
426,1.11605
427,1.11605
428,1.10867
429,1.10429
430,1.10429
431,1.10429
432,1.09812
433,1.09812
434,1.09812
435,1.09812
436,1.09812
437,1.09812
438,1.09812
439,1.09812
440,1.09812
441,1.09812
442,1.09812
443,1.09812
444,1.09812
445,1.09812
446,1.09812
447,1.09812
448,1.09812
449,1.09812
450,1.09812
451,1.09812
452,1.09812
453,1.09812
454,1.09812
455,1.09563
456,1.09563
457,1.09563
458,1.09563
459,1.09501
460,1.0883
461,1.0883
462,1.0883
463,1.0883
464,1.0883
465,1.0883
466,1.0883
467,1.0883
468,1.0883
469,1.08816
470,1.08816
471,1.08549
472,1.08549
473,1.08549
474,1.08549
475,1.08549
476,1.08549
477,1.08549
478,1.08549
479,1.08549
480,1.08441
481,1.07704
482,1.07038
483,1.07015
484,1.07001
485,1.06416
486,1.06416
487,1.0623
488,1.05996
489,1.05033
490,1.05033
491,1.05033
492,1.04358
493,1.03612
494,1.02816
495,1.02816
496,1.02816
497,1.02816
498,1.02816
499,1.02816
500,1.02502
501,1.02251
502,1.02133
503,1.01469
504,1.00703
505,1.00703
506,1.00703
507,1.00703
508,1.00703
509,1.00703
510,1.00703
511,1.00703
512,1.00703
513,0.998623
514,0.998623
515,0.998623
516,0.998623
517,0.998623
518,0.998623
519,0.998623
520,0.998623
521,0.998623
522,0.998623
523,0.998623
524,0.998623
525,0.998623
526,0.998623
527,0.998623
528,0.998623
529,0.998623
530,0.998623
531,0.998623
532,0.998623
533,0.998623
534,0.998623
535,0.998623
536,0.998623
537,0.998623
538,0.998251
539,0.992898
540,0.992898
541,0.992898
542,0.992898
543,0.992898
544,0.992898
545,0.992898
546,0.992898
547,0.992898
548,0.992898
549,0.992898
550,0.981835
551,0.981835
552,0.981835
553,0.981835
554,0.981835
555,0.981835
556,0.981835
557,0.981835
558,0.981835
559,0.981835
560,0.981835
561,0.981835
562,0.981835
563,0.981835
564,0.981835
565,0.981835
566,0.981835
567,0.981835
568,0.981835
569,0.981835
570,0.981835
571,0.981835
572,0.981835
573,0.981835
574,0.981835
575,0.981835
576,0.981835
577,0.981835
578,0.981835
579,0.981835
580,0.981835
581,0.981835
582,0.981835
583,0.981835
584,0.981835
585,0.981835
586,0.981835
587,0.981835
588,0.981835
589,0.981835
590,0.981835
591,0.981835
592,0.981835
593,0.981835
594,0.981835
595,0.981835
596,0.981835
597,0.981835
598,0.981835
599,0.981835
600,0.981835
601,0.981835
602,0.981835
603,0.981835
604,0.981835
605,0.981835
606,0.981835
607,0.981835
608,0.981835
609,0.981835
610,0.981835
611,0.981835
612,0.981835
613,0.981835
614,0.981835
615,0.981835
616,0.981835
617,0.981835
618,0.981835
619,0.981835
620,0.981835
621,0.981835
622,0.981835
623,0.981835
624,0.981835
625,0.981835
626,0.981835
627,0.981835
628,0.981835
629,0.981835
630,0.981835
631,0.981835
632,0.981835
633,0.981835
634,0.981835
635,0.981835
636,0.981835
637,0.981835
638,0.981835
639,0.981835
640,0.981835
641,0.981835
642,0.981835
643,0.981835
644,0.981835
645,0.981835
646,0.981835
647,0.981835
648,0.981835
649,0.981835
650,0.981835
651,0.981835
652,0.981835
653,0.981835
654,0.981835
655,0.981835
656,0.981835
657,0.981835
658,0.981835
659,0.981835
660,0.981835
661,0.981835
662,0.981835
663,0.981835
664,0.981835
665,0.981835
666,0.981835
667,0.981835
668,0.981835
669,0.981835
670,0.981835
671,0.981835
672,0.981835
673,0.981835
674,0.981835
675,0.981835
676,0.981835
677,0.981835
678,0.981835
679,0.981835
680,0.981835
681,0.981835
682,0.981835
683,0.981835
684,0.981835
685,0.981835
686,0.981835
687,0.981835
688,0.981835
689,0.981835
690,0.981835
691,0.981835
692,0.981835
693,0.981835
694,0.981835
695,0.981835
696,0.978022
697,0.978022
698,0.978022
699,0.978022
700,0.97728
701,0.97123
702,0.966738
703,0.966738
704,0.966738
705,0.966738
706,0.966738
707,0.966738
708,0.966738
709,0.966738
710,0.964925
711,0.962276
712,0.962276
713,0.960877
714,0.960457
715,0.95906
716,0.95906
717,0.95906
718,0.95906
719,0.95906
720,0.95906
721,0.95906
722,0.95906
723,0.95906
724,0.95906
725,0.95906
726,0.95906
727,0.95906
728,0.95906
729,0.95906
730,0.95906
731,0.95906
732,0.95906
733,0.955869
734,0.955869
735,0.953417
736,0.951611
737,0.951332
738,0.945265
739,0.943502
740,0.936873
741,0.936873
742,0.936265
743,0.932642
744,0.932642
745,0.93261
746,0.930671
747,0.930671
748,0.930155
749,0.930155
750,0.928734
751,0.928734
752,0.928734
753,0.92849
754,0.92849
755,0.92849
756,0.92849
757,0.92849
758,0.92849
759,0.92849
760,0.926745
761,0.926745
762,0.925378
763,0.924633
764,0.923236
765,0.923236
766,0.923236
767,0.923236
768,0.923236
769,0.923236
770,0.923236
771,0.923236
772,0.923236
773,0.923236
774,0.923236
775,0.923236
776,0.923236
777,0.923236
778,0.923236
779,0.923236
780,0.923236
781,0.923236
782,0.923236
783,0.923236
784,0.923236
785,0.923236
786,0.923236
787,0.923236
788,0.923236
789,0.923236
790,0.923236
791,0.923236
792,0.923236
793,0.923236
794,0.923236
795,0.923236
796,0.923236
797,0.923236
798,0.923236
799,0.923236
800,0.923236
801,0.923236
802,0.923236
803,0.923236
804,0.923236
805,0.923236
806,0.923236
807,0.923236
808,0.923236
809,0.923236
810,0.923236
811,0.923236
812,0.923236
813,0.923236
814,0.923236
815,0.923236
816,0.923236
817,0.923236
818,0.923236
819,0.923236
820,0.923236
821,0.923236
822,0.923236
823,0.922667
824,0.922667
825,0.922667
826,0.922667
827,0.922667
828,0.922324
829,0.918452
830,0.918452
831,0.918452
832,0.918452
833,0.918452
834,0.918452
835,0.918452
836,0.918452
837,0.918452
838,0.918452
839,0.918452
840,0.918452
841,0.918452
842,0.918452
843,0.918452
844,0.918452
845,0.917911
846,0.917911
847,0.917911
848,0.917911
849,0.917911
850,0.917911
851,0.917911
852,0.917911
853,0.915341
854,0.915341
855,0.915052
856,0.912596
857,0.911251
858,0.909223
859,0.905811
860,0.905811
861,0.905811
862,0.905811
863,0.905811
864,0.905811
865,0.905811
866,0.905811
867,0.905811
868,0.905811
869,0.905811
870,0.905811
871,0.905811
872,0.905811
873,0.905811
874,0.905811
875,0.905811
876,0.905811
877,0.905811
878,0.905811
879,0.905811
880,0.905811
881,0.905811
882,0.905811
883,0.905811
884,0.905811
885,0.905811
886,0.905811
887,0.905811
888,0.905811
889,0.905811
890,0.905811
891,0.905811
892,0.902279
893,0.902279
894,0.902279
895,0.90166
896,0.90166
897,0.900556
898,0.900556
899,0.900556
900,0.900556
901,0.900556
902,0.897764
903,0.897764
904,0.897764
905,0.897764
906,0.897764
907,0.897764
908,0.897764
909,0.897511
910,0.896883
911,0.895099
912,0.894626
913,0.892741
914,0.892741
915,0.892741
916,0.892741
917,0.892741
918,0.892741
919,0.892741
920,0.892741
921,0.892741
922,0.892741
923,0.892741
924,0.892741
925,0.892556
926,0.892556
927,0.892231
928,0.892231
929,0.892231
930,0.892095
931,0.890834
932,0.890834
933,0.890834
934,0.889609
935,0.889432
936,0.889265
937,0.888405
938,0.888405
939,0.887345
940,0.88707
941,0.88707
942,0.88707
943,0.88707
944,0.88707
945,0.88707
946,0.88707
947,0.88707
948,0.88707
949,0.88707
950,0.88707
951,0.88707
952,0.88707
953,0.88707
954,0.88707
955,0.88707
956,0.88707
957,0.88707
958,0.88707
959,0.88707
960,0.88707
961,0.88707
962,0.88707
963,0.88707
964,0.88707
965,0.88707
966,0.88707
967,0.88707
968,0.88707
969,0.88707
970,0.88707
971,0.88707
972,0.88707
973,0.88707
974,0.88707
975,0.88707
976,0.88707
977,0.88707
978,0.88707
979,0.88707
980,0.88707
981,0.88707
982,0.88707
983,0.88707
984,0.88707
985,0.88707
986,0.88707
987,0.88707
988,0.88707
989,0.88707
990,0.88707
991,0.88707
992,0.88707
993,0.88707
994,0.88707
995,0.88707
996,0.88707
997,0.88707
998,0.88707
999,0.88707
1000,0.88707
1001,0.88707
1002,0.88707
1003,0.88707
1004,0.88707
1005,0.88707
1006,0.88707
1007,0.88707
1008,0.88707
1009,0.88707
1010,0.88707
1011,0.88707
1012,0.88707
1013,0.88707
1014,0.88707
1015,0.88707
1016,0.88707
1017,0.88707
1018,0.88707
1019,0.88707
1020,0.88707
1021,0.88707
1022,0.886938
1023,0.886938
1024,0.886938
1025,0.886938
1026,0.886938
1027,0.886938
1028,0.886938
1029,0.886938
