#step,index
0,1.46246
1,1.41861
2,1.41861
3,1.41044
4,1.34272
5,1.34064
6,1.33627
7,1.28285
8,1.28285
9,1.28285
10,1.28285
11,1.25656
12,1.25656
13,1.25656
14,1.25656
15,1.25656
16,1.25656
17,1.25656
18,1.25656
19,1.25656
20,1.25656
21,1.25656
22,1.25139
23,1.25139
24,1.25139
25,1.25139
26,1.25139
27,1.25139
28,1.25139
29,1.25139
30,1.25139
31,1.25139
32,1.22985
33,1.21969
34,1.21068
35,1.21068
36,1.18811
37,1.18811
38,1.18811
39,1.18811
40,1.18811
41,1.18811
42,1.18411
43,1.17475
44,1.17475
45,1.17475
46,1.17475
47,1.17475
48,1.17475
49,1.17475
50,1.17475
51,1.17475
52,1.17475
53,1.17019
54,1.17019
55,1.17019
56,1.17019
57,1.17019
58,1.17019
59,1.17019
60,1.17019
61,1.17019
62,1.17019
63,1.17019
64,1.17019
65,1.17019
66,1.17019
67,1.17019
68,1.17019
69,1.17019
70,1.17019
71,1.17019
72,1.17019
73,1.17019
74,1.17019
75,1.17019
76,1.17019
77,1.17019
78,1.17019
79,1.17019
80,1.17019
81,1.17019
82,1.17019
83,1.17019
84,1.17019
85,1.17019
86,1.17019
87,1.17019
88,1.17019
89,1.17019
90,1.17019
91,1.17019
92,1.17019
93,1.17019
94,1.17019
95,1.17019
96,1.17019
97,1.17019
98,1.17019
99,1.17019
100,1.17019
101,1.17019
102,1.17019
103,1.17019
104,1.17019
105,1.17019
106,1.17019
107,1.17019
108,1.17019
109,1.17019
110,1.17019
111,1.17019
112,1.17019
113,1.17019
114,1.17019
115,1.17019
116,1.17019
117,1.17019
118,1.17019
119,1.17019
120,1.17019
121,1.17019
122,1.17019
123,1.17019
124,1.17019
125,1.17019
126,1.17019
127,1.17019
128,1.17019
129,1.17019
130,1.14605
131,1.14605
132,1.14605
133,1.14605
134,1.14605
135,1.14605
136,1.14605
137,1.14605
138,1.14605
139,1.14605
140,1.14605
141,1.14605
142,1.14605
143,1.14605
144,1.14605
145,1.14605
146,1.14605
147,1.14605
148,1.14605
149,1.14605
150,1.14605
151,1.14605
152,1.14605
153,1.14605
154,1.14605
