#step,index
0,526.739
1,526.739
2,526.739
3,526.739
4,526.739
5,526.739
6,526.739
7,526.739
8,526.739
9,526.739
10,526.739
11,526.739
12,526.739
13,526.739
14,526.739
15,526.739
16,526.739
17,526.739
18,526.739
19,526.739
20,526.739
21,526.739
22,526.739
23,526.739
24,526.739
25,526.739
26,526.739
27,526.739
28,526.739
29,526.739
30,526.739
31,526.739
32,526.739
33,526.739
34,526.739
35,526.739
36,526.739
37,526.739
38,526.739
39,526.739
40,526.739
41,526.739
42,526.739
43,526.739
44,526.739
45,526.739
46,526.739
47,526.739
48,526.739
49,526.739
50,526.739
51,526.739
52,526.739
53,526.739
54,526.739
55,526.739
56,526.739
57,526.739
58,526.739
59,526.739
60,526.739
61,526.739
62,526.739
63,526.739
64,526.739
65,526.739
66,526.739
67,526.739
68,526.739
69,526.739
70,526.739
71,526.739
72,526.739
73,526.739
74,526.739
75,526.739
76,526.739
77,526.739
78,526.739
79,526.739
80,526.739
81,526.739
82,526.739
83,526.739
84,526.739
85,526.739
86,526.739
87,526.739
88,526.739
89,526.739
90,526.739
91,526.739
92,526.739
93,526.739
94,526.739
95,526.739
96,526.739
97,526.739
98,526.739
99,526.739
100,526.739
101,526.739
102,526.739
103,526.739
104,526.739
105,526.739
106,526.739
107,526.739
108,526.739
109,526.739
110,526.739
111,526.739
112,526.739
113,526.739
114,526.739
115,526.739
116,526.739
117,526.739
118,526.739
119,526.739
120,526.739
121,526.739
122,526.739
123,526.739
124,526.739
125,526.739
126,526.739
127,526.739
128,526.739
129,526.739
130,526.739
131,526.739
132,526.739
133,526.739
134,526.739
135,526.739
136,526.739
137,526.739
138,526.739
139,526.739
140,526.739
141,526.739
142,526.739
143,526.739
144,526.739
145,526.739
146,526.739
147,526.739
148,526.739
149,526.739
150,526.739
151,526.739
152,526.739
153,526.739
154,526.739
155,526.739
156,526.739
157,526.739
158,526.739
159,526.739
160,526.739
161,526.739
162,526.739
163,526.739
164,526.739
165,526.739
166,526.739
167,526.739
168,526.739
169,526.739
170,526.739
171,526.739
172,526.739
173,526.739
174,526.739
175,526.739
176,526.739
177,526.739
178,526.739
179,526.739
180,526.739
181,526.739
182,526.739
183,526.739
184,526.739
185,526.739
186,526.739
187,526.739
188,526.739
189,526.739
190,526.739
191,526.739
192,526.739
193,526.739
194,526.739
195,526.739
196,526.739
197,526.739
198,526.739
199,526.739
200,526.739
201,526.739
202,526.739
203,526.739
204,526.739
205,526.739
206,526.739
207,526.739
208,526.739
209,526.739
210,526.739
211,526.739
212,526.739
213,526.739
214,526.739
215,526.739
216,526.739
217,526.739
218,526.739
219,526.739
220,526.739
221,526.739
222,526.739
223,526.739
224,526.739
225,526.739
226,526.739
227,526.739
228,526.739
229,526.739
230,526.739
231,526.739
232,526.739
233,526.739
234,526.739
235,526.739
236,526.739
237,526.739
238,526.739
239,526.739
240,526.739
241,526.739
242,526.739
243,526.739
244,526.739
245,526.739
246,526.739
247,526.739
248,526.739
249,526.739
250,526.739
251,526.739
252,526.739
253,526.739
254,526.739
255,526.739
256,526.739
257,526.739
258,526.739
259,526.739
260,526.739
261,526.739
262,526.739
263,526.739
264,526.739
265,526.739
266,526.739
267,526.739
268,526.739
269,526.739
270,526.739
271,526.739
272,526.739
273,526.739
274,526.739
275,526.739
276,526.739
277,526.739
278,526.739
279,526.739
280,526.739
281,526.739
282,526.739
283,526.739
284,526.739
285,526.739
286,526.739
287,526.739
288,526.739
289,526.739
290,526.739
291,526.739
292,526.739
293,526.739
294,526.739
295,526.739
296,526.739
297,526.739
298,526.739
299,526.739
300,526.739
301,526.739
302,526.739
303,526.739
304,526.739
305,526.739
306,526.739
307,526.739
308,526.739
309,526.739
310,526.739
311,526.739
312,526.739
313,526.739
314,526.739
315,526.739
316,526.739
317,526.739
318,526.739
319,526.739
320,526.739
321,526.739
322,526.739
323,526.739
324,526.739
325,526.739
326,526.739
327,526.739
328,526.739
329,526.739
330,526.739
331,526.739
332,526.739
333,526.739
334,526.739
335,526.739
336,526.739
337,526.739
338,526.739
339,526.739
340,526.739
341,526.739
342,526.739
343,526.739
344,526.739
345,526.739
346,526.739
347,526.739
348,526.739
349,526.739
